region_gea,hh_group,year,d_beh
AFR,g1,2045,-0.043654413
AFR,g2,2045,-0.022191807
AFR,g3,2045,-0.084152253
AFR,g4,2045,-0.085548335
CPA,g1,2045,0.052724013
CPA,g2,2045,0.060522673
CPA,g3,2045,0.036064896
CPA,g4,2045,0.042817022
EEU,g1,2045,0.067039546
EEU,g2,2045,0.071773576
EEU,g3,2045,0.069919545
EEU,g4,2045,0.070286637
FSU,g1,2045,0.00324863
FSU,g2,2045,0.011925188
FSU,g3,2045,0.011585608
FSU,g4,2045,0.009890206
LAC,g1,2045,-0.006138119
LAC,g2,2045,-0.001674142
LAC,g3,2045,-0.065201154
LAC,g4,2045,-0.063226824
MEA,g1,2045,-0.020627866
MEA,g2,2045,-0.017347111
MEA,g3,2045,-0.094582386
MEA,g4,2045,-0.071021542
NAM,g1,2045,0.135931027
NAM,g2,2045,0.137862761
NAM,g3,2045,0.081928218
NAM,g4,2045,0.117463421
PAO,g1,2045,0.114034719
PAO,g2,2045,0.115830992
PAO,g3,2045,0.110914219
PAO,g4,2045,0.111346466
PAS,g1,2045,0.08203988
PAS,g2,2045,0.085196191
PAS,g3,2045,0.049745558
PAS,g4,2045,0.078191073
SAS,g1,2045,0.010014503
SAS,g2,2045,0.005887627
SAS,g3,2045,-0.04269072
SAS,g4,2045,-0.006253591
WEU,g1,2045,0.116897904
WEU,g2,2045,0.125505222
WEU,g3,2045,0.103930085
WEU,g4,2045,0.126172138
