"","region_bld","mat","eneff_f","n_renovation","n_units_fuel","ms","target","ms_ini","constant"
"1","C-EEU-BGR","perm","adv",3105.67822479688,3105699.27672,0.000999993221519133,0.000999999994,0.0132450054976641,-2.93215012989137
"2","C-EEU-BGR","perm","std",40376.2884197391,3105699.27672,0.0130007076739192,0.013000000006,0.00273873343725746,1.51079006418645
"3","C-EEU-CZE","perm","adv",4540.01154007992,4540027.00002999,0.000999996594744906,0.000999999993,0.00954922796460376,-2.70742130314709
"4","C-EEU-CZE","perm","std",72642.6727424966,4540027.00002999,0.0160004935525751,0.016000000007,0.00329747446382948,1.54776497028872
"5","C-EEU-EST","perm","adv",580.232433405144,580222.98374,0.00100001628626478,0.001,0.100387447155932,-6.27227538307777
"6","C-EEU-EST","perm","std",4061.56002471086,580222.98374,0.00699999851527919,0.007,0.00723349282977896,-0.796770759108947
"7","C-EEU-HUN","perm","adv",4037.94634667051,4037946.37458,0.000999999993088198,0.001,0.00292369987315633,-1.10961595040573
"8","C-EEU-HUN","perm","std",36341.5205867447,4037946.37458,0.00900000079632676,0.009,0.00289373110696204,1.16068297381026
"9","C-EEU-LTU","perm","adv",2770.07292103365,1385036.44932,0.00200000001616828,0.001999999998,0.0967326015956063,-5.18639096189905
"10","C-EEU-LTU","perm","std",9695.2551470589,1385036.44932,0.00700000000131327,0.007000000002,0.00439539324092044,-0.154110503251447
"11","C-EEU-LVA","perm","adv",880.6773831637,880677.38427,0.000999999998743808,0.001,0.00117778540479714,-0.420854411740933
"12","C-EEU-LVA","perm","std",7926.09666087705,880677.38427,0.00900000022987651,0.009,0.0484563415990989,-1.9576002023458
"13","C-EEU-POL","perm","adv",13639.3616001834,13639361.09058,0.0010000000373627,0.001,0.00482997331822689,-1.65347229775019
"14","C-EEU-POL","perm","std",204590.416297702,13639361.09058,0.0149999999955278,0.015,0.0118556530357656,0.219114511309118
"15","C-EEU-ROU","perm","adv",7715.08741846688,7714305.47895999,0.00100010136226897,0.000999999994,0.030781232312949,-3.99660706975303
"16","C-EEU-ROU","perm","std",100285.859033605,7714305.47895999,0.0129999854565164,0.013000000006,0.0134392529457434,-0.303112583745293
"17","C-EEU-SVK","perm","adv",1943.3759853691,1943366.24191,0.00100000501370194,0.001000000001,0.0719716811832954,-5.74901040910928
"18","C-EEU-SVK","perm","std",19433.6609182363,1943366.24191,0.00999999922769901,0.009999999999,0.00892916913093492,-0.552519934674495
"19","C-EEU-SVN","perm","adv",836.187280881704,836204.310909998,0.000999979634129995,0.000999999994,0.0213013589293298,-4.3533495619637
"20","C-EEU-SVN","perm","std",10871.6030617743,836204.310909998,0.0130011325221982,0.013000000006,0.00258704191712063,1.21112502113812
"21","C-WEU-AUT","perm","adv",7538.01884436872,3769008.86078001,0.00200000029790556,0.002000000002,0.0119422669636597,-2.00708895420541
"22","C-WEU-AUT","perm","std",64073.1504218926,3769008.86078001,0.0169999999439196,0.016999999998,0.00850942926719548,0.642327617434256
"23","C-WEU-BEL","perm","adv",9405.79940408154,4702880.05259001,0.00200000835634783,0.002000000004,0.00137183829888041,0.39512787537971
"24","C-WEU-BEL","perm","std",47028.7973115938,4702880.05259001,0.00999999931652385,0.009999999996,0.00996966143620357,0.0110297242334698
"25","C-WEU-CYP","perm","adv",NA,427050.36915,NA,0.004000000008,1.77194540024014e-06,2256.42131954273
"26","C-WEU-CYP","perm","std",NA,427050.36915,NA,0.019999999992,1.56373487399405e-06,12789.342810822
"27","C-WEU-DEU","perm","adv",39200.5005450608,39199789.02241,0.00100001815118572,0.001,0.008902573576614,-2.80476230902756
"28","C-WEU-DEU","perm","std",352797.966499037,39199789.02241,0.00899999656368932,0.009,0.00604597871443514,0.275404381640313
"29","C-WEU-DNK","perm","adv",2424.36103727927,2424126.96214,0.00100009656059395,0.001,0.0299010521519062,-3.9588977163765
"30","C-WEU-DNK","perm","std",14544.749317242,2424126.96214,0.00599999486182113,0.006,0.00890916362820358,-0.6519344872357
"31","C-WEU-ESP","perm","adv",54837.5199875369,18271919.9433301,0.00300119090701,0.003,0.0490184663101342,-4.09112007462054
"32","C-WEU-ESP","perm","std",310618.691378026,18271919.9433301,0.0169997839494373,0.017,0.0511445007089723,-1.91979409835498
"33","C-WEU-FIN","perm","adv",2653.62354982145,2653572.05954999,0.00100001940413537,0.001,0.0237484036190672,-4.48687143381394
"34","C-WEU-FIN","perm","std",7960.71164581437,2653572.05954999,0.00299999829179856,0.003,0.0120554790451925,-1.84240195093598
"35","C-WEU-FRA","perm","adv",58292.470680797,29142259.63141,0.00200027284836789,0.002000000004,0.000721707718170518,1.10583201018657
"36","C-WEU-FRA","perm","std",291421.791916083,29142259.63141,0.00999997239754136,0.009999999996,0.00539611583217131,0.677539301990638
"37","C-WEU-GBR","perm","adv",27784.7565027534,27782631.25104,0.00100007649569597,0.000999999996,0.00407056456556787,-1.92343849140435
"38","C-WEU-GBR","perm","std",305608.265146245,27782631.25104,0.0109999755741208,0.011000000004,0.0236036408498684,-1.02487676566842
"39","C-WEU-GRC","perm","adv",9159.35093335381,4579681.3298,0.00199999743950608,0.002000000002,0.00462774135580609,-0.837593151815882
"40","C-WEU-GRC","perm","std",50376.8902629212,4579681.3298,0.0110000863892251,0.010999999998,0.00251165810179802,1.5295903311009
"41","C-WEU-IRL","perm","adv",1721.55638359208,1721107.87622,0.00100026059224891,0.001000000001,0.00508315968344533,-2.02649688907425
"42","C-WEU-IRL","perm","std",10326.5840155501,1721107.87622,0.00599996325519697,0.005999999999,0.00376350444558239,0.384799181373365
"43","C-WEU-ITA","perm","adv",76850.9005797845,25616870.28799,0.00300001130957104,0.003000000006,0.00942123036042798,-1.36958294219002
"44","C-WEU-ITA","perm","std",384253.017887678,25616870.28799,0.0149999985778055,0.014999999994,0.0290124516520372,-0.833619092059085
"45","C-WEU-LUX","perm","adv",229.481101869552,229480.52078,0.00100000253219554,0.001,0.00030582158221294,1.20519164272302
"46","C-WEU-LUX","perm","std",917.922058251798,229480.52078,0.00399999989163263,0.004,0.00330250944774561,0.206208858596235
"47","C-WEU-NLD","perm","adv",7595.128799004,7595128.67961998,0.0010000000157185,0.000999999999,0.00451361303633224,-1.61213558146381
"48","C-WEU-NLD","perm","std",60761.0294355748,7595128.67961998,0.00799999999981764,0.008000000001,0.00867725631250098,-0.122466851819945
"49","C-WEU-PRT","perm","adv",4129.54553340165,4129298.28322,0.00100005987704561,0.000999999994,0.000118101377705503,2.25855513306544
"50","C-WEU-PRT","perm","std",53680.843380466,4129298.28322,0.0129999916931663,0.013000000006,0.00369029194542488,1.36249070039648
"51","C-WEU-SWE","perm","adv",4173.12009054959,4173120.36834,0.000999999933433406,0.001,0.00598224657630073,-2.16645783413416
"52","C-WEU-SWE","perm","std",29211.8582570653,4173120.36834,0.0070000037570652,0.007,0.0013109576128443,1.63235111564909
