"","region_bld","fuel_heat_f","ms_switch_fuel_exo"
"113","C-EEU-SVN","gas",0.295206432
"114","C-EEU-SVK","heat_pump",0.242888284
"115","C-EEU-SVK","district_heat",0.159459556
"116","C-EEU-SVK","electricity",0.113336075
"117","C-EEU-SVK","gas",0.484316085
"118","C-WEU-GBR","heat_pump",0.087690915
"119","C-WEU-GBR","biomass_solid",0.056760537
"120","C-WEU-GBR","district_heat",0.00011006
"121","C-WEU-GBR","electricity",0.091497855
"122","C-WEU-GBR","gas",0.692119716
"123","C-WEU-GBR","oil",0.071820916
