"","region_bld","mat","eneff_f","target","constant","scale"
"1","C-EEU-BGR","perm","std",0.013000000006,-1.91834372242988,0.158320827871096
"2","C-EEU-BGR","perm","adv",0.000999999994,-4.77826374447575,0.158320827871096
"3","C-EEU-CZE","perm","std",0.016000000007,-1.73013033420644,0.170385724421467
"4","C-EEU-CZE","perm","adv",0.000999999993,-4.70557469231977,0.170385724421467
"5","C-EEU-EST","perm","std",0.007,-2.63345943864875,0.254827261378555
"6","C-EEU-EST","perm","adv",0.001,-5.39742192232276,0.254827261378555
"7","C-EEU-HUN","perm","std",0.009,NA,NA
"8","C-EEU-HUN","perm","adv",0.001,NA,NA
"9","C-EEU-LTU","perm","std",0.007000000002,-2.58172527543382,0.224628802186784
"10","C-EEU-LTU","perm","adv",0.001999999998,-4.61223488067975,0.224628802186784
"11","C-EEU-LVA","perm","std",0.009,-2.52516911922303,0.406443697703764
"12","C-EEU-LVA","perm","adv",0.001,-2.93869494618988,0.406443697703764
"13","C-EEU-POL","perm","std",0.015,NA,NA
"14","C-EEU-POL","perm","adv",0.001,NA,NA
"15","C-EEU-ROU","perm","std",0.013000000006,-1.97755833522348,0.266805213392719
"16","C-EEU-ROU","perm","adv",0.000999999994,-4.81198169019863,0.266805213392719
"17","C-EEU-SVK","perm","std",0.009999999999,-2.29940015758001,0.250288051737472
"18","C-EEU-SVK","perm","adv",0.001000000001,-5.181757266367,0.250288051737472
"19","C-EEU-SVN","perm","std",0.013000000006,-1.9972998612031,0.155326971583402
"20","C-EEU-SVN","perm","adv",0.000999999994,-4.87701900030637,0.155326971583402
"21","C-WEU-AUT","perm","std",0.016999999998,-1.64063662314233,0.221038920133993
"22","C-WEU-AUT","perm","adv",0.002000000002,-3.90209191221885,0.221038920133993
"23","C-WEU-BEL","perm","std",0.009999999996,-2.15351271077436,0.254218224367502
"24","C-WEU-BEL","perm","adv",0.002000000004,-3.22777205868725,0.254218224367502
"25","C-WEU-CYP","perm","std",0.019999999992,12780.0342028348,0.13901871207807
"26","C-WEU-CYP","perm","adv",0.004000000008,2247.22476323551,0.13901871207807
"27","C-WEU-DEU","perm","std",0.009,-2.25196682557585,0.223129487891329
"28","C-WEU-DEU","perm","adv",0.001,-4.54040664205916,0.223129487891329
"29","C-WEU-DNK","perm","std",0.006,-2.7331252447988,0.161621231657672
"30","C-WEU-DNK","perm","adv",0.001,-4.8337933903002,0.161621231657672
"31","C-WEU-ESP","perm","std",0.017,-2.01511817937201,0.952086702843706
"32","C-WEU-ESP","perm","adv",0.003,-4.57982877127743,0.952086702843706
"33","C-WEU-FIN","perm","std",0.003,-3.4538244901697,0.273128514421158
"34","C-WEU-FIN","perm","adv",0.001,-4.72813459414848,0.273128514421158
"35","C-WEU-FRA","perm","std",0.009999999996,-2.14498240166503,0.203744806224304
"36","C-WEU-FRA","perm","adv",0.002000000004,-3.30722707878084,0.203744806224304
"37","C-WEU-GBR","perm","std",0.011000000004,-2.22544500459178,0.301927051335418
"38","C-WEU-GBR","perm","adv",0.000999999996,-4.04832826889925,0.301927051335418
"39","C-WEU-GRC","perm","std",0.010999999998,-1.9624677130186,0.178168171310989
"40","C-WEU-GRC","perm","adv",0.002000000002,-3.71222196225268,0.178168171310989
"41","C-WEU-IRL","perm","std",0.005999999999,-2.6992523286331,0.179626820807074
"42","C-WEU-IRL","perm","adv",0.001000000001,-4.48933394026231,0.179626820807074
"43","C-WEU-ITA","perm","std",0.014999999994,-1.75805150993119,0.339305529739094
"44","C-WEU-ITA","perm","adv",0.003000000006,-2.9067038567923,0.339305529739094
"45","C-WEU-LUX","perm","std",0.004,-3.06940262113619,0.174947490873088
"46","C-WEU-LUX","perm","adv",0.001,-3.94862706074815,0.174947490873088
"47","C-WEU-NLD","perm","std",0.008000000001,-2.47234758317472,0.206664562994794
"48","C-WEU-NLD","perm","adv",0.000999999999,-4.40881883571895,0.206664562994794
"49","C-WEU-PRT","perm","std",0.013000000006,-1.74846132739502,0.209651218096823
"50","C-WEU-PRT","perm","adv",0.000999999994,-3.47495489731624,0.209651218096823
"51","C-WEU-SWE","perm","std",0.007,-2.49206620168327,0.141969948441073
"52","C-WEU-SWE","perm","adv",0.001,-4.63427889367518,0.141969948441073
