"","region_bld","urt","clim","mat","arch","region_gea","year","bld_age","yr_con","eneff_i","fuel_heat","fuel","fuel_cool","n_units_fuel","inc_cl","tenr","eneff_f","utility_ren","scaling_factor"
"1","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",2.48506181333333,"q1","own","std",-11.8687317753908,1.23413808970515
"2","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",2.48506181333333,"q1","own","adv",-11.7387677034074,1.23413808970515
"3","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",2.55563152,"q1","rent","std",-11.8687317753908,1.23413808970515
"4","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",2.55563152,"q1","rent","adv",-11.7387677034074,1.23413808970515
"5","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",3.91157802666667,"q2","own","std",-11.8687317753908,1.23413808970515
"6","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",3.91157802666667,"q2","own","adv",-11.7387677034074,1.23413808970515
"7","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",1.12911530666667,"q2","rent","std",-11.8687317753908,1.23413808970515
"8","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",1.12911530666667,"q2","rent","adv",-11.7387677034074,1.23413808970515
"9","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",3.91157802666667,"q3","own","std",-11.8687317753908,1.23413808970515
"10","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",3.91157802666667,"q3","own","adv",-11.7387677034074,1.23413808970515
"11","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",1.12911530666667,"q3","rent","std",-11.8687317753908,1.23413808970515
"12","C-WEU-CYP","rur","Zone_3A Warm Humid","perm","mfh","WEU",2020,"p1",1945,"avg","biomass_solid","biomass_solid","electricity",1.12911530666667,"q3","rent","adv",-11.7387677034074,1.23413808970515
