,region_bld,mat,eneff_f,n_renovation,n_units_fuel,ms,target,ms_ini,constant
1,C-EEU-BGR,perm,adv,3109.390641,3105699.277,0.0010,0.0010,0.124049874,-6.905983638
2,C-EEU-BGR,perm,std,40372.70736,3105699.277,0.0130,0.0130,0.033021186,-2.765956221
3,C-EEU-CZE,perm,adv,4539.998136,4540027.005,0.0010,0.0010,0.039257684,-11.03355625
4,C-EEU-CZE,perm,std,72640.03053,4540027.005,0.0160,0.0160,0.009704661,-6.555914327
5,C-EEU-EST,perm,adv,580.728469,580222.9837,0.0010,0.0010,0.519142637,-12.0574442
6,C-EEU-EST,perm,std,4061.291199,580222.9837,0.0070,0.0070,0.00505051,-2.304189275
7,C-EEU-HUN,perm,adv,4037.943744,4037946.375,0.0010,0.0010,0.004636884,-3.11434668
8,C-EEU-HUN,perm,std,36341.86176,4037946.375,0.0090,0.0090,0.002644738,1.37714457
9,C-EEU-LTU,perm,adv,2770.173011,1385069.953,0.0020,0.0020,0.48864996,-8.815888885
10,C-EEU-LTU,perm,std,9695.484047,1385069.953,0.0070,0.0070,0.002170528,0.135017905
11,C-EEU-LVA,perm,adv,880677.3843,880677.3843,1.0000,0.0010,7.0445E-06,140.8065339
12,C-EEU-LVA,perm,std,4.70E-51,880677.3843,0.0000,0.0090,0.064729155,-1.118981714
13,C-EEU-POL,perm,adv,13640.00095,13639361.1,0.0010,0.0010,0.009004723,-2.963370583
14,C-EEU-POL,perm,std,204590.268,13639361.1,0.0150,0.0150,0.021360322,-0.535993148
15,C-EEU-ROU,perm,adv,7725.339121,7714305.487,0.0010,0.0010,0.118900422,-6.956129331
16,C-EEU-ROU,perm,std,100281.2206,7714305.487,0.0130,0.0130,0.02176921,-1.726546678
17,C-EEU-SVK,perm,adv,1944.767547,1943366.24,0.0010,0.0010,0.345411895,-19.79335552
18,C-EEU-SVK,perm,std,19432.48483,1943366.24,0.0100,0.0100,0.002382487,-10.67053362
19,C-EEU-SVN,perm,adv,836.3620243,836204.3109,0.0010,0.0010,0.12803183,-12.5589524
20,C-EEU-SVN,perm,std,10870.59381,836204.3109,0.0130,0.0130,0.010879544,-7.486692912
21,C-WEU-AUT,perm,adv,7569.512235,3769008.861,0.0020,0.0020,0.046147346,-22.25311655
22,C-WEU-AUT,perm,std,64043.77852,3769008.861,0.0170,0.0170,0.012892678,-17.26244739
23,C-WEU-BEL,perm,adv,4702880.053,4702880.053,1.0000,0.0020,5.73E-06,346.0957897
24,C-WEU-BEL,perm,std,1.60E-141,4702880.053,0.0000,0.0100,0.015826413,-3.135367542
25,C-WEU-CYP,perm,adv,3.79E-94,427050.3696,0.0000,0.0040,8.05E-05,48.75791528
26,C-WEU-CYP,perm,std,427050.3696,427050.3696,1.0000,0.0200,7.19E-05,277.2319872
27,C-WEU-DEU,perm,adv,39199789.02,39199789.02,1.0000,0.0010,0.028116732,331.8246315
28,C-WEU-DEU,perm,std,3.80E-146,39199789.02,0.0000,0.0090,0.001282924,-20.2682083
29,C-WEU-DNK,perm,adv,0,2424126.962,0.0000,0.0010,0.043404106,-5.936692285
30,C-WEU-DNK,perm,std,NA,2424126.962,NA,0.0060,2.79E-06,2142.605367
31,C-WEU-ESP,perm,adv,NA,18271919.94,NA,0.0030,0.158295968,149351.0022
32,C-WEU-ESP,perm,std,NA,18271919.94,NA,0.0170,0.125016998,475631.5353
33,C-WEU-FIN,perm,adv,1.02E-71,2653572.06,0.0000,0.0010,0.13177329,-285.6537793
34,C-WEU-FIN,perm,std,6.83E-75,2653572.06,0.0000,0.0030,0.000340728,-276.2818826
35,C-WEU-FRA,perm,adv,NA,29142259.63,NA,0.0020,2.40E-06,829.0587809
36,C-WEU-FRA,perm,std,0,29142259.63,0.0000,0.0100,0.037554252,-3.795778236
37,C-WEU-GBR,perm,adv,27782631.25,27782631.25,1.0000,0.0010,7.92E-06,120.1380901
38,C-WEU-GBR,perm,std,7.51E-43,27782631.25,0.0000,0.0110,0.071013057,-6.501375787
39,C-WEU-GRC,perm,adv,9157.747954,4579681.334,0.0020,0.0020,0.017521809,-4.863787557
40,C-WEU-GRC,perm,std,50392.81452,4579681.334,0.0110,0.0110,0.002629917,1.766746154
41,C-WEU-IRL,perm,adv,1.42E-260,1721107.876,0.0000,0.0010,0.016300649,-646.7516771
42,C-WEU-IRL,perm,std,9.37E-261,1721107.876,0.0000,0.0060,0.015108986,-644.9866901
43,C-WEU-ITA,perm,adv,76850.58665,25616870.26,0.0030,0.0030,0.006226582,-1.253932236
44,C-WEU-ITA,perm,std,384256.2643,25616870.26,0.0150,0.0150,0.009446144,0.530409779
45,C-WEU-LUX,perm,adv,NA,229480.5208,NA,0.0010,4.85E-10,2005056.254
46,C-WEU-LUX,perm,std,0,229480.5208,0.0000,0.0040,0.025923179,-25.90231535
47,C-WEU-NLD,perm,adv,8.57E-36,7595128.373,0.0000,0.0010,0.000501935,-120.3472051
48,C-WEU-NLD,perm,std,8.23E-36,7595128.373,0.0000,0.0080,0.011885404,-122.7215665
49,C-WEU-PRT,perm,adv,4130.212663,4129298.279,0.0010,0.0010,0.000257084,1.340921251
50,C-WEU-PRT,perm,std,53680.82431,4129298.279,0.0130,0.0130,0.016994316,-0.332170385
51,C-WEU-SWE,perm,adv,1.08E-161,4173120.368,0.0000,0.0010,0.172767085,-46.41623285
52,C-WEU-SWE,perm,std,4173120.368,4173120.368,1.0000,0.0070,1.73E-05,360.2435683
