name_input_old,name_parameter,name_file,category
pop_fut,pop,pop_clim_ssp2,basic
hh_size,hh_size,hh_size,basic
floor,floor_cap,floor_resid_ssp2,activity
hh_tenr,hh_tenure,hh_tenr,stock
shr_arch,shr_arch,bld_shr_arch_resid,stock
shr_mat,shr_mat,bld_share_mat_resid_ssp2,stock
bld_dyn_par,prob_dem,bld_demolition_distr_long,activity
shr_acc_cool,shr_acc_cool,bld_shr_access_cool_resid_ssp2,stock
shr_distr_heat,shr_distr_heat,bld_shr_district_heat_resid,stock
shr_fuel_heat_base,shr_fuel_heat_base,bld_share_fuel_heat_resid,stock
mat_int,mat_int,material_int_resid,material
eff_heat_scen,eff_heat ,eff_heat_ssp2,energy
eff_cool_scen,eff_cool,eff_cool_ssp2,energy
eff_hotwater_scen,eff_hotwater,eff_hotwater_resid,energy
heat_floor,shr_floor_heat,heat_floor_resid,energy
heat_hours_scen,hours_heat,heat_operation_hours_ssp2,energy
ren_en_sav_scen,en_sav_ren,ren_energy_savings_ssp2,energy
cool_data_scen,shr_floor_cool,cool_area_share,energy
,hours_cool,cool_hours,energy
,hours_fans,fans_hours,energy
,power_fans,fans_power,energy
,en_int_heat,heat_intensity,energy
,en_int_cool,cool_intensity,energy
,days_cool,cool_days,energy
shr_need_cool,shr_need_cool,shr_need_cool_resid,stock
shr_need_heat,shr_need_heat,shr_need_heat_resid,stock
en_cap_dhw,en_int_hotwater,en_int_resid_hotwater_SSP2_rev_2022-12-15,energy
bld_arch_age,stock_arch_base,stock_baseyear_resid,stock
c_int_new_heat,cost_intang_new_heat,cost_int_new_heat_ssp2,decision
c_int_new_shell,cost_intang_new_shell,cost_int_new_shell_ssp2,decision
c_int_ren_heat,cost_intang_ren_heat,cost_int_ren_heat,decision
c_int_ren_shell,cost_intang_ren_shell,cost_int_ren_shell_ssp2,decision
c_inv_new_heat,cost_invest_new_heat,cost_inv_new_heat_ssp2,decision
c_inv_new_shell,cost_invest_new_shell,cost_inv_new_shell,decision
c_inv_ren_heat,cost_invest_ren_heat,cost_inv_ren_heat_ssp2,decision
c_inv_ren_shell,cost_invest_ren_shell,cost_inv_ren_shell,decision
l_new,lifetime_new,bld_lifetime_new,decision
l_ren,lifetime_ren,bld_lifetime_ren,decision
r_new,discount_new,discount_rate_new,decision
r_ren,discount_ren,discount_rate_ren,decision
ren_en_min,rate_ren_low,ren_rate_en_min,decision
ren_en_max,rate_ren_high,ren_rate_en_max_ssp2,decision
nu_new,heterog_new,heterog_new,decision
nu_ren,heterog_ren,heterog_ren,decision
ct_fuel_excl_new,ct_fuel_excl_new,ct_fuel_excluded_new,decision
ct_fuel_excl_ren,ct_fuel_excl_ren,ct_fuel_excluded_ren,decision
ct_fuel_excl_reg,ct_fuel_excl_reg,ct_fuel_excluded_reg,decision
ct_ren_fuel_heat,ct_ren_fuel_heat,ct_ren_fuel_heat_scen,decision
ct_ren_eneff,ct_ren_eneff,ct_ren_eneff2,skip
price,,,skip
