region_bld,clim,urt,inc_cl,year,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2015,0.027602788
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2020,0.036238353
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2025,0.049139277
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2030,0.070724101
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2035,0.100999266
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2040,0.143201222
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2045,0.178276675
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2050,0.222816662
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2055,0.275860778
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2060,0.308675548
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2065,0.368158322
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2070,0.393787254
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2075,0.404981468
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2080,0.442303181
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2085,0.459503921
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2090,0.479626739
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2095,0.497099836
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,2100,0.500669279
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2015,0.07319631
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2020,0.127447932
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2025,0.207059833
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2030,0.335248824
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2035,0.4392818
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2040,0.49151507
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2045,0.520193799
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2050,0.531667266
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2055,0.538519263
C-EEU-BGR,Zone_4A Mixed Humid,rur,q2,2060,0.541349092
