fuel_heat_f,bld_age,year,value
coal,p1,2025,1
coal,p1,2030,1
coal,p1,2035,1
coal,p1,2040,1
coal,p1,2045,1
coal,p1,2050,1
oil,p1,2025,1
oil,p1,2030,1
oil,p1,2035,1
oil,p1,2040,1
oil,p1,2045,1
oil,p1,2050,1
gas,p1,2030,1
gas,p1,2035,1
gas,p1,2040,1
gas,p1,2045,1
gas,p1,2050,1
coal,p2,2025,1
coal,p2,2030,1
coal,p2,2035,1
coal,p2,2040,1
coal,p2,2045,1
coal,p2,2050,1
oil,p2,2025,1
oil,p2,2030,1
oil,p2,2035,1
oil,p2,2040,1
oil,p2,2045,1
oil,p2,2050,1
gas,p2,2030,1
gas,p2,2035,1
gas,p2,2040,1
gas,p2,2045,1
gas,p2,2050,1
coal,p3,2025,1
coal,p3,2030,1
coal,p3,2035,1
coal,p3,2040,1
coal,p3,2045,1
coal,p3,2050,1
oil,p3,2025,1
oil,p3,2030,1
oil,p3,2035,1
oil,p3,2040,1
oil,p3,2045,1
oil,p3,2050,1
gas,p3,2030,1
gas,p3,2035,1
gas,p3,2040,1
gas,p3,2045,1
gas,p3,2050,1
gas,p5,2030,1
gas,p5,2035,1
gas,p5,2040,1
gas,p5,2045,1
gas,p5,2050,1
