year,bld_age,value
2025,p1,1
2025,p2,0
2025,p3,0
2030,p1,1
2030,p2,0.5
2030,p3,0
2035,p1,1
2035,p2,0.5
2035,p3,0.2
2040,p1,1
2040,p2,1
2040,p3,1
2045,p1,1
2045,p2,1
2045,p3,1
2050,p1,1
2050,p2,1
2050,p3,1
