year,region_bld,value
2025,C-EEU-BGR,2747053.35
2030,C-EEU-BGR,3662737.65
2035,C-EEU-BGR,3662737.65
2040,C-EEU-BGR,3662737.65
2045,C-EEU-BGR,3662737.65
2050,C-EEU-BGR,3662737.65
2025,C-EEU-CZE,5144559.75
2030,C-EEU-CZE,6859413.45
2035,C-EEU-CZE,6859413.45
2040,C-EEU-CZE,6859413.45
2045,C-EEU-CZE,6859413.45
2050,C-EEU-CZE,6859413.45
2025,C-EEU-EST,327562.2
2030,C-EEU-EST,436749.75
2035,C-EEU-EST,436749.75
2040,C-EEU-EST,436749.75
2045,C-EEU-EST,436749.75
2050,C-EEU-EST,436749.75
2025,C-EEU-HUN,2891520.9
2030,C-EEU-HUN,3855361.05
2035,C-EEU-HUN,3855361.05
2040,C-EEU-HUN,3855361.05
2045,C-EEU-HUN,3855361.05
2050,C-EEU-HUN,3855361.05
2025,C-EEU-LTU,859721.85
2030,C-EEU-LTU,1146295.8
2035,C-EEU-LTU,1146295.8
2040,C-EEU-LTU,1146295.8
2045,C-EEU-LTU,1146295.8
2050,C-EEU-LTU,1146295.8
2025,C-EEU-LVA,552845.25
2030,C-EEU-LVA,737127
2035,C-EEU-LVA,737127
2040,C-EEU-LVA,737127
2045,C-EEU-LVA,737127
2050,C-EEU-LVA,737127
2025,C-EEU-POL,13883834.25
2030,C-EEU-POL,18511779.15
2035,C-EEU-POL,18511779.15
2040,C-EEU-POL,18511779.15
2045,C-EEU-POL,18511779.15
2050,C-EEU-POL,18511779.15
2025,C-EEU-ROU,7398018.9
2030,C-EEU-ROU,9864025.2
2035,C-EEU-ROU,9864025.2
2040,C-EEU-ROU,9864025.2
2045,C-EEU-ROU,9864025.2
2050,C-EEU-ROU,9864025.2
2025,C-EEU-SVK,1468716.3
2030,C-EEU-SVK,1958288.4
2035,C-EEU-SVK,1958288.4
2040,C-EEU-SVK,1958288.4
2045,C-EEU-SVK,1958288.4
2050,C-EEU-SVK,1958288.4
2025,C-EEU-SVN,780730.65
2030,C-EEU-SVN,1040974.2
2035,C-EEU-SVN,1040974.2
2040,C-EEU-SVN,1040974.2
2045,C-EEU-SVN,1040974.2
2050,C-EEU-SVN,1040974.2
2025,C-WEU-AUT,4987555.2
2030,C-WEU-AUT,6650073.45
2035,C-WEU-AUT,6650073.45
2040,C-WEU-AUT,6650073.45
2045,C-WEU-AUT,6650073.45
2050,C-WEU-AUT,6650073.45
2025,C-WEU-BEL,3875582.25
2030,C-WEU-BEL,5167442.7
2035,C-WEU-BEL,5167442.7
2040,C-WEU-BEL,5167442.7
2045,C-WEU-BEL,5167442.7
2050,C-WEU-BEL,5167442.7
2025,C-WEU-CYP,705914.1
2030,C-WEU-CYP,941219.1
2035,C-WEU-CYP,941219.1
2040,C-WEU-CYP,941219.1
2045,C-WEU-CYP,941219.1
2050,C-WEU-CYP,941219.1
2025,C-WEU-DEU,27716700.6
2030,C-WEU-DEU,36955601.1
2035,C-WEU-DEU,36955601.1
2040,C-WEU-DEU,36955601.1
2045,C-WEU-DEU,36955601.1
2050,C-WEU-DEU,36955601.1
2025,C-WEU-DNK,1149899.85
2030,C-WEU-DNK,1533199.5
2035,C-WEU-DNK,1533199.5
2040,C-WEU-DNK,1533199.5
2045,C-WEU-DNK,1533199.5
2050,C-WEU-DNK,1533199.5
2025,C-WEU-ESP,25818223.05
2030,C-WEU-ESP,34424297.1
2035,C-WEU-ESP,34424297.1
2040,C-WEU-ESP,34424297.1
2045,C-WEU-ESP,34424297.1
2050,C-WEU-ESP,34424297.1
2025,C-WEU-FIN,556155.45
2030,C-WEU-FIN,741540.6
2035,C-WEU-FIN,741540.6
2040,C-WEU-FIN,741540.6
2045,C-WEU-FIN,741540.6
2050,C-WEU-FIN,741540.6
2025,C-WEU-FRA,23819823.45
2030,C-WEU-FRA,31759764.3
2035,C-WEU-FRA,31759764.3
2040,C-WEU-FRA,31759764.3
2045,C-WEU-FRA,31759764.3
2050,C-WEU-FRA,31759764.3
2025,C-WEU-GRC,3864106.35
2030,C-WEU-GRC,5152141.35
2035,C-WEU-GRC,5152141.35
2040,C-WEU-GRC,5152141.35
2045,C-WEU-GRC,5152141.35
2050,C-WEU-GRC,5152141.35
2025,C-WEU-HRV,1457820
2030,C-WEU-HRV,1943730
2035,C-WEU-HRV,1943730
2040,C-WEU-HRV,1943730
2045,C-WEU-HRV,1943730
2050,C-WEU-HRV,1943730
2025,C-WEU-IRL,834307.2
2030,C-WEU-IRL,1112409.45
2035,C-WEU-IRL,1112409.45
2040,C-WEU-IRL,1112409.45
2045,C-WEU-IRL,1112409.45
2050,C-WEU-IRL,1112409.45
2025,C-WEU-ITA,31124497.5
2030,C-WEU-ITA,41499329.85
2035,C-WEU-ITA,41499329.85
2040,C-WEU-ITA,41499329.85
2045,C-WEU-ITA,41499329.85
2050,C-WEU-ITA,41499329.85
2025,C-WEU-LUX,77772.6
2030,C-WEU-LUX,103696.65
2035,C-WEU-LUX,103696.65
2040,C-WEU-LUX,103696.65
2045,C-WEU-LUX,103696.65
2050,C-WEU-LUX,103696.65
2025,C-WEU-MLT,77245.65
2030,C-WEU-MLT,102994.65
2035,C-WEU-MLT,102994.65
2040,C-WEU-MLT,102994.65
2045,C-WEU-MLT,102994.65
2050,C-WEU-MLT,102994.65
2025,C-WEU-NLD,4676959.35
2030,C-WEU-NLD,6235945.65
2035,C-WEU-NLD,6235945.65
2040,C-WEU-NLD,6235945.65
2045,C-WEU-NLD,6235945.65
2050,C-WEU-NLD,6235945.65
2025,C-WEU-PRT,4084289.1
2030,C-WEU-PRT,5445718.65
2035,C-WEU-PRT,5445718.65
2040,C-WEU-PRT,5445718.65
2045,C-WEU-PRT,5445718.65
2050,C-WEU-PRT,5445718.65
2025,C-WEU-SWE,2639394.45
2030,C-WEU-SWE,3519192.6
2035,C-WEU-SWE,3519192.6
