region_bld,eneff_f,value
C-EEU-BGR,std,0.3
C-EEU-CZE,std,0.3
C-EEU-EST,std,0.3
C-EEU-HUN,std,0.3
C-EEU-LTU,std,0.3
C-EEU-LVA,std,0.3
C-EEU-POL,std,0.3
C-EEU-ROU,std,0.3
C-EEU-SVK,std,0.3
C-EEU-SVN,std,0.3
C-WEU-AUT,std,0.3
C-WEU-BEL,std,0.3
C-WEU-CHE,std,0.3
C-WEU-CYP,std,0.3
C-WEU-DEU,std,0.3
C-WEU-DNK,std,0.3
C-WEU-ESP,std,0.3
C-WEU-FIN,std,0.3
C-WEU-FRA,std,0.3
C-WEU-GBR,std,0.3
C-WEU-GRC,std,0.3
C-WEU-IRL,std,0.3
C-WEU-ISL,std,0.3
C-WEU-ITA,std,0.3
C-WEU-LUX,std,0.3
C-WEU-MLT,std,0.3
C-WEU-NLD,std,0.3
C-WEU-NOR,std,0.3
C-WEU-PRT,std,0.3
C-WEU-SWE,std,0.3
C-EEU-BGR,adv,0.3
C-EEU-CZE,adv,0.3
C-EEU-EST,adv,0.3
C-EEU-HUN,adv,0.3
C-EEU-LTU,adv,0.3
C-EEU-LVA,adv,0.3
C-EEU-POL,adv,0.3
C-EEU-ROU,adv,0.3
C-EEU-SVK,adv,0.3
C-EEU-SVN,adv,0.3
C-WEU-AUT,adv,0.3
C-WEU-BEL,adv,0.3
C-WEU-CHE,adv,0.3
C-WEU-CYP,adv,0.3
C-WEU-DEU,adv,0.3
C-WEU-DNK,adv,0.3
C-WEU-ESP,adv,0.3
C-WEU-FIN,adv,0.3
C-WEU-FRA,adv,0.3
C-WEU-GBR,adv,0.3
C-WEU-GRC,adv,0.3
C-WEU-IRL,adv,0.3
C-WEU-ISL,adv,0.3
C-WEU-ITA,adv,0.3
C-WEU-LUX,adv,0.3
C-WEU-MLT,adv,0.3
C-WEU-NLD,adv,0.3
C-WEU-NOR,adv,0.3
C-WEU-PRT,adv,0.3
C-WEU-SWE,adv,0.3
