region_bld,value
C-WEU-AUT,147779.4111
C-WEU-BEL,114832.0626
C-EEU-BGR,81394.16673
C-WEU-HRV,0
C-WEU-CYP,20915.97808
C-EEU-CZE,152431.4065
C-WEU-DNK,34071.10442
C-EEU-EST,9705.548102
C-WEU-FIN,16478.68251
C-WEU-FRA,705772.5423
C-WEU-DEU,821235.5792
C-WEU-GRC,114492.0334
C-EEU-HUN,85674.6883
C-WEU-IRL,24720.20868
C-WEU-ITA,922207.3295
C-EEU-LVA,16380.59935
C-EEU-LTU,25473.24304
C-WEU-LUX,2304.366896
C-WEU-MLT,2288.766082
C-WEU-NLD,138576.5695
C-EEU-POL,411372.8729
C-WEU-PRT,121015.9682
C-EEU-ROU,219200.5616
C-EEU-SVK,43517.52259
C-EEU-SVN,23132.75608
C-WEU-ESP,764984.3817
C-WEU-SWE,78204.2757
