fuel_heat_f,year,value
heat_pump,2020,0
heat_pump,2025,0
heat_pump,2030,207
heat_pump,2035,225
heat_pump,2040,243
heat_pump,2045,261
heat_pump,2050,279
heat_pump,2055,297
heat_pump,2060,315
heat_pump,2065,328.5
heat_pump,2070,342
heat_pump,2075,355.5
heat_pump,2080,369
