mat,fuel_heat,fuel_heat_f,year,value
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,biomass_solid,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,coal,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,gas,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
perm,oil,electricity,NA,1
