region_gea,fuel_heat,bld_age_min,year,value
WEU,nsp,20,NA,0.01
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
WEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.01
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
EEU,nsp,20,NA,0.05
"NAM",nsp,20,NA,0.01
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
"NAM",nsp,20,NA,0.05
PAO,nsp,20,NA,0.01
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
PAO,nsp,20,NA,0.05
FSU,nsp,20,NA,0.01
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
FSU,nsp,20,NA,0.05
AFR,nsp,20,NA,0.01
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
AFR,nsp,20,NA,0.05
SAS,nsp,20,NA,0.01
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
SAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.01
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
PAS,nsp,20,NA,0.05
LAC,nsp,20,NA,0.01
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
LAC,nsp,20,NA,0.05
MEA,nsp,20,NA,0.01
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
MEA,nsp,20,NA,0.05
CPA,nsp,20,NA,0.01
CPA,nsp,20,NA,0.05
CPA,nsp,20,NA,0.05
CPA,nsp,20,NA,0.05
CPA,nsp,20,NA,0.05
CPA,nsp,20,NA,0.05
