region_gea,mat,arch,bld_age,prob_dem_k,prob_dem_lambda
PAS,sub,inf,ns,1.88,41.23
CPA,sub,inf,ns,2,33.85
EEU,sub,inf,ns,2.5,73.26
NAM,sub,inf,ns,4.16,85.19
WEU,sub,inf,ns,2.95,150
LAC,sub,inf,ns,1.97,68.24
PAO,sub,inf,ns,1.97,94
FSU,sub,inf,ns,2.5,73.26
AFR,sub,inf,ns,1.97,67.34
MEA,sub,inf,ns,1.97,67.34
SAS,sub,inf,ns,1.97,67.34
PAS,perm,mfh,p1,1.9,43.95
CPA,perm,mfh,p1,2,31.03
EEU,perm,mfh,p1,2.5,150
NAM,perm,mfh,p1,4.16,150
WEU,perm,mfh,p1,2.95,150
LAC,perm,mfh,p1,1.97,68.24
PAO,perm,mfh,p1,1.97,94
FSU,perm,mfh,p1,2.5,53.6
AFR,perm,mfh,p1,1.97,67.34
MEA,perm,mfh,p1,1.97,67.34
SAS,perm,mfh,p1,1.97,67.34
PAS,perm,sfh,p1,1.88,41.23
CPA,perm,sfh,p1,2,33.85
EEU,perm,sfh,p1,2.5,150
NAM,perm,sfh,p1,4.16,150
WEU,perm,sfh,p1,2.95,150
LAC,perm,sfh,p1,1.97,68.24
PAO,perm,sfh,p1,1.97,94
FSU,perm,sfh,p1,2.5,73.26
AFR,perm,sfh,p1,1.97,67.34
MEA,perm,sfh,p1,1.97,67.34
SAS,perm,sfh,p1,1.97,67.34
PAS,perm,mfh,p2,1.9,43.95
CPA,perm,mfh,p2,2,31.03
EEU,perm,mfh,p2,2.5,53.6
NAM,perm,mfh,p2,4.16,85.19
WEU,perm,mfh,p2,2.95,70.82
LAC,perm,mfh,p2,1.97,68.24
PAO,perm,mfh,p2,1.97,94
FSU,perm,mfh,p2,2.5,53.6
AFR,perm,mfh,p2,1.97,67.34
MEA,perm,mfh,p2,1.97,67.34
SAS,perm,mfh,p2,1.97,67.34
PAS,perm,sfh,p2,1.88,41.23
CPA,perm,sfh,p2,2,33.85
EEU,perm,sfh,p2,2.5,73.26
NAM,perm,sfh,p2,4.16,85.19
WEU,perm,sfh,p2,2.95,70.82
LAC,perm,sfh,p2,1.97,68.24
PAO,perm,sfh,p2,1.97,94
FSU,perm,sfh,p2,2.5,73.26
AFR,perm,sfh,p2,1.97,67.34
MEA,perm,sfh,p2,1.97,67.34
SAS,perm,sfh,p2,1.97,67.34
PAS,perm,mfh,p3,1.9,43.95
CPA,perm,mfh,p3,2,31.03
EEU,perm,mfh,p3,2.5,53.6
NAM,perm,mfh,p3,4.16,85.19
WEU,perm,mfh,p3,2.95,70.82
LAC,perm,mfh,p3,1.97,68.24
PAO,perm,mfh,p3,1.97,94
FSU,perm,mfh,p3,2.5,53.6
AFR,perm,mfh,p3,1.97,67.34
MEA,perm,mfh,p3,1.97,67.34
SAS,perm,mfh,p3,1.97,67.34
PAS,perm,sfh,p3,1.88,41.23
CPA,perm,sfh,p3,2,33.85
EEU,perm,sfh,p3,2.5,73.26
NAM,perm,sfh,p3,4.16,85.19
WEU,perm,sfh,p3,2.95,70.82
LAC,perm,sfh,p3,1.97,68.24
PAO,perm,sfh,p3,1.97,94
FSU,perm,sfh,p3,2.5,73.26
AFR,perm,sfh,p3,1.97,67.34
MEA,perm,sfh,p3,1.97,67.34
SAS,perm,sfh,p3,1.97,67.34
PAS,perm,mfh,p5,1.9,43.95
CPA,perm,mfh,p5,2,31.03
EEU,perm,mfh,p5,2.5,53.6
NAM,perm,mfh,p5,4.16,85.19
WEU,perm,mfh,p5,2.95,70.82
LAC,perm,mfh,p5,1.97,68.24
PAO,perm,mfh,p5,1.97,94
FSU,perm,mfh,p5,2.5,53.6
AFR,perm,mfh,p5,1.97,67.34
MEA,perm,mfh,p5,1.97,67.34
SAS,perm,mfh,p5,1.97,67.34
PAS,perm,sfh,p5,1.88,41.23
CPA,perm,sfh,p5,2,33.85
EEU,perm,sfh,p5,2.5,73.26
NAM,perm,sfh,p5,4.16,85.19
WEU,perm,sfh,p5,2.95,70.82
LAC,perm,sfh,p5,1.97,68.24
PAO,perm,sfh,p5,1.97,94
FSU,perm,sfh,p5,2.5,73.26
AFR,perm,sfh,p5,1.97,67.34
MEA,perm,sfh,p5,1.97,67.34
SAS,perm,sfh,p5,1.97,67.34
