mat,eneff_i,eneff_f,fuel_heat_f,year,value
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr11_std,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s1,sr12_low,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr21_std,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s2,sr22_low,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr31_std,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
perm,s3,sr32_low,electricity,NA,1
