region_gea,fuel_heat,bld_age_min,year,value
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
WEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
EEU,gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
"NAM",gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
PAO,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
FSU,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
AFR,gas,20,NA,0.01
SAS,gas,20,NA,0.01
SAS,gas,20,NA,0.01
SAS,gas,20,NA,0.01
SAS,gas,20,NA,0.01
SAS,gas,20,NA,0.01
SAS,gas,20,NA,0.01
SAS,gas,20,NA,0.01
