region_gea,mat,eneff,year,value
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s51_std,NA,1
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
AFR,perm,s52_low,NA,0
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s51_std,NA,0.95
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
CPA,perm,s52_low,NA,0.05
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s51_std,NA,0
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
EEU,perm,s52_low,NA,1
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s51_std,NA,0.95
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
FSU,perm,s52_low,NA,0.05
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
LAC,perm,s51_std,NA,1
