region_gea,mat,eneff_i,eneff_f,year,value
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
"NAM",perm,s1,sr11_std,NA,0.95
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
WEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
EEU,perm,s1,sr11_std,NA,0.9
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
FSU,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
PAO,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
CPA,perm,s1,sr11_std,NA,0.95
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
