mat,eneff,fuel_heat,fuel_cool,year,value
perm,s51_std,biomass_solid,electricity,2020,0
perm,s51_std,coal,electricity,2020,0
perm,s51_std,district_heat,electricity,2020,0
perm,s51_std,electricity,electricity,2020,0
perm,s51_std,heat pump,electricity,2020,0.4
perm,s51_std,gas,electricity,2020,0.6
perm,s51_std,oil,electricity,2020,0
perm,s52_low,biomass_solid,electricity,2020,0
perm,s52_low,coal,electricity,2020,0
perm,s52_low,district_heat,electricity,2020,0
perm,s52_low,electricity,electricity,2020,0
perm,s52_low,heat pump,electricity,2020,0.4
perm,s52_low,gas,electricity,2020,0.6
perm,s52_low,oil,electricity,2020,0
perm,s51_std,biomass_solid,electricity,2025,0
perm,s51_std,coal,electricity,2025,0
perm,s51_std,district_heat,electricity,2025,0
perm,s51_std,electricity,electricity,2025,0
perm,s51_std,heat pump,electricity,2025,0.45
perm,s51_std,gas,electricity,2025,0.55
perm,s51_std,oil,electricity,2025,0
perm,s52_low,biomass_solid,electricity,2025,0
perm,s52_low,coal,electricity,2025,0
perm,s52_low,district_heat,electricity,2025,0
perm,s52_low,electricity,electricity,2025,0
perm,s52_low,heat pump,electricity,2025,0.45
perm,s52_low,gas,electricity,2025,0.55
perm,s52_low,oil,electricity,2025,0
perm,s51_std,biomass_solid,electricity,2030,0
perm,s51_std,coal,electricity,2030,0
perm,s51_std,district_heat,electricity,2030,0
perm,s51_std,electricity,electricity,2030,0
perm,s51_std,heat pump,electricity,2030,0.5
perm,s51_std,gas,electricity,2030,0.5
perm,s51_std,oil,electricity,2030,0
perm,s52_low,biomass_solid,electricity,2030,0
perm,s52_low,coal,electricity,2030,0
perm,s52_low,district_heat,electricity,2030,0
perm,s52_low,electricity,electricity,2030,0
perm,s52_low,heat pump,electricity,2030,0.5
perm,s52_low,gas,electricity,2030,0.5
perm,s52_low,oil,electricity,2030,0
perm,s51_std,biomass_solid,electricity,2035,0
perm,s51_std,coal,electricity,2035,0
perm,s51_std,district_heat,electricity,2035,0
perm,s51_std,electricity,electricity,2035,0
perm,s51_std,heat pump,electricity,2035,0.55
perm,s51_std,gas,electricity,2035,0.45
perm,s51_std,oil,electricity,2035,0
perm,s52_low,biomass_solid,electricity,2035,0
perm,s52_low,coal,electricity,2035,0
perm,s52_low,district_heat,electricity,2035,0
perm,s52_low,electricity,electricity,2035,0
perm,s52_low,heat pump,electricity,2035,0.55
perm,s52_low,gas,electricity,2035,0.45
perm,s52_low,oil,electricity,2035,0
perm,s51_std,biomass_solid,electricity,2040,0
perm,s51_std,coal,electricity,2040,0
perm,s51_std,district_heat,electricity,2040,0
perm,s51_std,electricity,electricity,2040,0
perm,s51_std,heat pump,electricity,2040,0.6
perm,s51_std,gas,electricity,2040,0.4
perm,s51_std,oil,electricity,2040,0
perm,s52_low,biomass_solid,electricity,2040,0
perm,s52_low,coal,electricity,2040,0
perm,s52_low,district_heat,electricity,2040,0
perm,s52_low,electricity,electricity,2040,0
perm,s52_low,heat pump,electricity,2040,0.6
perm,s52_low,gas,electricity,2040,0.4
perm,s52_low,oil,electricity,2040,0
perm,s51_std,biomass_solid,electricity,2045,0
perm,s51_std,coal,electricity,2045,0
perm,s51_std,district_heat,electricity,2045,0
perm,s51_std,electricity,electricity,2045,0
perm,s51_std,heat pump,electricity,2045,0.65
perm,s51_std,gas,electricity,2045,0.35
perm,s51_std,oil,electricity,2045,0
perm,s52_low,biomass_solid,electricity,2045,0
perm,s52_low,coal,electricity,2045,0
perm,s52_low,district_heat,electricity,2045,0
perm,s52_low,electricity,electricity,2045,0
perm,s52_low,heat pump,electricity,2045,0.65
perm,s52_low,gas,electricity,2045,0.35
perm,s52_low,oil,electricity,2045,0
perm,s51_std,biomass_solid,electricity,2050,0
perm,s51_std,coal,electricity,2050,0
perm,s51_std,district_heat,electricity,2050,0
perm,s51_std,electricity,electricity,2050,0
perm,s51_std,heat pump,electricity,2050,0.7
perm,s51_std,gas,electricity,2050,0.3
perm,s51_std,oil,electricity,2050,0
perm,s52_low,biomass_solid,electricity,2050,0
perm,s52_low,coal,electricity,2050,0
perm,s52_low,district_heat,electricity,2050,0
perm,s52_low,electricity,electricity,2050,0
perm,s52_low,heat pump,electricity,2050,0.7
perm,s52_low,gas,electricity,2050,0.3
perm,s52_low,oil,electricity,2050,0
perm,s51_std,biomass_solid,electricity,2055,0
