region_bld,year,pop
C-EEU-BGR,2020,7.02023900000001
C-EEU-BGR,2025,6.662969
C-EEU-BGR,2030,6.381330999999999
C-EEU-BGR,2035,6.101438
C-EEU-BGR,2040,5.824676999999999
C-EEU-BGR,2045,5.561163999999999
C-EEU-BGR,2050,5.311914
C-EEU-BGR,2055,5.069331
C-EEU-BGR,2060,4.827020999999999
C-EEU-BGR,2065,4.584518
C-EEU-BGR,2070,4.343579999999999
C-EEU-BGR,2075,4.107842999999999
C-EEU-BGR,2080,3.8857829999999995
C-EEU-BGR,2085,3.6803449999999995
C-EEU-BGR,2090,3.4927189999999997
C-EEU-BGR,2095,3.3176729999999997
C-EEU-BGR,2100,3.144158
C-EEU-CZE,2020,10.537908
C-EEU-CZE,2025,10.823435
C-EEU-CZE,2030,10.63693
C-EEU-CZE,2035,10.413412000000001
C-EEU-CZE,2040,10.184221
C-EEU-CZE,2045,9.97881200000001
C-EEU-CZE,2050,9.78776000000001
C-EEU-CZE,2055,9.586506
C-EEU-CZE,2060,9.34804400000001
C-EEU-CZE,2065,9.058271000000001
C-EEU-CZE,2070,8.72495799999999
C-EEU-CZE,2075,8.377423
C-EEU-CZE,2080,8.040584999999998
C-EEU-CZE,2085,7.724335
C-EEU-CZE,2090,7.4229460000000005
C-EEU-CZE,2095,7.13007199999999
C-EEU-CZE,2100,6.834345000000001
C-EEU-EST,2020,1.329091
C-EEU-EST,2025,1.344581
C-EEU-EST,2030,1.3034890000000001
C-EEU-EST,2035,1.2633510000000001
C-EEU-EST,2040,1.225964
C-EEU-EST,2045,1.192837
C-EEU-EST,2050,1.161504
C-EEU-EST,2055,1.1287449999999999
C-EEU-EST,2060,1.0934490000000001
C-EEU-EST,2065,1.056023
C-EEU-EST,2070,1.017026
C-EEU-EST,2075,0.9773009999999992
C-EEU-EST,2080,0.9374680000000001
C-EEU-EST,2085,0.898085
C-EEU-EST,2090,0.859565
C-EEU-EST,2095,0.821911
C-EEU-EST,2100,0.783931
C-EEU-HRV,2020,4.114644
C-EEU-HRV,2025,3.972345
C-EEU-HRV,2030,3.824537
C-EEU-HRV,2035,3.6770270000000003
C-EEU-HRV,2040,3.52892
C-EEU-HRV,2045,3.386543
C-EEU-HRV,2050,3.2504340000000003
C-EEU-HRV,2055,3.1190870000000004
C-EEU-HRV,2060,2.991174
C-EEU-HRV,2065,2.866573
C-EEU-HRV,2070,2.7433620000000003
C-EEU-HRV,2075,2.620416
C-EEU-HRV,2080,2.498846
C-EEU-HRV,2085,2.379978
C-EEU-HRV,2090,2.264357
C-EEU-HRV,2095,2.1508260000000003
C-EEU-HRV,2100,2.038397
C-EEU-HUN,2020,9.77012300000001
C-EEU-HUN,2025,9.569508000000011
C-EEU-HUN,2030,9.351093000000002
C-EEU-HUN,2035,9.097109000000001
C-EEU-HUN,2040,8.82004500000001
C-EEU-HUN,2045,8.543519000000009
C-EEU-HUN,2050,8.274496000000001
C-EEU-HUN,2055,8.003462
C-EEU-HUN,2060,7.717272999999991
C-EEU-HUN,2065,7.4035400000000005
C-EEU-HUN,2070,7.068934000000001
C-EEU-HUN,2075,6.72879300000001
C-EEU-HUN,2080,6.397528000000001
C-EEU-HUN,2085,6.07704300000001
C-EEU-HUN,2090,5.759281
C-EEU-HUN,2095,5.442957000000002
C-EEU-HUN,2100,5.128394
C-EEU-LTU,2020,2.835902
C-EEU-LTU,2025,2.719232
C-EEU-LTU,2030,2.567445
C-EEU-LTU,2035,2.421891
C-EEU-LTU,2040,2.283136
C-EEU-LTU,2045,2.156524
C-EEU-LTU,2050,2.0381810000000002
C-EEU-LTU,2055,1.9222460000000001
C-EEU-LTU,2060,1.8087080000000002
C-EEU-LTU,2065,1.7039210000000002
C-EEU-LTU,2070,1.608435
C-EEU-LTU,2075,1.5213240000000001
C-EEU-LTU,2080,1.4416780000000002
C-EEU-LTU,2085,1.3674240000000002
C-EEU-LTU,2090,1.2977480000000001
C-EEU-LTU,2095,1.2329629999999998
C-EEU-LTU,2100,1.172728
C-EEU-LVA,2020,1.907241
C-EEU-LVA,2025,1.832553
C-EEU-LVA,2030,1.725329
C-EEU-LVA,2035,1.6261959999999998
C-EEU-LVA,2040,1.537952
C-EEU-LVA,2045,1.4607970000000001
C-EEU-LVA,2050,1.3908399999999999
C-EEU-LVA,2055,1.323696
C-EEU-LVA,2060,1.258248
C-EEU-LVA,2065,1.1958689999999998
C-EEU-LVA,2070,1.1363530000000002
C-EEU-LVA,2075,1.079914
C-EEU-LVA,2080,1.026208
C-EEU-LVA,2085,0.974962999999999
C-EEU-LVA,2090,0.9261980000000001
C-EEU-LVA,2095,0.879498999999999
C-EEU-LVA,2100,0.8332590000000001
C-EEU-POL,2020,38.477961
C-EEU-POL,2025,38.922467
C-EEU-POL,2030,37.965129000000005
C-EEU-POL,2035,36.914564
C-EEU-POL,2040,35.808191
C-EEU-POL,2045,34.703821000000005
C-EEU-POL,2050,33.626324000000004
C-EEU-POL,2055,32.499992
C-EEU-POL,2060,31.308496
C-EEU-POL,2065,30.042855
C-EEU-POL,2070,28.683541
C-EEU-POL,2075,27.257786
C-EEU-POL,2080,25.830242
C-EEU-POL,2085,24.465322
C-EEU-POL,2090,23.206235
C-EEU-POL,2095,22.053181000000002
C-EEU-POL,2100,20.970088
C-EEU-ROU,2020,19.489724988154148
C-EEU-ROU,2025,18.83570998740079
C-EEU-ROU,2030,18.17773198688004
C-EEU-ROU,2035,17.45912198661322
C-EEU-ROU,2040,16.71830698654728
C-EEU-ROU,2045,15.97521798663769
C-EEU-ROU,2050,15.229819986856818
C-EEU-ROU,2055,14.476256987186485
C-EEU-ROU,2060,13.695118987624543
C-EEU-ROU,2065,12.904093988139975
C-EEU-ROU,2070,12.132452988692554
C-EEU-ROU,2075,11.409450989243055
C-EEU-ROU,2080,10.74038098977666
C-EEU-ROU,2085,10.12470499028575
C-EEU-ROU,2090,9.556473990770069
C-EEU-ROU,2095,9.023028991236824
C-EEU-ROU,2100,8.502044991704555
C-EEU-SVK,2020,5.457542
C-EEU-SVK,2025,5.4871229999999995
C-EEU-SVK,2030,5.4235940000000005
C-EEU-SVK,2035,5.3274
C-EEU-SVK,2040,5.206106000000001
C-EEU-SVK,2045,5.077668999999999
C-EEU-SVK,2050,4.945226
