region_bld,urt,year,value
C-EEU-BGR,rur,2015,2.34
C-EEU-BGR,rur,2020,2.34
C-EEU-BGR,rur,2025,2.34
C-EEU-BGR,rur,2030,2.34
C-EEU-BGR,rur,2035,2.34
C-EEU-BGR,rur,2040,2.34
C-EEU-BGR,rur,2045,2.34
C-EEU-BGR,rur,2050,2.34
C-EEU-BGR,rur,2055,2.34
C-EEU-BGR,rur,2060,2.34
C-EEU-BGR,rur,2065,2.34
C-EEU-BGR,rur,2070,2.34
C-EEU-BGR,rur,2075,2.34
C-EEU-BGR,rur,2080,2.34
C-EEU-BGR,rur,2085,2.34
C-EEU-BGR,rur,2090,2.34
C-EEU-BGR,rur,2095,2.34
C-EEU-BGR,rur,2100,2.34
C-EEU-BGR,urb,2015,2.34
C-EEU-BGR,urb,2020,2.34
C-EEU-BGR,urb,2025,2.34
C-EEU-BGR,urb,2030,2.34
C-EEU-BGR,urb,2035,2.34
C-EEU-BGR,urb,2040,2.34
C-EEU-BGR,urb,2045,2.34
C-EEU-BGR,urb,2050,2.34
C-EEU-BGR,urb,2055,2.34
C-EEU-BGR,urb,2060,2.34
C-EEU-BGR,urb,2065,2.34
C-EEU-BGR,urb,2070,2.34
C-EEU-BGR,urb,2075,2.34
C-EEU-BGR,urb,2080,2.34
C-EEU-BGR,urb,2085,2.34
C-EEU-BGR,urb,2090,2.34
C-EEU-BGR,urb,2095,2.34
C-EEU-BGR,urb,2100,2.34
C-EEU-CZE,rur,2015,2.37
C-EEU-CZE,rur,2020,2.37
C-EEU-CZE,rur,2025,2.37
C-EEU-CZE,rur,2030,2.37
C-EEU-CZE,rur,2035,2.37
C-EEU-CZE,rur,2040,2.37
C-EEU-CZE,rur,2045,2.37
C-EEU-CZE,rur,2050,2.37
C-EEU-CZE,rur,2055,2.37
C-EEU-CZE,rur,2060,2.37
C-EEU-CZE,rur,2065,2.37
C-EEU-CZE,rur,2070,2.37
C-EEU-CZE,rur,2075,2.37
C-EEU-CZE,rur,2080,2.37
C-EEU-CZE,rur,2085,2.37
C-EEU-CZE,rur,2090,2.37
C-EEU-CZE,rur,2095,2.37
C-EEU-CZE,rur,2100,2.37
C-EEU-CZE,urb,2015,2.37
C-EEU-CZE,urb,2020,2.37
C-EEU-CZE,urb,2025,2.37
C-EEU-CZE,urb,2030,2.37
C-EEU-CZE,urb,2035,2.37
C-EEU-CZE,urb,2040,2.37
C-EEU-CZE,urb,2045,2.37
C-EEU-CZE,urb,2050,2.37
C-EEU-CZE,urb,2055,2.37
C-EEU-CZE,urb,2060,2.37
C-EEU-CZE,urb,2065,2.37
C-EEU-CZE,urb,2070,2.37
C-EEU-CZE,urb,2075,2.37
C-EEU-CZE,urb,2080,2.37
C-EEU-CZE,urb,2085,2.37
C-EEU-CZE,urb,2090,2.37
C-EEU-CZE,urb,2095,2.37
C-EEU-CZE,urb,2100,2.37
C-EEU-EST,rur,2015,2.3
C-EEU-EST,rur,2020,2.3
C-EEU-EST,rur,2025,2.3
C-EEU-EST,rur,2030,2.3
C-EEU-EST,rur,2035,2.3
C-EEU-EST,rur,2040,2.3
C-EEU-EST,rur,2045,2.3
C-EEU-EST,rur,2050,2.3
C-EEU-EST,rur,2055,2.3
C-EEU-EST,rur,2060,2.3
C-EEU-EST,rur,2065,2.3
C-EEU-EST,rur,2070,2.3
C-EEU-EST,rur,2075,2.3
C-EEU-EST,rur,2080,2.3
C-EEU-EST,rur,2085,2.3
C-EEU-EST,rur,2090,2.3
C-EEU-EST,rur,2095,2.3
C-EEU-EST,rur,2100,2.3
C-EEU-EST,urb,2015,2.3
C-EEU-EST,urb,2020,2.3
C-EEU-EST,urb,2025,2.3
C-EEU-EST,urb,2030,2.3
C-EEU-EST,urb,2035,2.3
C-EEU-EST,urb,2040,2.3
C-EEU-EST,urb,2045,2.3
C-EEU-EST,urb,2050,2.3
C-EEU-EST,urb,2055,2.3
C-EEU-EST,urb,2060,2.3
C-EEU-EST,urb,2065,2.3
C-EEU-EST,urb,2070,2.3
C-EEU-EST,urb,2075,2.3
C-EEU-EST,urb,2080,2.3
C-EEU-EST,urb,2085,2.3
C-EEU-EST,urb,2090,2.3
C-EEU-EST,urb,2095,2.3
C-EEU-EST,urb,2100,2.3
C-EEU-HRV,rur,2015,2.901638783
C-EEU-HRV,rur,2020,2.90169194
C-EEU-HRV,rur,2025,2.90177662
C-EEU-HRV,rur,2030,2.901849679
C-EEU-HRV,rur,2035,2.901935258
C-EEU-HRV,rur,2040,2.902055903
C-EEU-HRV,rur,2045,2.902198178
C-EEU-HRV,rur,2050,2.902356409
C-EEU-HRV,rur,2055,2.902520059
C-EEU-HRV,rur,2060,2.902677656
C-EEU-HRV,rur,2065,2.902844813
C-EEU-HRV,rur,2070,2.902979802
C-EEU-HRV,rur,2075,2.903047822
C-EEU-HRV,rur,2080,2.903041426
C-EEU-HRV,rur,2085,2.902968515
C-EEU-HRV,rur,2090,2.902865996
C-EEU-HRV,rur,2095,2.902790405
C-EEU-HRV,rur,2100,2.90279704
C-EEU-HRV,urb,2015,2.900069107
C-EEU-HRV,urb,2020,2.901409622
C-EEU-HRV,urb,2025,2.902423309
C-EEU-HRV,urb,2030,2.903119573
C-EEU-HRV,urb,2035,2.90356977
C-EEU-HRV,urb,2040,2.903841984
C-EEU-HRV,urb,2045,2.903970468
C-EEU-HRV,urb,2050,2.903990852
C-EEU-HRV,urb,2055,2.903928592
C-EEU-HRV,urb,2060,2.903801659
C-EEU-HRV,urb,2065,2.903649625
C-EEU-HRV,urb,2070,2.903442853
C-EEU-HRV,urb,2075,2.903155169
C-EEU-HRV,urb,2080,2.902786953
C-EEU-HRV,urb,2085,2.902351094
C-EEU-HRV,urb,2090,2.901886006
C-EEU-HRV,urb,2095,2.901445165
C-EEU-HRV,urb,2100,2.901078722
C-EEU-HUN,rur,2015,2.44
C-EEU-HUN,rur,2020,2.44
C-EEU-HUN,rur,2025,2.44
C-EEU-HUN,rur,2030,2.44
C-EEU-HUN,rur,2035,2.44
C-EEU-HUN,rur,2040,2.44
C-EEU-HUN,rur,2045,2.44
C-EEU-HUN,rur,2050,2.44
C-EEU-HUN,rur,2055,2.44
C-EEU-HUN,rur,2060,2.44
C-EEU-HUN,rur,2065,2.44
C-EEU-HUN,rur,2070,2.44
C-EEU-HUN,rur,2075,2.44
C-EEU-HUN,rur,2080,2.44
C-EEU-HUN,rur,2085,2.44
C-EEU-HUN,rur,2090,2.44
C-EEU-HUN,rur,2095,2.44
C-EEU-HUN,rur,2100,2.44
C-EEU-HUN,urb,2015,2.44
C-EEU-HUN,urb,2020,2.44
C-EEU-HUN,urb,2025,2.44
C-EEU-HUN,urb,2030,2.44
C-EEU-HUN,urb,2035,2.44
C-EEU-HUN,urb,2040,2.44
C-EEU-HUN,urb,2045,2.44
C-EEU-HUN,urb,2050,2.44
C-EEU-HUN,urb,2055,2.44
C-EEU-HUN,urb,2060,2.44
C-EEU-HUN,urb,2065,2.44
C-EEU-HUN,urb,2070,2.44
C-EEU-HUN,urb,2075,2.44
C-EEU-HUN,urb,2080,2.44
C-EEU-HUN,urb,2085,2.44
C-EEU-HUN,urb,2090,2.44
C-EEU-HUN,urb,2095,2.44
C-EEU-HUN,urb,2100,2.44
C-EEU-LTU,rur,2015,2.35
C-EEU-LTU,rur,2020,2.35
C-EEU-LTU,rur,2025,2.35
C-EEU-LTU,rur,2030,2.35
C-EEU-LTU,rur,2035,2.35
C-EEU-LTU,rur,2040,2.35
C-EEU-LTU,rur,2045,2.35
C-EEU-LTU,rur,2050,2.35
C-EEU-LTU,rur,2055,2.35
C-EEU-LTU,rur,2060,2.35
C-EEU-LTU,rur,2065,2.35
C-EEU-LTU,rur,2070,2.35
C-EEU-LTU,rur,2075,2.35
C-EEU-LTU,rur,2080,2.35
C-EEU-LTU,rur,2085,2.35
C-EEU-LTU,rur,2090,2.35
C-EEU-LTU,rur,2095,2.35
C-EEU-LTU,rur,2100,2.35
C-EEU-LTU,urb,2015,2.35
C-EEU-LTU,urb,2020,2.35
C-EEU-LTU,urb,2025,2.35
C-EEU-LTU,urb,2030,2.35
C-EEU-LTU,urb,2035,2.35
C-EEU-LTU,urb,2040,2.35
C-EEU-LTU,urb,2045,2.35
C-EEU-LTU,urb,2050,2.35
C-EEU-LTU,urb,2055,2.35
C-EEU-LTU,urb,2060,2.35
C-EEU-LTU,urb,2065,2.35
C-EEU-LTU,urb,2070,2.35
C-EEU-LTU,urb,2075,2.35
C-EEU-LTU,urb,2080,2.35
C-EEU-LTU,urb,2085,2.35
C-EEU-LTU,urb,2090,2.35
C-EEU-LTU,urb,2095,2.35
C-EEU-LTU,urb,2100,2.35
C-EEU-LVA,rur,2015,2.48
C-EEU-LVA,rur,2020,2.48
C-EEU-LVA,rur,2025,2.48
C-EEU-LVA,rur,2030,2.48
C-EEU-LVA,rur,2035,2.48
C-EEU-LVA,rur,2040,2.48
C-EEU-LVA,rur,2045,2.48
C-EEU-LVA,rur,2050,2.48
C-EEU-LVA,rur,2055,2.48
C-EEU-LVA,rur,2060,2.48
C-EEU-LVA,rur,2065,2.48
C-EEU-LVA,rur,2070,2.48
C-EEU-LVA,rur,2075,2.48
C-EEU-LVA,rur,2080,2.48
C-EEU-LVA,rur,2085,2.48
C-EEU-LVA,rur,2090,2.48
C-EEU-LVA,rur,2095,2.48
C-EEU-LVA,rur,2100,2.48
C-EEU-LVA,urb,2015,2.48
C-EEU-LVA,urb,2020,2.48
C-EEU-LVA,urb,2025,2.48
C-EEU-LVA,urb,2030,2.48
C-EEU-LVA,urb,2035,2.48
C-EEU-LVA,urb,2040,2.48
C-EEU-LVA,urb,2045,2.48
C-EEU-LVA,urb,2050,2.48
C-EEU-LVA,urb,2055,2.48
C-EEU-LVA,urb,2060,2.48
C-EEU-LVA,urb,2065,2.48
C-EEU-LVA,urb,2070,2.48
C-EEU-LVA,urb,2075,2.48
C-EEU-LVA,urb,2080,2.48
C-EEU-LVA,urb,2085,2.48
C-EEU-LVA,urb,2090,2.48
C-EEU-LVA,urb,2095,2.48
C-EEU-LVA,urb,2100,2.48
C-EEU-POL,rur,2015,2.815
C-EEU-POL,rur,2020,2.815
C-EEU-POL,rur,2025,2.815
C-EEU-POL,rur,2030,2.815
C-EEU-POL,rur,2035,2.815
C-EEU-POL,rur,2040,2.815
C-EEU-POL,rur,2045,2.815
C-EEU-POL,rur,2050,2.815
C-EEU-POL,rur,2055,2.815
C-EEU-POL,rur,2060,2.815
C-EEU-POL,rur,2065,2.815
C-EEU-POL,rur,2070,2.815
C-EEU-POL,rur,2075,2.815
C-EEU-POL,rur,2080,2.815
C-EEU-POL,rur,2085,2.815
C-EEU-POL,rur,2090,2.815
C-EEU-POL,rur,2095,2.815
C-EEU-POL,rur,2100,2.815
C-EEU-POL,urb,2015,2.815
C-EEU-POL,urb,2020,2.815
C-EEU-POL,urb,2025,2.815
C-EEU-POL,urb,2030,2.815
C-EEU-POL,urb,2035,2.815
C-EEU-POL,urb,2040,2.815
C-EEU-POL,urb,2045,2.815
C-EEU-POL,urb,2050,2.815
