region_bld,region_gea,urt,inc_cl,arch,fuel_heat,value
C-EEU-BGR,EEU,rur,d1,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d1,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d1,mfh,electricity,0.084
C-EEU-BGR,EEU,rur,d1,mfh,gas,0.264
C-EEU-BGR,EEU,rur,d1,mfh,oil,0.033
C-EEU-BGR,EEU,rur,d1,sfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d1,sfh,coal,0.232
C-EEU-BGR,EEU,rur,d1,sfh,electricity,0.084
C-EEU-BGR,EEU,rur,d1,sfh,gas,0.264
C-EEU-BGR,EEU,rur,d1,sfh,oil,0.033
C-EEU-BGR,EEU,rur,d2,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d2,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d2,mfh,electricity,0.084
C-EEU-BGR,EEU,rur,d2,mfh,gas,0.264
C-EEU-BGR,EEU,rur,d2,mfh,oil,0.033
C-EEU-BGR,EEU,rur,d2,sfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d2,sfh,coal,0.232
C-EEU-BGR,EEU,rur,d2,sfh,electricity,0.084
C-EEU-BGR,EEU,rur,d2,sfh,gas,0.264
C-EEU-BGR,EEU,rur,d2,sfh,oil,0.033
C-EEU-BGR,EEU,rur,d3,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d3,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d3,mfh,electricity,0.084
C-EEU-BGR,EEU,rur,d3,mfh,gas,0.264
C-EEU-BGR,EEU,rur,d3,mfh,oil,0.033
C-EEU-BGR,EEU,rur,d3,sfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d3,sfh,coal,0.232
C-EEU-BGR,EEU,rur,d3,sfh,electricity,0.084
C-EEU-BGR,EEU,rur,d3,sfh,gas,0.264
C-EEU-BGR,EEU,rur,d3,sfh,oil,0.033
C-EEU-BGR,EEU,rur,d4,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d4,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d4,mfh,electricity,0.084
C-EEU-BGR,EEU,rur,d4,mfh,gas,0.264
C-EEU-BGR,EEU,rur,d4,mfh,oil,0.033
C-EEU-BGR,EEU,rur,d4,sfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d4,sfh,coal,0.232
C-EEU-BGR,EEU,rur,d4,sfh,electricity,0.084
C-EEU-BGR,EEU,rur,d4,sfh,gas,0.264
C-EEU-BGR,EEU,rur,d4,sfh,oil,0.033
C-EEU-BGR,EEU,rur,d5,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d5,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d5,mfh,electricity,0.084
C-EEU-BGR,EEU,rur,d5,mfh,gas,0.264
C-EEU-BGR,EEU,rur,d5,mfh,oil,0.033
C-EEU-BGR,EEU,rur,d5,sfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d5,sfh,coal,0.232
C-EEU-BGR,EEU,rur,d5,sfh,electricity,0.084
C-EEU-BGR,EEU,rur,d5,sfh,gas,0.264
C-EEU-BGR,EEU,rur,d5,sfh,oil,0.033
C-EEU-BGR,EEU,rur,d6,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d6,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d6,mfh,electricity,0.084
C-EEU-BGR,EEU,rur,d6,mfh,gas,0.264
C-EEU-BGR,EEU,rur,d6,mfh,oil,0.033
C-EEU-BGR,EEU,rur,d6,sfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d6,sfh,coal,0.232
C-EEU-BGR,EEU,rur,d6,sfh,electricity,0.084
C-EEU-BGR,EEU,rur,d6,sfh,gas,0.264
C-EEU-BGR,EEU,rur,d6,sfh,oil,0.033
C-EEU-BGR,EEU,rur,d7,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d7,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d7,mfh,electricity,0.084
C-EEU-BGR,EEU,rur,d7,mfh,gas,0.264
C-EEU-BGR,EEU,rur,d7,mfh,oil,0.033
C-EEU-BGR,EEU,rur,d7,sfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d7,sfh,coal,0.232
C-EEU-BGR,EEU,rur,d7,sfh,electricity,0.084
C-EEU-BGR,EEU,rur,d7,sfh,gas,0.264
C-EEU-BGR,EEU,rur,d7,sfh,oil,0.033
C-EEU-BGR,EEU,rur,d8,mfh,biomass_solid,0.387
C-EEU-BGR,EEU,rur,d8,mfh,coal,0.232
C-EEU-BGR,EEU,rur,d8,mfh,electricity,0.084
