region_bld,urt,arch,mat,year,value,inc_cl
C-EEU-BGR,rur,mfh,perm,2015,10.579040444500002,d1
C-EEU-BGR,rur,mfh,perm,2015,12.5025023435,d2
C-EEU-BGR,rur,mfh,perm,2015,14.425964242500001,d3
C-EEU-BGR,rur,mfh,perm,2015,16.3494261415,d4
C-EEU-BGR,rur,mfh,perm,2015,18.2728880405,d5
C-EEU-BGR,rur,mfh,perm,2015,20.196349939500003,d6
C-EEU-BGR,rur,mfh,perm,2015,22.1198118385,d7
C-EEU-BGR,rur,mfh,perm,2015,24.0432737375,d8
C-EEU-BGR,rur,mfh,perm,2015,25.966735636500005,d9
C-EEU-BGR,rur,mfh,perm,2015,27.8901975355,d10
C-EEU-BGR,rur,mfh,perm,2020,11.411818176,d1
C-EEU-BGR,rur,mfh,perm,2020,13.486694207999998,d2
C-EEU-BGR,rur,mfh,perm,2020,15.561570239999998,d3
C-EEU-BGR,rur,mfh,perm,2020,17.636446271999997,d4
C-EEU-BGR,rur,mfh,perm,2020,19.711322304,d5
C-EEU-BGR,rur,mfh,perm,2020,21.786198335999998,d6
C-EEU-BGR,rur,mfh,perm,2020,23.861074367999997,d7
C-EEU-BGR,rur,mfh,perm,2020,25.9359504,d8
C-EEU-BGR,rur,mfh,perm,2020,28.010826432000002,d9
C-EEU-BGR,rur,mfh,perm,2020,30.085702463999997,d10
C-EEU-BGR,rur,mfh,perm,2025,12.236931696000001,d1
C-EEU-BGR,rur,mfh,perm,2025,14.461828367999997,d2
C-EEU-BGR,rur,mfh,perm,2025,16.68672504,d3
C-EEU-BGR,rur,mfh,perm,2025,18.911621712,d4
C-EEU-BGR,rur,mfh,perm,2025,21.136518384,d5
C-EEU-BGR,rur,mfh,perm,2025,23.361415056,d6
C-EEU-BGR,rur,mfh,perm,2025,25.586311727999995,d7
C-EEU-BGR,rur,mfh,perm,2025,27.811208399999998,d8
C-EEU-BGR,rur,mfh,perm,2025,30.036105072,d9
C-EEU-BGR,rur,mfh,perm,2025,32.261001744,d10
C-EEU-BGR,rur,mfh,perm,2030,13.043558528000002,d1
C-EEU-BGR,rur,mfh,perm,2030,15.415114624,d2
C-EEU-BGR,rur,mfh,perm,2030,17.78667072,d3
C-EEU-BGR,rur,mfh,perm,2030,20.158226816,d4
C-EEU-BGR,rur,mfh,perm,2030,22.529782912,d5
C-EEU-BGR,rur,mfh,perm,2030,24.901339008,d6
C-EEU-BGR,rur,mfh,perm,2030,27.272895104,d7
C-EEU-BGR,rur,mfh,perm,2030,29.644451200000002,d8
C-EEU-BGR,rur,mfh,perm,2030,32.016007296000005,d9
C-EEU-BGR,rur,mfh,perm,2030,34.387563392000004,d10
C-EEU-BGR,rur,mfh,perm,2035,13.821920821500001,d1
C-EEU-BGR,rur,mfh,perm,2035,16.3349973345,d2
C-EEU-BGR,rur,mfh,perm,2035,18.8480738475,d3
C-EEU-BGR,rur,mfh,perm,2035,21.361150360499998,d4
C-EEU-BGR,rur,mfh,perm,2035,23.8742268735,d5
C-EEU-BGR,rur,mfh,perm,2035,26.3873033865,d6
C-EEU-BGR,rur,mfh,perm,2035,28.9003798995,d7
C-EEU-BGR,rur,mfh,perm,2035,31.4134564125,d8
C-EEU-BGR,rur,mfh,perm,2035,33.926532925500005,d9
C-EEU-BGR,rur,mfh,perm,2035,36.4396094385,d10
C-EEU-BGR,rur,mfh,perm,2040,14.563721408500001,d1
C-EEU-BGR,rur,mfh,perm,2040,17.2116707555,d2
C-EEU-BGR,rur,mfh,perm,2040,19.859620102500003,d3
C-EEU-BGR,rur,mfh,perm,2040,22.5075694495,d4
C-EEU-BGR,rur,mfh,perm,2040,25.1555187965,d5
C-EEU-BGR,rur,mfh,perm,2040,27.8034681435,d6
C-EEU-BGR,rur,mfh,perm,2040,30.4514174905,d7
C-EEU-BGR,rur,mfh,perm,2040,33.0993668375,d8
C-EEU-BGR,rur,mfh,perm,2040,35.7473161845,d9
C-EEU-BGR,rur,mfh,perm,2040,38.3952655315,d10
C-EEU-BGR,rur,mfh,perm,2045,15.262427273500002,d1
C-EEU-BGR,rur,mfh,perm,2045,18.037414050499997,d2
C-EEU-BGR,rur,mfh,perm,2045,20.8124008275,d3
