mat,fuel_heat,fuel_heat_f,year,value
perm,biomass_solid,electricity,2020,1
perm,coal,electricity,2020,1
perm,gas,electricity,2020,1
perm,oil,electricity,2020,1
perm,biomass_solid,electricity,2025,1
perm,coal,electricity,2025,1
perm,gas,electricity,2025,1
perm,oil,electricity,2025,1
perm,biomass_solid,electricity,2030,1
perm,coal,electricity,2030,1
perm,gas,electricity,2030,1
perm,oil,electricity,2030,1
perm,biomass_solid,electricity,2035,1
perm,coal,electricity,2035,1
perm,gas,electricity,2035,1
perm,oil,electricity,2035,1
perm,biomass_solid,electricity,2040,1
perm,coal,electricity,2040,1
perm,gas,electricity,2040,1
perm,oil,electricity,2040,1
perm,biomass_solid,electricity,2045,1
perm,coal,electricity,2045,1
perm,gas,electricity,2045,1
perm,oil,electricity,2045,1
perm,biomass_solid,electricity,2050,1
perm,coal,electricity,2050,1
perm,gas,electricity,2050,1
perm,oil,electricity,2050,1
perm,biomass_solid,electricity,2055,1
perm,coal,electricity,2055,1
perm,gas,electricity,2055,1
perm,oil,electricity,2055,1
perm,biomass_solid,electricity,2060,1
perm,coal,electricity,2060,1
perm,gas,electricity,2060,1
perm,oil,electricity,2060,1
perm,biomass_solid,electricity,2065,1
perm,coal,electricity,2065,1
perm,gas,electricity,2065,1
perm,oil,electricity,2065,1
perm,biomass_solid,electricity,2070,1
perm,coal,electricity,2070,1
perm,gas,electricity,2070,1
perm,oil,electricity,2070,1
perm,biomass_solid,electricity,2075,1
perm,coal,electricity,2075,1
perm,gas,electricity,2075,1
perm,oil,electricity,2075,1
perm,biomass_solid,electricity,2080,1
perm,coal,electricity,2080,1
perm,gas,electricity,2080,1
perm,oil,electricity,2080,1
perm,biomass_solid,electricity,2085,1
perm,coal,electricity,2085,1
perm,gas,electricity,2085,1
perm,oil,electricity,2085,1
perm,biomass_solid,electricity,2090,1
perm,coal,electricity,2090,1
perm,gas,electricity,2090,1
perm,oil,electricity,2090,1
perm,biomass_solid,electricity,2095,1
perm,coal,electricity,2095,1
perm,gas,electricity,2095,1
perm,oil,electricity,2095,1
perm,biomass_solid,electricity,2100,1
perm,coal,electricity,2100,1
perm,gas,electricity,2100,1
perm,oil,electricity,2100,1
