region_gea,fuel_heat,year,value
AFR,biomass_solid,2025,307.4124
AFR,biomass_solid,2030,307.4124
AFR,biomass_solid,2035,307.4124
AFR,biomass_solid,2040,307.4124
AFR,biomass_solid,2045,307.4124
AFR,biomass_solid,2050,307.4124
AFR,biomass_solid,2055,307.4124
AFR,biomass_solid,2060,307.4124
AFR,biomass_solid,2065,307.4124
AFR,biomass_solid,2070,307.4124
AFR,biomass_solid,2075,307.4124
AFR,biomass_solid,2080,307.4124
AFR,biomass_solid,2085,307.4124
AFR,biomass_solid,2090,307.4124
AFR,biomass_solid,2095,307.4124
AFR,biomass_solid,2100,307.4124
AFR,coal,2025,317.6610
AFR,coal,2030,317.6610
AFR,coal,2035,317.6610
AFR,coal,2040,317.6610
AFR,coal,2045,317.6610
AFR,coal,2050,317.6610
AFR,coal,2055,317.6610
AFR,coal,2060,317.6610
AFR,coal,2065,317.6610
AFR,coal,2070,317.6610
AFR,coal,2075,317.6610
AFR,coal,2080,317.6610
AFR,coal,2085,317.6610
AFR,coal,2090,317.6610
AFR,coal,2095,317.6610
AFR,coal,2100,317.6610
AFR,oil,2025,332.0022
AFR,oil,2030,332.0022
AFR,oil,2035,332.0022
AFR,oil,2040,332.0022
AFR,oil,2045,332.0022
AFR,oil,2050,332.0022
AFR,oil,2055,332.0022
AFR,oil,2060,332.0022
AFR,oil,2065,332.0022
AFR,oil,2070,332.0022
AFR,oil,2075,332.0022
AFR,oil,2080,332.0022
AFR,oil,2085,332.0022
AFR,oil,2090,332.0022
AFR,oil,2095,332.0022
AFR,oil,2100,332.0022
AFR,electricity,2025,228.7182
AFR,electricity,2030,228.7182
AFR,electricity,2035,228.7182
AFR,electricity,2040,228.7182
AFR,electricity,2045,228.7182
AFR,electricity,2050,228.7182
AFR,electricity,2055,228.7182
AFR,electricity,2060,228.7182
AFR,electricity,2065,228.7182
AFR,electricity,2070,228.7182
AFR,electricity,2075,228.7182
AFR,electricity,2080,228.7182
AFR,electricity,2085,228.7182
AFR,electricity,2090,228.7182
AFR,electricity,2095,228.7182
AFR,electricity,2100,228.7182
AFR,gas,2025,313.5000
AFR,gas,2030,313.5000
AFR,gas,2035,313.5000
AFR,gas,2040,313.5000
AFR,gas,2045,313.5000
AFR,gas,2050,313.5000
AFR,gas,2055,313.5000
AFR,gas,2060,313.5000
AFR,gas,2065,313.5000
AFR,gas,2070,313.5000
AFR,gas,2075,313.5000
AFR,gas,2080,313.5000
AFR,gas,2085,313.5000
AFR,gas,2090,313.5000
AFR,gas,2095,313.5000
AFR,gas,2100,313.5000
AFR,heat pump,2025,534.4548
AFR,heat pump,2030,534.4548
AFR,heat pump,2035,534.4548
AFR,heat pump,2040,534.4548
AFR,heat pump,2045,534.4548
AFR,heat pump,2050,534.4548
AFR,heat pump,2055,534.4548
AFR,heat pump,2060,534.4548
AFR,heat pump,2065,534.4548
AFR,heat pump,2070,534.4548
AFR,heat pump,2075,534.4548
AFR,heat pump,2080,534.4548
AFR,heat pump,2085,534.4548
AFR,heat pump,2090,534.4548
AFR,heat pump,2095,534.4548
AFR,heat pump,2100,534.4548
CPA,biomass_solid,2025,307.4124
CPA,biomass_solid,2030,307.4124
CPA,biomass_solid,2035,307.4124
CPA,biomass_solid,2040,307.4124
CPA,biomass_solid,2045,307.4124
CPA,biomass_solid,2050,307.4124
CPA,biomass_solid,2055,307.4124
CPA,biomass_solid,2060,307.4124
CPA,biomass_solid,2065,307.4124
CPA,biomass_solid,2070,307.4124
CPA,biomass_solid,2075,307.4124
CPA,biomass_solid,2080,307.4124
CPA,biomass_solid,2085,307.4124
CPA,biomass_solid,2090,307.4124
CPA,biomass_solid,2095,307.4124
CPA,biomass_solid,2100,307.4124
CPA,coal,2025,317.6610
CPA,coal,2030,317.6610
CPA,coal,2035,317.6610
CPA,coal,2040,317.6610
CPA,coal,2045,317.6610
CPA,coal,2050,317.6610
CPA,coal,2055,317.6610
CPA,coal,2060,317.6610
CPA,coal,2065,317.6610
CPA,coal,2070,317.6610
CPA,coal,2075,317.6610
CPA,coal,2080,317.6610
CPA,coal,2085,317.6610
CPA,coal,2090,317.6610
CPA,coal,2095,317.6610
CPA,coal,2100,317.6610
CPA,oil,2025,332.0022
CPA,oil,2030,332.0022
CPA,oil,2035,332.0022
CPA,oil,2040,332.0022
CPA,oil,2045,332.0022
CPA,oil,2050,332.0022
CPA,oil,2055,332.0022
CPA,oil,2060,332.0022
CPA,oil,2065,332.0022
CPA,oil,2070,332.0022
CPA,oil,2075,332.0022
CPA,oil,2080,332.0022
CPA,oil,2085,332.0022
CPA,oil,2090,332.0022
CPA,oil,2095,332.0022
CPA,oil,2100,332.0022
CPA,electricity,2025,228.7182
CPA,electricity,2030,228.7182
CPA,electricity,2035,228.7182
CPA,electricity,2040,228.7182
CPA,electricity,2045,228.7182
CPA,electricity,2050,228.7182
CPA,electricity,2055,228.7182
CPA,electricity,2060,228.7182
CPA,electricity,2065,228.7182
CPA,electricity,2070,228.7182
CPA,electricity,2075,228.7182
CPA,electricity,2080,228.7182
CPA,electricity,2085,228.7182
CPA,electricity,2090,228.7182
CPA,electricity,2095,228.7182
CPA,electricity,2100,228.7182
CPA,gas,2025,313.5000
CPA,gas,2030,313.5000
CPA,gas,2035,313.5000
CPA,gas,2040,313.5000
CPA,gas,2045,313.5000
CPA,gas,2050,313.5000
CPA,gas,2055,313.5000
CPA,gas,2060,313.5000
CPA,gas,2065,313.5000
CPA,gas,2070,313.5000
CPA,gas,2075,313.5000
CPA,gas,2080,313.5000
CPA,gas,2085,313.5000
CPA,gas,2090,313.5000
CPA,gas,2095,313.5000
CPA,gas,2100,313.5000
CPA,heat pump,2025,534.4548
CPA,heat pump,2030,534.4548
CPA,heat pump,2035,534.4548
CPA,heat pump,2040,534.4548
CPA,heat pump,2045,534.4548
CPA,heat pump,2050,534.4548
CPA,heat pump,2055,534.4548
CPA,heat pump,2060,534.4548
CPA,heat pump,2065,534.4548
