region_bld,year,urt,pop_urt
C-EEU-BGR,2020,rur,0.19745
C-EEU-BGR,2020,urb,0.80255
C-EEU-BGR,2025,rur,0.15356999999999996
C-EEU-BGR,2025,urb,0.84643
C-EEU-BGR,2030,rur,0.12188
C-EEU-BGR,2030,urb,0.87812
C-EEU-BGR,2035,rur,0.09831000000000002
C-EEU-BGR,2035,urb,0.9016900000000001
C-EEU-BGR,2040,rur,0.08033000000000001
C-EEU-BGR,2040,urb,0.91967
C-EEU-BGR,2045,rur,0.0663299999999999
C-EEU-BGR,2045,urb,0.9336700000000001
C-EEU-BGR,2050,rur,0.05522999999999989
C-EEU-BGR,2050,urb,0.9447700000000001
C-EEU-BGR,2055,rur,0.0462999999999999
C-EEU-BGR,2055,urb,0.9537000000000002
C-EEU-BGR,2060,rur,0.039030000000000016
C-EEU-BGR,2060,urb,0.96097
C-EEU-BGR,2065,rur,0.03305999999999998
C-EEU-BGR,2065,urb,0.96694
C-EEU-BGR,2070,rur,0.028119999999999926
C-EEU-BGR,2070,urb,0.9718800000000001
C-EEU-BGR,2075,rur,0.023989999999999956
C-EEU-BGR,2075,urb,0.9760099999999999
C-EEU-BGR,2080,rur,0.02052000000000009
C-EEU-BGR,2080,urb,0.9794799999999999
C-EEU-BGR,2085,rur,0.01760000000000006
C-EEU-BGR,2085,urb,0.9823999999999999
C-EEU-BGR,2090,rur,0.015120000000000024
C-EEU-BGR,2090,urb,0.98488
C-EEU-BGR,2095,rur,0.013009999999999964
C-EEU-BGR,2095,urb,0.98699
C-EEU-BGR,2100,rur,0.011220000000000003
C-EEU-BGR,2100,urb,0.98878
C-EEU-CZE,2020,rur,0.20903000000000002
C-EEU-CZE,2020,urb,0.79097
C-EEU-CZE,2025,rur,0.16501
C-EEU-CZE,2025,urb,0.83499
C-EEU-CZE,2030,rur,0.13061999999999999
C-EEU-CZE,2030,urb,0.8693800000000002
C-EEU-CZE,2035,rur,0.10372000000000005
C-EEU-CZE,2035,urb,0.89628
C-EEU-CZE,2040,rur,0.08259999999999999
C-EEU-CZE,2040,urb,0.9174
C-EEU-CZE,2045,rur,0.06596000000000002
C-EEU-CZE,2045,urb,0.9340400000000001
C-EEU-CZE,2050,rur,0.05278999999999989
C-EEU-CZE,2050,urb,0.9472100000000001
C-EEU-CZE,2055,rur,0.04232999999999998
C-EEU-CZE,2055,urb,0.9576700000000001
C-EEU-CZE,2060,rur,0.03400000000000003
C-EEU-CZE,2060,urb,0.966
C-EEU-CZE,2065,rur,0.027349999999999985
C-EEU-CZE,2065,urb,0.9726500000000001
