year,fuel_heat_i,fuel_heat_f,value
2020,biomass_solid,biomass_solid,1
2020,biomass_solid,coal,1
2020,biomass_solid,oil,1
2020,biomass_solid,electricity,1
2020,biomass_solid,gas,1
2020,biomass_solid,heat pump,1
2020,coal,biomass_solid,0
2020,coal,coal,1
2020,coal,oil,1
2020,coal,electricity,1
2020,coal,gas,1
2020,coal,heat pump,1
2020,oil,biomass_solid,0
2020,oil,coal,0
2020,oil,oil,1
2020,oil,electricity,1
2020,oil,gas,1
2020,oil,heat pump,1
2020,electricity,biomass_solid,0
2020,electricity,coal,0
2020,electricity,oil,0
2020,electricity,electricity,1
2020,electricity,gas,1
2020,electricity,heat pump,1
2020,gas,biomass_solid,0
2020,gas,coal,0
2020,gas,oil,0
2020,gas,electricity,0
2020,gas,gas,1
2020,gas,heat pump,1
2020,heat pump,biomass_solid,0
2020,heat pump,coal,0
2020,heat pump,oil,0
2020,heat pump,electricity,0
2020,heat pump,gas,0
2020,heat pump,heat pump,1
2025,biomass_solid,biomass_solid,1
2025,biomass_solid,coal,1
2025,biomass_solid,oil,1
2025,biomass_solid,electricity,1
2025,biomass_solid,gas,1
2025,biomass_solid,heat pump,1
2025,coal,biomass_solid,0
2025,coal,coal,1
2025,coal,oil,1
2025,coal,electricity,1
2025,coal,gas,1
2025,coal,heat pump,1
2025,oil,biomass_solid,0
2025,oil,coal,0
2025,oil,oil,1
2025,oil,electricity,1
2025,oil,gas,1
2025,oil,heat pump,1
2025,electricity,biomass_solid,0
2025,electricity,coal,0
2025,electricity,oil,0
2025,electricity,electricity,1
2025,electricity,gas,1
2025,electricity,heat pump,1
2025,gas,biomass_solid,0
2025,gas,coal,0
2025,gas,oil,0
2025,gas,electricity,0
2025,gas,gas,1
2025,gas,heat pump,1
2025,heat pump,biomass_solid,0
2025,heat pump,coal,0
2025,heat pump,oil,0
2025,heat pump,electricity,0
2025,heat pump,gas,0
2025,heat pump,heat pump,1
2030,biomass_solid,biomass_solid,1
2030,biomass_solid,coal,1
2030,biomass_solid,oil,1
2030,biomass_solid,electricity,1
2030,biomass_solid,gas,1
2030,biomass_solid,heat pump,1
