region_gea,fuel_heat,year,value
AFR,biomass_solid,2025,0.1000
AFR,biomass_solid,2030,0.1000
AFR,biomass_solid,2035,0.1000
AFR,biomass_solid,2040,0.1000
AFR,biomass_solid,2045,0.1000
AFR,biomass_solid,2050,0.1000
AFR,biomass_solid,2055,0.1000
AFR,biomass_solid,2060,0.1000
AFR,biomass_solid,2065,0.1000
AFR,biomass_solid,2070,0.1000
AFR,biomass_solid,2075,0.1000
AFR,biomass_solid,2080,0.1000
AFR,biomass_solid,2085,0.1000
AFR,biomass_solid,2090,0.1000
AFR,biomass_solid,2095,0.1000
AFR,biomass_solid,2100,0.1000
AFR,coal,2025,0.1000
AFR,coal,2030,0.1000
AFR,coal,2035,0.1000
AFR,coal,2040,0.1000
AFR,coal,2045,0.1000
AFR,coal,2050,0.1000
AFR,coal,2055,0.1000
AFR,coal,2060,0.1000
AFR,coal,2065,0.1000
AFR,coal,2070,0.1000
AFR,coal,2075,0.1000
AFR,coal,2080,0.1000
AFR,coal,2085,0.1000
AFR,coal,2090,0.1000
AFR,coal,2095,0.1000
AFR,coal,2100,0.1000
AFR,oil,2025,0.1000
AFR,oil,2030,0.1000
AFR,oil,2035,0.1000
AFR,oil,2040,0.1000
AFR,oil,2045,0.1000
AFR,oil,2050,0.1000
AFR,oil,2055,0.1000
AFR,oil,2060,0.1000
AFR,oil,2065,0.1000
AFR,oil,2070,0.1000
AFR,oil,2075,0.1000
AFR,oil,2080,0.1000
AFR,oil,2085,0.1000
AFR,oil,2090,0.1000
AFR,oil,2095,0.1000
AFR,oil,2100,0.1000
AFR,electricity,2025,0.1000
AFR,electricity,2030,0.1000
AFR,electricity,2035,0.1000
AFR,electricity,2040,0.1000
AFR,electricity,2045,0.1000
AFR,electricity,2050,0.1000
AFR,electricity,2055,0.1000
AFR,electricity,2060,0.1000
AFR,electricity,2065,0.1000
AFR,electricity,2070,0.1000
AFR,electricity,2075,0.1000
AFR,electricity,2080,0.1000
AFR,electricity,2085,0.1000
AFR,electricity,2090,0.1000
AFR,electricity,2095,0.1000
AFR,electricity,2100,0.1000
AFR,gas,2025,0.1000
AFR,gas,2030,0.1000
AFR,gas,2035,0.1000
AFR,gas,2040,0.1000
AFR,gas,2045,0.1000
AFR,gas,2050,0.1000
AFR,gas,2055,0.1000
AFR,gas,2060,0.1000
AFR,gas,2065,0.1000
AFR,gas,2070,0.1000
AFR,gas,2075,0.1000
AFR,gas,2080,0.1000
AFR,gas,2085,0.1000
AFR,gas,2090,0.1000
AFR,gas,2095,0.1000
AFR,gas,2100,0.1000
AFR,heat pump,2025,0.1000
AFR,heat pump,2030,0.1000
AFR,heat pump,2035,0.1000
AFR,heat pump,2040,0.1000
AFR,heat pump,2045,0.1000
AFR,heat pump,2050,0.1000
AFR,heat pump,2055,0.1000
AFR,heat pump,2060,0.1000
AFR,heat pump,2065,0.1000
AFR,heat pump,2070,0.1000
AFR,heat pump,2075,0.1000
AFR,heat pump,2080,0.1000
AFR,heat pump,2085,0.1000
AFR,heat pump,2090,0.1000
AFR,heat pump,2095,0.1000
AFR,heat pump,2100,0.1000
CPA,biomass_solid,2025,0.1000
CPA,biomass_solid,2030,0.1000
CPA,biomass_solid,2035,0.1000
CPA,biomass_solid,2040,0.1000
CPA,biomass_solid,2045,0.1000
CPA,biomass_solid,2050,0.1000
CPA,biomass_solid,2055,0.1000
CPA,biomass_solid,2060,0.1000
CPA,biomass_solid,2065,0.1000
CPA,biomass_solid,2070,0.1000
CPA,biomass_solid,2075,0.1000
CPA,biomass_solid,2080,0.1000
CPA,biomass_solid,2085,0.1000
CPA,biomass_solid,2090,0.1000
CPA,biomass_solid,2095,0.1000
CPA,biomass_solid,2100,0.1000
CPA,coal,2025,0.1000
CPA,coal,2030,0.1000
CPA,coal,2035,0.1000
CPA,coal,2040,0.1000
CPA,coal,2045,0.1000
CPA,coal,2050,0.1000
CPA,coal,2055,0.1000
CPA,coal,2060,0.1000
CPA,coal,2065,0.1000
CPA,coal,2070,0.1000
CPA,coal,2075,0.1000
CPA,coal,2080,0.1000
CPA,coal,2085,0.1000
CPA,coal,2090,0.1000
CPA,coal,2095,0.1000
CPA,coal,2100,0.1000
CPA,oil,2025,0.1000
CPA,oil,2030,0.1000
CPA,oil,2035,0.1000
CPA,oil,2040,0.1000
CPA,oil,2045,0.1000
CPA,oil,2050,0.1000
CPA,oil,2055,0.1000
CPA,oil,2060,0.1000
CPA,oil,2065,0.1000
CPA,oil,2070,0.1000
CPA,oil,2075,0.1000
CPA,oil,2080,0.1000
CPA,oil,2085,0.1000
CPA,oil,2090,0.1000
CPA,oil,2095,0.1000
CPA,oil,2100,0.1000
CPA,electricity,2025,0.1000
CPA,electricity,2030,0.1000
CPA,electricity,2035,0.1000
CPA,electricity,2040,0.1000
CPA,electricity,2045,0.1000
CPA,electricity,2050,0.1000
CPA,electricity,2055,0.1000
CPA,electricity,2060,0.1000
CPA,electricity,2065,0.1000
CPA,electricity,2070,0.1000
CPA,electricity,2075,0.1000
CPA,electricity,2080,0.1000
CPA,electricity,2085,0.1000
CPA,electricity,2090,0.1000
CPA,electricity,2095,0.1000
