region_gea,urt,year,value
AFR,urb,2015,0
AFR,rur,2015,0
CPA,urb,2015,0.324211897377161
CPA,rur,2015,0
EEU,urb,2015,0.302329026734845
EEU,rur,2015,0
FSU,urb,2015,0.835251435488119
FSU,rur,2015,0
LAC,urb,2015,0
LAC,rur,2015,0
MEA,urb,2015,0
MEA,rur,2015,0
"NAM",urb,2015,0
"NAM",rur,2015,0
PAO,urb,2015,0.0655684610629206
PAO,rur,2015,0
PAS,urb,2015,0
PAS,rur,2015,0
SAS,urb,2015,0
SAS,rur,2015,0
WEU,urb,2015,0.0720339689516069
WEU,rur,2015,0
