region_bld,urt,inc_cl,region_gea,clim,arch,mat,year,yr_con,bld_age,n_units_arch
C-EEU-BGR,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1945,p1,10225230.44085
C-EEU-BGR,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1960,p2,1746916.113329998
C-EEU-BGR,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,5004714.88228
C-EEU-BGR,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,855023.9645900007
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1945,p1,10268083.80751
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1960,p2,3413413.866719998
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1965,p2,7213026.568850003
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1970,p2,4272626.331819999
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1975,p2,3700396.36303
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1980,p2,3177981.4746400025
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1985,p2,2005887.8323099979
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1990,p2,705013.6817199977
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2010,p3,2407.447170002453
C-EEU-BGR,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2015,p3,437554.3445399961
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,4117099.1361000002
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,1368645.1674300001
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,2892140.9303
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,1713155.6880399997
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,1483713.8997900016
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,1274246.0062800003
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,804282.3974099999
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,282682.85245999985
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,965.2919699986818
C-EEU-BGR,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2015,p3,175442.1416600012
C-EEU-CZE,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,19191821.63949
C-EEU-CZE,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,424007.5793699995
C-EEU-CZE,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,657551.4859600023
C-EEU-CZE,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,1086289.904329998
C-EEU-CZE,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,946653.563850002
C-EEU-CZE,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,893398.8328599979
C-EEU-CZE,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,1137544.2084900015
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,30667468.047769994
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,11610536.234259997
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,3695967.523580003
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,3420813.353050002
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,6912607.516669999
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,7409566.969710005
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,1366333.9153099952
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,841190.6642099941
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,579684.6454899985
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,529492.8153099997
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,3039910.0713500045
C-EEU-CZE,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2015,p3,5002041.280359992
C-EEU-EST,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,2993195.426730001
