urt,mat,year,value
rur,perm,2015,1
rur,perm,2020,1
rur,perm,2025,1
rur,perm,2030,1
rur,perm,2035,1
rur,perm,2040,1
rur,perm,2045,1
rur,perm,2050,1
rur,perm,2055,1
rur,perm,2060,1
rur,perm,2065,1
rur,perm,2070,1
rur,perm,2075,1
rur,perm,2080,1
rur,perm,2085,1
rur,perm,2090,1
rur,perm,2095,1
rur,perm,2100,1
urb,perm,2015,1
urb,perm,2020,1
urb,perm,2025,1
urb,perm,2030,1
urb,perm,2035,1
urb,perm,2040,1
urb,perm,2045,1
urb,perm,2050,1
urb,perm,2055,1
urb,perm,2060,1
urb,perm,2065,1
urb,perm,2070,1
urb,perm,2075,1
urb,perm,2080,1
urb,perm,2085,1
urb,perm,2090,1
urb,perm,2095,1
urb,perm,2100,1
