region_bld,year,variable,resolution,value
C-EEU-BGR,2015,cost_heat_EUR,all,NA
C-EEU-BGR,2015,cost_heat_EUR,biomass_solid,NA
C-EEU-BGR,2015,cost_heat_EUR,coal,NA
C-EEU-BGR,2015,cost_heat_EUR,district_heat,NA
C-EEU-BGR,2015,cost_heat_EUR,electricity,NA
C-EEU-BGR,2015,cost_heat_EUR,gas,NA
C-EEU-BGR,2015,cost_heat_EUR,heat_pump,NA
C-EEU-BGR,2015,cost_heat_EUR,p1,NA
C-EEU-BGR,2015,cost_heat_EUR,p2,NA
C-EEU-BGR,2015,cost_heat_EUR,p3,NA
C-EEU-BGR,2015,energy_poverty_thres,all,NA
C-EEU-BGR,2015,energy_poverty_thres,biomass_solid,NA
C-EEU-BGR,2015,energy_poverty_thres,coal,NA
C-EEU-BGR,2015,energy_poverty_thres,district_heat,NA
C-EEU-BGR,2015,energy_poverty_thres,electricity,NA
C-EEU-BGR,2015,energy_poverty_thres,gas,NA
C-EEU-BGR,2015,energy_poverty_thres,heat_pump,NA
C-EEU-BGR,2015,energy_poverty_thres,p1,NA
C-EEU-BGR,2015,energy_poverty_thres,p2,NA
C-EEU-BGR,2015,energy_poverty_thres,p3,NA
C-EEU-BGR,2015,energy_poverty_thres,q1,NA
C-EEU-BGR,2015,energy_poverty_thres,q2,NA
C-EEU-BGR,2015,energy_poverty_thres,q3,NA
C-EEU-BGR,2015,floor_m2,all,NA
C-EEU-BGR,2015,floor_m2,biomass_solid,NA
C-EEU-BGR,2015,floor_m2,coal,NA
C-EEU-BGR,2015,floor_m2,district_heat,NA
C-EEU-BGR,2015,floor_m2,electricity,NA
C-EEU-BGR,2015,floor_m2,gas,NA
C-EEU-BGR,2015,floor_m2,heat_pump,NA
C-EEU-BGR,2015,floor_m2,p1,NA
C-EEU-BGR,2015,floor_m2,p2,NA
C-EEU-BGR,2015,floor_m2,p3,NA
C-EEU-BGR,2015,heat_kWh,all,NA
C-EEU-BGR,2015,heat_kWh,biomass_solid,NA
C-EEU-BGR,2015,heat_kWh,coal,NA
C-EEU-BGR,2015,heat_kWh,district_heat,NA
C-EEU-BGR,2015,heat_kWh,electricity,NA
C-EEU-BGR,2015,heat_kWh,gas,NA
C-EEU-BGR,2015,heat_kWh,heat_pump,NA
C-EEU-BGR,2015,heat_kWh,p1,NA
C-EEU-BGR,2015,heat_kWh,p2,NA
C-EEU-BGR,2015,heat_kWh,p3,NA
C-EEU-BGR,2015,heat_std_kWh,all,NA
C-EEU-BGR,2015,heat_std_kWh,biomass_solid,NA
C-EEU-BGR,2015,heat_std_kWh,coal,NA
C-EEU-BGR,2015,heat_std_kWh,district_heat,NA
C-EEU-BGR,2015,heat_std_kWh,electricity,NA
C-EEU-BGR,2015,heat_std_kWh,gas,NA
C-EEU-BGR,2015,heat_std_kWh,heat_pump,NA
C-EEU-BGR,2015,heat_std_kWh,p1,NA
C-EEU-BGR,2015,heat_std_kWh,p2,NA
C-EEU-BGR,2015,heat_std_kWh,p3,NA
C-EEU-BGR,2015,heat_tCO2,all,NA
C-EEU-BGR,2015,heat_tCO2,biomass_solid,NA
C-EEU-BGR,2015,heat_tCO2,coal,NA
C-EEU-BGR,2015,heat_tCO2,district_heat,NA
C-EEU-BGR,2015,heat_tCO2,electricity,NA
C-EEU-BGR,2015,heat_tCO2,gas,NA
C-EEU-BGR,2015,heat_tCO2,heat_pump,NA
C-EEU-BGR,2015,heat_tCO2,p1,NA
C-EEU-BGR,2015,heat_tCO2,p2,NA
C-EEU-BGR,2015,heat_tCO2,p3,NA
C-EEU-BGR,2015,stock_building,all,2906934.52598
C-EEU-BGR,2015,stock_building,biomass_solid,1416578.6097199998
C-EEU-BGR,2015,stock_building,coal,245978.26281999997
C-EEU-BGR,2015,stock_building,district_heat,830402.9870999999
C-EEU-BGR,2015,stock_building,electricity,236085.7881
C-EEU-BGR,2015,stock_building,gas,80921.65102
C-EEU-BGR,2015,stock_building,heat_pump,96967.22722
C-EEU-BGR,2015,stock_building,p1,492210.66688
C-EEU-BGR,2015,stock_building,p2,1500055.4231099999
C-EEU-BGR,2015,stock_building,p3,914668.4359899999
C-EEU-CZE,2015,cost_heat_EUR,all,NA
C-EEU-CZE,2015,cost_heat_EUR,biomass_solid,NA
C-EEU-CZE,2015,cost_heat_EUR,coal,NA
C-EEU-CZE,2015,cost_heat_EUR,district_heat,NA
C-EEU-CZE,2015,cost_heat_EUR,electricity,NA
C-EEU-CZE,2015,cost_heat_EUR,gas,NA
