region_gea,fuel,year,value
FSU,gas,2070,19.60518752
FSU,gas,2080,17.69343673
FSU,gas,2090,20.57000329
FSU,gas,2100,23.00283167
FSU,oil,2015,0
FSU,oil,2020,3.945958648
FSU,oil,2025,17.37559655
FSU,oil,2030,18.76705089
FSU,oil,2035,25.91181875
FSU,oil,2040,35.97780339
FSU,oil,2045,34.95846658
FSU,oil,2050,43.60165235
FSU,oil,2055,53.11304542
FSU,oil,2060,55.5466987
FSU,oil,2070,21.0517656
FSU,oil,2080,19.91683455
FSU,oil,2090,21.99487216
FSU,oil,2100,25.13671599
FSU,biomass_solid,2015,0.702528708
FSU,biomass_solid,2020,3.034103681
FSU,biomass_solid,2025,11.22038474
FSU,biomass_solid,2030,9.879097073
FSU,biomass_solid,2035,15.34076192
FSU,biomass_solid,2040,11.92030293
FSU,biomass_solid,2045,13.48438847
FSU,biomass_solid,2050,21.97832776
FSU,biomass_solid,2055,24.30533396
FSU,biomass_solid,2060,23.16783343
FSU,biomass_solid,2070,9.240988877
FSU,biomass_solid,2080,8.023349427
FSU,biomass_solid,2090,10.28610568
FSU,biomass_solid,2100,10.57989866
FSU,coal,2015,2.055792743
FSU,coal,2020,3.03444618
FSU,coal,2025,22.73960769
FSU,coal,2030,28.46821808
FSU,coal,2035,35.55703416
FSU,coal,2040,36.35193393
FSU,coal,2045,38.12522487
FSU,coal,2050,34.54530942
FSU,coal,2055,64.82145995
FSU,coal,2060,46.30211874
FSU,coal,2070,19.25458261
FSU,coal,2080,17.79651808
FSU,coal,2090,20.57000329
FSU,coal,2100,23.00283167
LAC,electricity,2015,12.73904406
LAC,electricity,2020,13.51431999
LAC,electricity,2025,29.87516724
LAC,electricity,2030,29.72043862
LAC,electricity,2035,27.31859142
LAC,electricity,2040,28.85029871
LAC,electricity,2045,27.50149058
LAC,electricity,2050,26.6969017
LAC,electricity,2055,26.74950436
LAC,electricity,2060,30.13148911
LAC,electricity,2070,23.72535752
LAC,electricity,2080,22.11288401
LAC,electricity,2090,23.49075924
LAC,electricity,2100,23.27869787
LAC,gas,2015,3.477048103
LAC,gas,2020,3.949621316
LAC,gas,2025,14.8054222
LAC,gas,2030,19.22879869
LAC,gas,2035,23.93486059
LAC,gas,2040,27.19378445
LAC,gas,2045,30.01803272
LAC,gas,2050,20.76660549
LAC,gas,2055,24.38616035
LAC,gas,2060,37.27059668
LAC,gas,2070,19.91038261
LAC,gas,2080,18.14247075
LAC,gas,2090,19.5468172
LAC,gas,2100,21.34495537
LAC,oil,2015,4.606865285
LAC,oil,2020,2.949741867
LAC,oil,2025,18.10200351
LAC,oil,2030,20.34884461
LAC,oil,2035,27.03175395
LAC,oil,2040,33.79779954
LAC,oil,2045,34.43845574
LAC,oil,2050,43.34722377
LAC,oil,2055,54.14265094
LAC,oil,2060,54.93492907
LAC,oil,2070,21.51619531
LAC,oil,2080,20.83056224
LAC,oil,2090,23.20556638
LAC,oil,2100,26.16854027
LAC,biomass_solid,2015,1.922162696
LAC,biomass_solid,2020,2.004895988
LAC,biomass_solid,2025,6.187079525
LAC,biomass_solid,2030,9.458578757
LAC,biomass_solid,2035,7.324382714
LAC,biomass_solid,2040,15.01260076
LAC,biomass_solid,2045,12.54425315
LAC,biomass_solid,2050,9.187271874
LAC,biomass_solid,2055,11.45810632
LAC,biomass_solid,2060,18.37355712
LAC,biomass_solid,2070,9.327601767
LAC,biomass_solid,2080,9.491535206
LAC,biomass_solid,2090,8.56987998
LAC,biomass_solid,2100,9.370014368
LAC,coal,2015,2.212700603
LAC,coal,2020,2.461387954
LAC,coal,2025,20.56531218
LAC,coal,2030,25.43101236
LAC,coal,2035,31.78024468
LAC,coal,2040,34.75939604
LAC,coal,2045,32.7445104
LAC,coal,2050,31.40811964
LAC,coal,2055,49.4135786
LAC,coal,2060,43.17326829
LAC,coal,2070,27.72566934
LAC,coal,2080,22.3849792
LAC,coal,2090,27.29694005
LAC,coal,2100,27.38670338
MEA,electricity,2015,20.25820941
MEA,electricity,2020,17.50779955
MEA,electricity,2025,40.08998868
MEA,electricity,2030,31.9056349
MEA,electricity,2035,36.28335614
MEA,electricity,2040,30.87803097
MEA,electricity,2045,30.87957437
MEA,electricity,2050,29.2122928
MEA,electricity,2055,29.33673985
MEA,electricity,2060,37.32264508
MEA,electricity,2070,23.70810284
MEA,electricity,2080,22.02225963
MEA,electricity,2090,25.2345075
MEA,electricity,2100,24.58346567
MEA,gas,2015,3.188680732
MEA,gas,2020,4.445430736
MEA,gas,2025,16.48514761
MEA,gas,2030,19.65696983
MEA,gas,2035,24.2634278
MEA,gas,2040,26.6267741
MEA,gas,2045,34.62026988
MEA,gas,2050,41.35434932
MEA,gas,2055,44.24054352
MEA,gas,2060,43.99008888
MEA,gas,2070,19.4700839
MEA,gas,2080,17.79836983
MEA,gas,2090,20.82869459
MEA,gas,2100,23.25138516
MEA,oil,2015,1.655396171
MEA,oil,2020,4.464913598
MEA,oil,2025,16.8722212
MEA,oil,2030,19.83558487
MEA,oil,2035,25.99801167
MEA,oil,2040,34.13057173
MEA,oil,2045,34.62026988
MEA,oil,2050,43.34722377
MEA,oil,2055,54.14265094
MEA,oil,2060,54.92104154
MEA,oil,2070,21.52613316
MEA,oil,2080,20.83056224
MEA,oil,2090,23.152830260000002
MEA,oil,2100,26.34034343
MEA,biomass_solid,2015,0.087816089
MEA,biomass_solid,2020,1.608239757
MEA,biomass_solid,2025,10.23422968
MEA,biomass_solid,2030,12.6602558
MEA,biomass_solid,2035,17.65017423
MEA,biomass_solid,2040,19.47957717
MEA,biomass_solid,2045,25.85077462
MEA,biomass_solid,2050,32.25922308
MEA,biomass_solid,2055,34.9338037
MEA,biomass_solid,2060,34.08402175
MEA,biomass_solid,2070,14.42397603
MEA,biomass_solid,2080,13.42608668
MEA,biomass_solid,2090,15.74371365
MEA,biomass_solid,2100,17.22298701
MEA,coal,2015,0.702528708
MEA,coal,2020,4.01412707
MEA,coal,2025,16.48514761
MEA,coal,2030,19.65696983
MEA,coal,2035,24.2634278
MEA,coal,2040,26.6267741
MEA,coal,2045,34.62026988
MEA,coal,2050,41.35434932
MEA,coal,2055,44.24054352
MEA,coal,2060,72.14225894
MEA,coal,2070,18.43380426
MEA,coal,2080,17.79836983
MEA,coal,2090,26.51898432
MEA,coal,2100,23.25138516
"NAM",electricity,2015,8.642633588
"NAM",electricity,2020,18.07464213
"NAM",electricity,2025,32.29333631
"NAM",electricity,2030,37.32455635
"NAM",electricity,2035,37.53088444
"NAM",electricity,2040,35.9350039
"NAM",electricity,2045,34.53006127
"NAM",electricity,2050,34.51217818
"NAM",electricity,2055,34.01959309
"NAM",electricity,2060,36.38931655
"NAM",electricity,2070,27.90965966
"NAM",electricity,2080,27.65907584
"NAM",electricity,2090,28.47420296
"NAM",electricity,2100,31.60894027
"NAM",gas,2015,5.142708937
"NAM",gas,2020,6.328477259
"NAM",gas,2025,30.0202909
"NAM",gas,2030,22.20794872
"NAM",gas,2035,23.41835776
"NAM",gas,2040,32.80297205
"NAM",gas,2045,30.70622359
"NAM",gas,2050,35.30286078
"NAM",gas,2055,44.49413989
"NAM",gas,2060,45.96629314
"NAM",gas,2070,21.49139517
"NAM",gas,2080,19.42567114
"NAM",gas,2090,22.03057708
"NAM",gas,2100,23.56225516
"NAM",oil,2015,4.833256102
"NAM",oil,2020,4.092869746
"NAM",oil,2025,18.22191247
"NAM",oil,2030,22.56197443
"NAM",oil,2035,27.80032589
"NAM",oil,2040,34.67047184
"NAM",oil,2045,35.50672927
"NAM",oil,2050,44.46723924
"NAM",oil,2055,44.49413989
"NAM",oil,2060,45.44966864
"NAM",oil,2070,22.66625527
"NAM",oil,2080,20.71901001
"NAM",oil,2090,23.23395455
"NAM",oil,2100,24.61283651
"NAM",biomass_solid,2015,132.8356179
"NAM",biomass_solid,2020,79.67508277
"NAM",biomass_solid,2025,6.694213722
"NAM",biomass_solid,2030,8.577338324
"NAM",biomass_solid,2035,10.77361481
"NAM",biomass_solid,2040,16.35001847
"NAM",biomass_solid,2045,12.11645536
"NAM",biomass_solid,2050,21.81421544
