R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
AFR,rur,mfh,perm,s1,aluminum,SSP3,2025,29.38609356027728,0,0.2757993978566678,0.05955581629195733,0,5.589534464147799e-4
AFR,rur,mfh,perm,s1,aluminum,SSP3,2030,30.75876865764889,0,0.25684354286383193,0.06233777115642135,0,5.20536246956314e-4
AFR,rur,mfh,perm,s1,aluminum,SSP3,2035,32.10628520012218,0,0.23516609364271338,0.06506873801628305,0,4.766032831942878e-4
AFR,rur,mfh,perm,s1,aluminum,SSP3,2040,33.44712433699412,0,0.21202365384427743,0.06778617200079047,0,4.2970127186174356e-4
AFR,rur,mfh,perm,s1,aluminum,SSP3,2045,34.785496481623575,0,0.18842174559970043,0.07049860621435228,0,3.8186807114486674e-4
AFR,rur,mfh,perm,s1,aluminum,SSP3,2050,36.13726991034156,0,0.1651219307249006,0.07323820036367132,0,3.3464711299083927e-4
AFR,rur,mfh,perm,s1,cement,SSP3,2025,29.38609356027728,0,0.2757993978566678,4.263995640830134,0,0.04001918212749714
AFR,rur,mfh,perm,s1,cement,SSP3,2030,30.75876865764889,0,0.25684354286383193,4.463174229146498,0,0.037268640178399176
AFR,rur,mfh,perm,s1,cement,SSP3,2035,32.10628520012218,0,0.23516609364271338,4.658702248250728,0,0.034123188102791815
AFR,rur,mfh,perm,s1,cement,SSP3,2040,33.44712433699412,0,0.21202365384427743,4.853261359108689,0,0.03076516223193927
AFR,rur,mfh,perm,s1,cement,SSP3,2045,34.785496481623575,0,0.18842174559970043,5.047462503224785,0,0.02734046634088053
AFR,rur,mfh,perm,s1,cement,SSP3,2050,36.13726991034156,0,0.1651219307249006,5.243608207165336,0,0.02395960495300989
AFR,rur,mfh,perm,s1,concrete,SSP3,2025,29.38609356027728,0,0.2757993978566678,28.42663760553423,0,0.26679454751664755
AFR,rur,mfh,perm,s1,concrete,SSP3,2030,30.75876865764889,0,0.25684354286383193,29.754494860976653,0,0.24845760118932783
AFR,rur,mfh,perm,s1,concrete,SSP3,2035,32.10628520012218,0,0.23516609364271338,31.058014988338186,0,0.2274879206852788
AFR,rur,mfh,perm,s1,concrete,SSP3,2040,33.44712433699412,0,0.21202365384427743,32.35507572739127,0,0.2051010815462618
AFR,rur,mfh,perm,s1,concrete,SSP3,2045,34.785496481623575,0,0.18842174559970043,33.64975002149857,0,0.1822697756058702
AFR,rur,mfh,perm,s1,concrete,SSP3,2050,36.13726991034156,0,0.1651219307249006,34.95738804776891,0,0.15973069968673262
AFR,rur,mfh,perm,s1,copper,SSP3,2025,29.38609356027728,0,0.2757993978566678,0.0062044255760979414,0,5.823083746821688e-5
AFR,rur,mfh,perm,s1,copper,SSP3,2030,30.75876865764889,0,0.25684354286383193,0.006494244992358071,0,5.422859772535653e-5
AFR,rur,mfh,perm,s1,copper,SSP3,2035,32.10628520012218,0,0.23516609364271338,0.0067787525633690665,0,4.965173486006306e-5
AFR,rur,mfh,perm,s1,copper,SSP3,2040,33.44712433699412,0,0.21202365384427743,0.0070618503020044195,0,4.4765561572545365e-5
AFR,rur,mfh,perm,s1,copper,SSP3,2045,34.785496481623575,0,0.18842174559970043,0.007344427172844467,0,3.9782378528599835e-5
AFR,rur,mfh,perm,s1,copper,SSP3,2050,36.13726991034156,0,0.1651219307249006,0.007629833520477028,0,3.486297789336307e-5
AFR,rur,mfh,perm,s1,glass,SSP3,2025,29.38609356027728,0,0.2757993978566678,0.16769664059377773,0,0.0015738952305273174
AFR,rur,mfh,perm,s1,glass,SSP3,2030,30.75876865764889,0,0.25684354286383193,0.17553003981656926,0,0.0014657204846952156
AFR,rur,mfh,perm,s1,glass,SSP3,2035,32.10628520012218,0,0.23516609364271338,0.18321986755273267,0,0.0013420145077994731
AFR,rur,mfh,perm,s1,glass,SSP3,2040,33.44712433699412,0,0.21202365384427743,0.19087158956092884,0,0.0012099483180086845
AFR,rur,mfh,perm,s1,glass,SSP3,2045,34.785496481623575,0,0.18842174559970043,0.19850923326672704,0,0.0010752600949517643
AFR,rur,mfh,perm,s1,glass,SSP3,2050,36.13726991034156,0,0.1651219307249006,0.20622335363372823,0,9.422958180584734e-4
AFR,rur,mfh,perm,s1,steel,SSP3,2025,29.38609356027728,0,0.2757993978566678,2.3760886651273143,0,0.02230047426181213
AFR,rur,mfh,perm,s1,steel,SSP3,2030,30.75876865764889,0,0.25684354286383193,2.4870798635006865,0,0.020767749536292367
AFR,rur,mfh,perm,s1,steel,SSP3,2035,32.10628520012218,0,0.23516609364271338,2.5960368017910618,0,0.019014963264189895
AFR,rur,mfh,perm,s1,steel,SSP3,2040,33.44712433699412,0,0.21202365384427743,2.7044538211660747,0,0.017143721386610578
AFR,rur,mfh,perm,s1,steel,SSP3,2045,34.785496481623575,0,0.18842174559970043,2.812671365497141,0,0.015235327998415522
AFR,rur,mfh,perm,s1,steel,SSP3,2050,36.13726991034156,0,0.1651219307249006,2.92197250534442,0,0.013351361151647808
AFR,rur,mfh,perm,s1,wood,SSP3,2025,29.38609356027728,0,0.2757993978566678,1.3087190552787085,0,0.012282814204924525
AFR,rur,mfh,perm,s1,wood,SSP3,2030,30.75876865764889,0,0.25684354286383193,1.3698515788294103,0,0.01143860915305746
AFR,rur,mfh,perm,s1,wood,SSP3,2035,32.10628520012218,0,0.23516609364271338,1.4298636581083628,0,0.010473197033637026
AFR,rur,mfh,perm,s1,wood,SSP3,2040,33.44712433699412,0,0.21202365384427743,1.4895783569977654,0,0.00944254109130402
AFR,rur,mfh,perm,s1,wood,SSP3,2045,34.785496481623575,0,0.18842174559970043,1.549183187600308,0,0.008391422575082765
AFR,rur,mfh,perm,s1,wood,SSP3,2050,36.13726991034156,0,0.1651219307249006,1.609384848666753,0,0.0073537578834976395
AFR,rur,mfh,perm,s2,aluminum,SSP3,2025,64.11243931838095,0,0.8184436719218556,0.12993454370662288,0,0.001658712508701109
AFR,rur,mfh,perm,s2,aluminum,SSP3,2030,65.50936865145218,0,0.8380769739215402,0.13276565382211286,0,0.001698502667427014
AFR,rur,mfh,perm,s2,aluminum,SSP3,2035,66.53123912924175,0,0.8347728691419299,0.13483664465744039,0,0.0016918063484059026
AFR,rur,mfh,perm,s2,aluminum,SSP3,2040,67.29407984405152,0,0.811938195578392,0.1363826685063758,0,0.001645528076642854
AFR,rur,mfh,perm,s2,aluminum,SSP3,2045,67.87685181459496,0,0.7734851477676555,0.13756375303353807,0,0.0015675965664002773
AFR,rur,mfh,perm,s2,aluminum,SSP3,2050,68.38991814476265,0,0.7232233263077712,0.13860356746284894,0,0.0014657326082248242
