Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP3,R12_AFR,Energy Service|Residential|Floor Space,bn m2,16.66074,20.46991,24.63914,29.59338,35.21311,41.40271
MESSAGEix-Buildings,SSP3,R12_CHN,Energy Service|Residential|Floor Space,bn m2,57.93725,58.79191,59.46927,60.00973,60.21284,60.00943
MESSAGEix-Buildings,SSP3,R12_EEU,Energy Service|Residential|Floor Space,bn m2,3.3472,3.3895,3.42845,3.46986,3.51219,3.55906
MESSAGEix-Buildings,SSP3,R12_FSU,Energy Service|Residential|Floor Space,bn m2,6.68472,7.1249,7.56728,8.03434,8.51857,9.01447
MESSAGEix-Buildings,SSP3,R12_LAM,Energy Service|Residential|Floor Space,bn m2,12.60915,13.72272,14.85883,16.02357,17.155639999999998,18.28433
MESSAGEix-Buildings,SSP3,R12_MEA,Energy Service|Residential|Floor Space,bn m2,10.38732,11.7619,13.25486,14.88699,16.50796,18.28481
MESSAGEix-Buildings,SSP3,R12_NAM,Energy Service|Residential|Floor Space,bn m2,24.95236,25.44902,25.98317,26.53745,27.05933,27.5814
MESSAGEix-Buildings,SSP3,R12_PAO,Energy Service|Residential|Floor Space,bn m2,6.5318,6.55709,6.57543,6.59138,6.60103,6.61393
MESSAGEix-Buildings,SSP3,R12_PAS,Energy Service|Residential|Floor Space,bn m2,12.28287,13.26184,14.26453,15.27529,16.26278,17.22972
MESSAGEix-Buildings,SSP3,R12_RCPA,Energy Service|Residential|Floor Space,bn m2,4.61874,4.92887,5.23382,5.54323,5.84861,6.15517
MESSAGEix-Buildings,SSP3,R12_SAS,Energy Service|Residential|Floor Space,bn m2,29.9468,33.7237,37.69951,41.83832,46.00674,50.2226
MESSAGEix-Buildings,SSP3,R12_WEU,Energy Service|Residential|Floor Space,bn m2,21.12458,21.42771,21.75446,22.1185,22.48365,22.85167
MESSAGEix-Buildings,SSP3,R12_AFR,Energy Service|Residential|Slum|Floor Space,bn m2,2.40997,2.30654,2.35412,2.38172,2.39126,2.34539
MESSAGEix-Buildings,SSP3,R12_AFR,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.72564,0.95268,1.16827,1.43264,1.73728,2.07443
MESSAGEix-Buildings,SSP3,R12_AFR,Energy Service|Residential|Single-family|Floor Space,bn m2,13.52514,17.21069,21.11675,25.77903,31.08457,36.98289
