Model,Scenario,Region,Variable,Unit,2020,2025,2030
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Energy Service|Residential|Renovation rate,%/yr,NA,0.505,0.39899999999999997
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Energy Service|Residential|Renovation rate,%/yr,NA,0.384,0.332
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Energy Service|Residential|Renovation rate,%/yr,NA,0.374,0.314
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Energy Service|Residential|Renovation rate,%/yr,NA,1.434,1.22
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Energy Service|Residential|Renovation rate,%/yr,NA,1.3299999999999998,1.1560000000000001
MESSAGEix-Buildings,IND_SSP2,R12_PAS,Energy Service|Residential|Renovation rate,%/yr,NA,0.4,0.33
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Energy Service|Residential|Renovation rate,%/yr,NA,0.35300000000000004,0.28600000000000003
MESSAGEix-Buildings,IND_SSP2,R12_SAS,Energy Service|Residential|Renovation rate,%/yr,NA,0.413,0.356
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Energy Service|Residential|Renovation rate,%/yr,NA,1.277,1.0659999999999998
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Cooling,EJ/yr,0.0053,0.01201,0.03251
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Electricity,EJ/yr,0.19708,0.29149,0.4112
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Gases,EJ/yr,7e-5,6e-5,6e-5
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Heating|Space,EJ/yr,0.16063,0.17872,0.19738
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Heating|Water,EJ/yr,1.44264,1.47112,1.50977
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Liquids,EJ/yr,0.16344,0.15908,0.15453
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Solids|Biomass,EJ/yr,1.01582,0.98555,0.9549
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Final Energy|Residential|Solids|Fossil,EJ/yr,0.23216,0.22566,0.21897
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Cooling,EJ/yr,0.32726,0.38333,0.39633
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Electricity,EJ/yr,3.17014,3.67741,4.01453
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Heat,EJ/yr,0.86032,1.07601,1.27256
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Heating|Space,EJ/yr,4.85505,4.92184,4.87902
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Heating|Water,EJ/yr,5.98998,6.69474,7.08841
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Solids|Biomass,EJ/yr,2.97862,3.02703,2.96284
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Final Energy|Residential|Solids|Fossil,EJ/yr,4.16322,4.21947,4.11383
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Cooling,EJ/yr,0.00141,0.00165,0.00185
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Electricity,EJ/yr,0.11771,0.15523,0.18613
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Gases,EJ/yr,0.48628,0.45202,0.41422
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Heat,EJ/yr,0.33726,0.36308,0.38334
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Heating|Space,EJ/yr,1.49945,1.43043,1.34653
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Heating|Water,EJ/yr,0.36914,0.3974,0.41669
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Liquids,EJ/yr,0.06427,0.05987,0.05497
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.39999,0.36577,0.32776
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.46449,0.43351,0.39866
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Cooling,EJ/yr,0.00485,0.00678,0.00934
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Electricity,EJ/yr,0.20123,0.28350000000000003,0.35422000000000003
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Gases,EJ/yr,1.81865,1.6546,1.52031
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Heat,EJ/yr,2.93466,3.0795,3.254
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Heating|Space,EJ/yr,4.56404,4.5647,4.59861
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Heating|Water,EJ/yr,1.53271,1.48565,1.47281
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Liquids,EJ/yr,0.46345,0.42029,0.38519
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.41654,0.37775,0.34624
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.26707,0.2415,0.22081
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Cooling,EJ/yr,0.09971,0.16855,0.25897
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Electricity,EJ/yr,0.32630000000000003,0.48014,0.67224
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Gases,EJ/yr,0.13024,0.13736,0.14273
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Heating|Space,EJ/yr,0.32875,0.37587,0.42359
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Heating|Water,EJ/yr,0.62663,0.70365,0.78748
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Liquids,EJ/yr,0.56267,0.59306,0.61624
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Solids|Biomass,EJ/yr,0.03064,0.03199,0.0331
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00523,0.00551,0.00573
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Cooling,EJ/yr,0.32152,0.42684,0.56098
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Electricity,EJ/yr,0.59643,0.83859,1.13265
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Gases,EJ/yr,0.35059,0.36425,0.37459
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Heating|Space,EJ/yr,0.49292,0.57859,0.66869
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Heating|Water,EJ/yr,0.71976,0.80602,0.9025
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Liquids,EJ/yr,0.57091,0.59186,0.6078
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01509,0.01553,0.01587
MESSAGEix-Buildings,IND_SSP2,R12_MEA,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00118,0.00122,0.00125
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Cooling,EJ/yr,0.80162,0.7806,0.77355
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Electricity,EJ/yr,1.93494,2.22103,2.49368
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Gases,EJ/yr,6.67328,5.98701,5.35056
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Heating|Space,EJ/yr,7.93183,7.3446,6.79101
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Heating|Water,EJ/yr,1.96192,1.94554,1.9362
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Liquids,EJ/yr,1.67491,1.50305,1.34361
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_NAM,Final Energy|Residential|Solids|Biomass,EJ/yr,0.41225,0.35965,0.31292
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Cooling,EJ/yr,0.07048,0.06897,0.06682
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Electricity,EJ/yr,0.18684,0.23011,0.26967
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Gases,EJ/yr,0.42443,0.39291,0.36085
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Heat,EJ/yr,0.08155,0.0837,0.08536
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Heating|Space,EJ/yr,0.48186,0.45082,0.42018
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Heating|Water,EJ/yr,0.71316,0.71717,0.71575
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Liquids,EJ/yr,0.51406,0.4765,0.43802
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01344,0.01181,0.0103
MESSAGEix-Buildings,IND_SSP2,R12_PAO,Final Energy|Residential|Solids|Fossil,EJ/yr,0.04519,0.04193,0.03857
MESSAGEix-Buildings,IND_SSP2,R12_PAS,Final Energy|Residential|Cooling,EJ/yr,0.06891,0.1207,0.17665
MESSAGEix-Buildings,IND_SSP2,R12_PAS,Final Energy|Residential|Electricity,EJ/yr,0.10911,0.18583,0.26798
MESSAGEix-Buildings,IND_SSP2,R12_PAS,Final Energy|Residential|Heating|Space,EJ/yr,0.51312,0.51193,0.5061
MESSAGEix-Buildings,IND_SSP2,R12_PAS,Final Energy|Residential|Heating|Water,EJ/yr,0.21525,0.23653,0.25645
MESSAGEix-Buildings,IND_SSP2,R12_PAS,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_PAS,Final Energy|Residential|Solids|Biomass,EJ/yr,0.68817,0.68333,0.67122
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Cooling,EJ/yr,0.01425,0.02335,0.03272
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Electricity,EJ/yr,0.05692,0.07676,0.09612
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Heat,EJ/yr,0.00787,0.01075,0.01384
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Heating|Space,EJ/yr,0.06275,0.07132,0.07917
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Heating|Water,EJ/yr,0.08811,0.09839,0.10445
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.0467,0.04921,0.04967
MESSAGEix-Buildings,IND_SSP2,R12_RCPA,Final Energy|Residential|Solids|Fossil,EJ/yr,0.05362,0.05633,0.056710000000000003
MESSAGEix-Buildings,IND_SSP2,R12_SAS,Final Energy|Residential|Cooling,EJ/yr,0.12875,0.22818,0.30812
MESSAGEix-Buildings,IND_SSP2,R12_SAS,Final Energy|Residential|Electricity,EJ/yr,0.19813999999999998,0.34159,0.47565
MESSAGEix-Buildings,IND_SSP2,R12_SAS,Final Energy|Residential|Heating|Space,EJ/yr,0.39841,0.46166,0.52237
MESSAGEix-Buildings,IND_SSP2,R12_SAS,Final Energy|Residential|Heating|Water,EJ/yr,0.6085,0.64015,0.6791
MESSAGEix-Buildings,IND_SSP2,R12_SAS,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_SAS,Final Energy|Residential|Solids|Biomass,EJ/yr,0.93752,0.98839,1.03394
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Cooling,EJ/yr,0.03358,0.03767,0.04219
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Electricity,EJ/yr,1.2847,1.5279,1.72358
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Gases,EJ/yr,5.74643,5.1112,4.53222
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Heat,EJ/yr,0.82278,0.8274,0.82849
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Heating|Space,EJ/yr,9.15818,8.34642,7.5861
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Heating|Water,EJ/yr,2.75775,2.70708,2.6553
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Liquids,EJ/yr,2.48525,2.21047,1.95997
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Other,EJ/yr,0,0,0
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.99893,0.87041,0.75719
MESSAGEix-Buildings,IND_SSP2,R12_WEU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.61141,0.54379,0.48215
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,1.199,1.863
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.31,0.382
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,60.308,99.278
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.594,0.91
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.157,0.193
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,13.09,22.076
MESSAGEix-Buildings,IND_SSP2,R12_AFR,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,2.942,3.654
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,2.533,2.494
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,2.231,2.282
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,177.891,175.167
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.32,0.315
