node,commodity,level,year,time,value,unit
R12_AFR,resid_cool_electr,final,2020,year,0.16948754069776759,GWa
R12_AFR,resid_heat_biomass,final,2020,year,2.808472284014678,GWa
R12_AFR,resid_heat_coal,final,2020,year,0.8316633456393145,GWa
R12_AFR,resid_heat_electr,final,2020,year,0.7691824467411721,GWa
R12_AFR,resid_heat_gas,final,2020,year,3.3325835266430863e-4,GWa
R12_AFR,resid_heat_lightoil,final,2020,year,0.6870464432646125,GWa
R12_AFR,resid_hotwater_biomass,final,2020,year,29.247388103028744,GWa
R12_AFR,resid_hotwater_coal,final,2020,year,6.495697174716435,GWa
R12_AFR,resid_hotwater_electr,final,2020,year,5.349068653094376,GWa
R12_AFR,resid_hotwater_gas,final,2020,year,0.001735273694448768,GWa
R12_AFR,resid_hotwater_lightoil,final,2020,year,4.4718070758536275,GWa
R12_AFR,resid_other_uses_electr,final,2020,year,0,GWa
R12_AFR,resid_cool_electr,final,2025,year,0.3823351180806815,GWa
R12_AFR,resid_heat_biomass,final,2025,year,2.937942622272012,GWa
R12_AFR,resid_heat_coal,final,2025,year,0.8819033598590476,GWa
R12_AFR,resid_heat_electr,final,2025,year,0.870944596244273,GWa
R12_AFR,resid_heat_gas,final,2025,year,0.3123058304911549,GWa
R12_AFR,resid_heat_lightoil,final,2025,year,0.8041247542756674,GWa
R12_AFR,resid_hotwater_biomass,final,2025,year,28.848378197483566,GWa
R12_AFR,resid_hotwater_coal,final,2025,year,6.423259522415166,GWa
R12_AFR,resid_hotwater_electr,final,2025,year,5.825208397547389,GWa
R12_AFR,resid_hotwater_gas,final,2025,year,1.8295546460647771,GWa
R12_AFR,resid_hotwater_lightoil,final,2025,year,4.817424484480329,GWa
R12_AFR,resid_other_uses_electr,final,2025,year,0,GWa
R12_AFR,resid_cool_electr,final,2030,year,1.0217168335839726,GWa
R12_AFR,resid_heat_biomass,final,2030,year,3.065557412268378,GWa
R12_AFR,resid_heat_coal,final,2030,year,0.9194772991727193,GWa
R12_AFR,resid_heat_electr,final,2030,year,0.9630906186931618,GWa
R12_AFR,resid_heat_gas,final,2030,year,0.6726067029719165,GWa
R12_AFR,resid_heat_lightoil,final,2030,year,0.9650118658104616,GWa
R12_AFR,resid_hotwater_biomass,final,2030,year,28.52397836113359,GWa
R12_AFR,resid_hotwater_coal,final,2030,year,6.351022169536151,GWa
R12_AFR,resid_hotwater_electr,final,2030,year,6.377111929208928,GWa
R12_AFR,resid_hotwater_gas,final,2030,year,3.7369655279841214,GWa
R12_AFR,resid_hotwater_lightoil,final,2030,year,5.353754259197691,GWa
R12_AFR,resid_other_uses_electr,final,2030,year,0,GWa
R12_AFR,resid_cool_electr,final,2035,year,1.9349709984184555,GWa
R12_AFR,resid_heat_biomass,final,2035,year,3.0861001984919416,GWa
R12_AFR,resid_heat_coal,final,2035,year,0.9454327928486771,GWa
R12_AFR,resid_heat_electr,final,2035,year,1.0620199187539348,GWa
R12_AFR,resid_heat_gas,final,2035,year,1.1562200972146832,GWa
