Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP4,R12_AFR,Energy Service|Residential|Floor Space,bn m2,15.924620000000001,19.44266,23.03268,27.34173,32.22452,37.49912
MESSAGEix-Buildings,SSP4,R12_CHN,Energy Service|Residential|Floor Space,bn m2,55.7876,55.62629,55.21071,54.445,53.36774,51.92829
MESSAGEix-Buildings,SSP4,R12_EEU,Energy Service|Residential|Floor Space,bn m2,3.20753,3.17104,3.12757,3.0795,3.03227,2.9862
MESSAGEix-Buildings,SSP4,R12_FSU,Energy Service|Residential|Floor Space,bn m2,6.42745,6.72407,7.00706,7.28871,7.57219,7.85078
MESSAGEix-Buildings,SSP4,R12_LAM,Energy Service|Residential|Floor Space,bn m2,12.35352,13.33844,14.34605,15.38354,16.3874,17.40063
MESSAGEix-Buildings,SSP4,R12_MEA,Energy Service|Residential|Floor Space,bn m2,10.09589,11.26844,12.50767,13.84764,15.12454,16.54587
MESSAGEix-Buildings,SSP4,R12_NAM,Energy Service|Residential|Floor Space,bn m2,24.616,24.91675,25.15539,25.29959,25.38812,25.42739
MESSAGEix-Buildings,SSP4,R12_PAO,Energy Service|Residential|Floor Space,bn m2,6.50812,6.49459,6.4522,6.38455,6.30638,6.22483
MESSAGEix-Buildings,SSP4,R12_PAS,Energy Service|Residential|Floor Space,bn m2,12.08311,12.93724,13.81263,14.70243,15.58432,16.462
MESSAGEix-Buildings,SSP4,R12_RCPA,Energy Service|Residential|Floor Space,bn m2,4.36852,4.53319,4.6899,4.85246,5.01836,5.19399
MESSAGEix-Buildings,SSP4,R12_SAS,Energy Service|Residential|Floor Space,bn m2,29.27132,32.51379,35.86217,39.31244,42.7756,46.31107
MESSAGEix-Buildings,SSP4,R12_WEU,Energy Service|Residential|Floor Space,bn m2,20.63252,20.65707,20.65226,20.61566,20.57264,20.50962
MESSAGEix-Buildings,SSP4,R12_AFR,Energy Service|Residential|Slum|Floor Space,bn m2,2.42058,2.34552,2.39654,2.42987,2.44059,2.38645
MESSAGEix-Buildings,SSP4,R12_AFR,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.80388,1.122,1.43932,1.84207,2.32047,2.85953
MESSAGEix-Buildings,SSP4,R12_AFR,Energy Service|Residential|Single-family|Floor Space,bn m2,12.70016,15.97514,19.19681,23.06979,27.46347,32.25313
MESSAGEix-Buildings,SSP4,R12_CHN,Energy Service|Residential|Slum|Floor Space,bn m2,3.99149,3.62245,2.94069,2.6984,2.49957,2.34789
MESSAGEix-Buildings,SSP4,R12_CHN,Energy Service|Residential|Multi-family|Floor Space,bn m2,38.83473,40.15543,41.35336,41.70225,41.60495,41.03728
MESSAGEix-Buildings,SSP4,R12_CHN,Energy Service|Residential|Single-family|Floor Space,bn m2,12.96139,11.84842,10.91666,10.04435,9.26321,8.54312
MESSAGEix-Buildings,SSP4,R12_EEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.40692,1.46359,1.50381,1.5304,1.54783,1.55794
MESSAGEix-Buildings,SSP4,R12_EEU,Energy Service|Residential|Single-family|Floor Space,bn m2,1.80061,1.70745,1.62376,1.5491,1.48444,1.42825
MESSAGEix-Buildings,SSP4,R12_FSU,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.29034,3.57832,3.84946,4.11105,4.36659,4.61302
MESSAGEix-Buildings,SSP4,R12_FSU,Energy Service|Residential|Single-family|Floor Space,bn m2,3.13711,3.14575,3.15759,3.17766,3.20561,3.23776
MESSAGEix-Buildings,SSP4,R12_LAM,Energy Service|Residential|Slum|Floor Space,bn m2,1.42253,1.41145,1.39751,1.37842,1.35059,1.31236
MESSAGEix-Buildings,SSP4,R12_LAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.64572,0.72598,0.80765,0.89153,0.97353,1.05661
MESSAGEix-Buildings,SSP4,R12_LAM,Energy Service|Residential|Single-family|Floor Space,bn m2,10.28528,11.20101,12.1409,13.11359,14.06328,15.03165
MESSAGEix-Buildings,SSP4,R12_MEA,Energy Service|Residential|Slum|Floor Space,bn m2,1.1016,1.08252,1.06099,1.04164,1.00167,0.97606
MESSAGEix-Buildings,SSP4,R12_MEA,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.88095,1.02516,1.17638,1.34374,1.50747,1.68771
MESSAGEix-Buildings,SSP4,R12_MEA,Energy Service|Residential|Single-family|Floor Space,bn m2,8.1133400000000009,9.16076,10.2703,11.46225,12.6154,13.88211
MESSAGEix-Buildings,SSP4,R12_NAM,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.20821,3.32209,3.40811,3.46872,3.51295,3.5441
MESSAGEix-Buildings,SSP4,R12_NAM,Energy Service|Residential|Single-family|Floor Space,bn m2,21.40779,21.59466,21.74728,21.83087,21.87518,21.88329
MESSAGEix-Buildings,SSP4,R12_PAO,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.47739,1.48513,1.48574,1.47993,1.47098,1.46051
MESSAGEix-Buildings,SSP4,R12_PAO,Energy Service|Residential|Single-family|Floor Space,bn m2,5.03073,5.00946,4.96646,4.90462,4.83541,4.76432
MESSAGEix-Buildings,SSP4,R12_PAS,Energy Service|Residential|Slum|Floor Space,bn m2,0.90632,0.8767,0.84167,0.80591,0.7709,0.73043
MESSAGEix-Buildings,SSP4,R12_PAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.70393,1.8716,2.04446,2.22013,2.39429,2.56808
MESSAGEix-Buildings,SSP4,R12_PAS,Energy Service|Residential|Single-family|Floor Space,bn m2,9.47287,10.18895,10.9265,11.67639,12.41913,13.16349
MESSAGEix-Buildings,SSP4,R12_RCPA,Energy Service|Residential|Slum|Floor Space,bn m2,0.33716,0.31954,0.29902,0.27867,0.2605,0.24544
MESSAGEix-Buildings,SSP4,R12_RCPA,Energy Service|Residential|Multi-family|Floor Space,bn m2,2.71297,2.92133,3.13175,3.34951,3.56945,3.79363
MESSAGEix-Buildings,SSP4,R12_RCPA,Energy Service|Residential|Single-family|Floor Space,bn m2,1.31839,1.29232,1.25913,1.22427,1.18841,1.15492
MESSAGEix-Buildings,SSP4,R12_SAS,Energy Service|Residential|Slum|Floor Space,bn m2,2.04185,2.11345,2.15931,2.18314,2.18765,2.17697
MESSAGEix-Buildings,SSP4,R12_SAS,Energy Service|Residential|Multi-family|Floor Space,bn m2,3.3109,4.10155,4.99911,5.99378,7.05731,8.18233
MESSAGEix-Buildings,SSP4,R12_SAS,Energy Service|Residential|Single-family|Floor Space,bn m2,23.91857,26.29878,28.70376,31.13553,33.53064,35.95177
MESSAGEix-Buildings,SSP4,R12_WEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,6.60227,6.84971,7.04322,7.18984,7.30483,7.38882
MESSAGEix-Buildings,SSP4,R12_WEU,Energy Service|Residential|Single-family|Floor Space,bn m2,14.03025,13.80736,13.60904,13.42582,13.26781,13.12081
