mat,ssp,scenario,fuel_heat_i,fuel_heat_f,swt_ren,swt_exst
perm,nsp,nsp,biomass_solid,biomass_solid,0,0
perm,nsp,nsp,biomass_solid,electricity,1,1
perm,nsp,nsp,coal,coal,0,0
perm,nsp,nsp,coal,electricity,1,1
perm,nsp,nsp,electricity,electricity,1,1
perm,nsp,nsp,gas,gas,0,0
perm,nsp,nsp,gas,electricity,1,1
perm,nsp,nsp,oil,oil,0,0
perm,nsp,nsp,oil,electricity,1,1
sub,nsp,nsp,electricity,electricity,0,0
