region_bld,clim,urt,arch,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s1,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s2,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s3,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s51_std,85.35658307
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,s52_low,38.12468591
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr11_std,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr12_low,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr21_std,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr22_low,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr31_std,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,rur,comm,sr32_low,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s1,196.3847977
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s2,187.6672935
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s3,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s51_std,85.51459929
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,s52_low,38.13822199
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr11_std,196.3847977
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr12_low,196.3847977
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr21_std,187.6672935
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr22_low,187.6672935
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr31_std,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,urb,comm,sr32_low,116.8155221
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s1,243.505392
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s2,232.8737997
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s3,144.9558566
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s51_std,106.4316991
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,s52_low,47.82274152
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr11_std,243.505392
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr12_low,243.505392
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr21_std,232.8737997
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr22_low,232.8737997
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr31_std,144.9558566
C-EEU-BGR,Zone_5A Cool Humid,rur,comm,sr32_low,144.9558566
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s1,236.6463323
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s2,226.2902798
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s3,140.8227256
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s51_std,103.3361457
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,s52_low,46.31921552
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr11_std,236.6463323
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr12_low,236.6463323
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr21_std,226.2902798
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr22_low,226.2902798
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr31_std,140.8227256
C-EEU-BGR,Zone_5A Cool Humid,urb,comm,sr32_low,140.8227256
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s1,263.0674075
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s2,251.4028444
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s3,158.2012777
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s51_std,117.2273711
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,s52_low,55.41501773
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr11_std,263.0674075
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr12_low,263.0674075
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr21_std,251.4028444
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr22_low,251.4028444
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr31_std,158.2012777
C-EEU-CZE,Zone_5A Cool Humid,rur,comm,sr32_low,158.2012777
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s1,259.8929919
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s2,248.3638034
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s3,156.3322958
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s51_std,115.8856686
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,s52_low,54.8728658
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr11_std,259.8929919
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr12_low,259.8929919
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr21_std,248.3638034
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr22_low,248.3638034
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr31_std,156.3322958
C-EEU-CZE,Zone_5A Cool Humid,urb,comm,sr32_low,156.3322958
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s1,319.7253082
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s2,305.370614
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s3,192.7616445
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s51_std,143.5852337
C-EEU-EST,Zone_6A Cold Humid,rur,comm,s52_low,69.5722001
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr11_std,319.7253082
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr12_low,319.7253082
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr21_std,305.370614
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr22_low,305.370614
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr31_std,192.7616445
C-EEU-EST,Zone_6A Cold Humid,rur,comm,sr32_low,192.7616445
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s1,321.0360351
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s2,306.6247737
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s3,193.5774773
