region_bld,region_gea,urt,clim,mat,arch,inc_cl,year,yr_con,bld_age,value
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1985,p2,519654.1030878786
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1990,p2,805880.2349202147
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1995,p3,1331332.3473291742
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2000,p3,1160197.2054092558
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2005,p3,1094929.411119079
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2010,p3,1394148.4637232115
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,35392488.44355967
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,13399403.199980134
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1965,p2,4265415.31444064
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1970,p2,3947867.390839283
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1975,p2,7977651.799213234
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1980,p2,8551179.149799814
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1985,p2,1576848.7060075058
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1990,p2,970795.2027701675
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1995,p3,668998.238930443
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2005,p3,611073.2166612542
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2010,p3,3508277.3022580575
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2015,p3,5772719.41503572
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2020,p3,5772719.41503572
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1945,p1,3849045.3392991787
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1960,p2,333164.80803352455
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1985,p2,105161.9683511447
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1990,p2,179376.39738139077
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,2005,p3,20499.120966496834
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,2010,p3,76427.80498659992
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1945,p1,3918083.3794750455
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1960,p2,1514350.6854276354
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1965,p2,934824.5524101787
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1970,p2,970191.4837022596
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1975,p2,863247.751774838
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1980,p2,666751.5319539581
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1985,p2,622155.9749843756
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1990,p2,464643.6069284932
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,2010,p3,137279.5487704457
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,2015,p3,381309.2373352172
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,2020,p3,381309.2373352172
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,perm,comm,ns,2020,1945,p1,2146131.2131478623
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,perm,comm,ns,2020,1960,p2,349549.8048757745
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,perm,comm,ns,2020,1965,p2,40139.16152287688
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,perm,comm,ns,2020,1975,p2,35124.343084968226
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,perm,comm,ns,2020,1980,p2,36149.398287685915
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,perm,comm,ns,2020,1985,p2,74544.10852548773
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,perm,comm,ns,2020,1990,p2,83961.50568353805
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1945,p1,6531842.15213208
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1960,p2,1063869.7838127837
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1965,p2,122165.25512213503
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1975,p2,106902.44069771956
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1980,p2,110022.2400408422
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1985,p2,226878.18307267156
