region_gea,urt,arch,mat
AFR,rur,comm,perm
AFR,urb,comm,perm
CPA,rur,comm,perm
CPA,urb,comm,perm
EEU,rur,comm,perm
EEU,urb,comm,perm
FSU,rur,comm,perm
FSU,urb,comm,perm
LAC,rur,comm,perm
LAC,urb,comm,perm
MEA,rur,comm,perm
MEA,urb,comm,perm
NAM,rur,comm,perm
NAM,urb,comm,perm
PAO,rur,comm,perm
PAO,urb,comm,perm
PAS,rur,comm,perm
PAS,urb,comm,perm
SAS,rur,comm,perm
SAS,urb,comm,perm
WEU,rur,comm,perm
WEU,urb,comm,perm
