mat,eneff_i,eneff_f
perm,s1,s1
perm,s1,sr11_std
perm,s1,sr12_low
perm,s2,s2
perm,s2,sr21_std
perm,s2,sr22_low
perm,s3,s3
perm,s3,sr31_std
perm,s3,sr32_low
