region_bld,year,urt,value
C-EEU-HRV,2065,urb,0.7382699999999999
C-EEU-HRV,2070,rur,0.24905
C-EEU-HRV,2070,urb,0.75095
C-EEU-HRV,2075,rur,0.2372
C-EEU-HRV,2075,urb,0.7628
C-EEU-HRV,2080,rur,0.22609999999999997
C-EEU-HRV,2080,urb,0.7739
C-EEU-HRV,2085,rur,0.21572000000000002
C-EEU-HRV,2085,urb,0.78428
C-EEU-HRV,2090,rur,0.20597999999999997
C-EEU-HRV,2090,urb,0.7940200000000001
C-EEU-HRV,2095,rur,0.19684000000000001
C-EEU-HRV,2095,urb,0.80316
C-EEU-HRV,2100,rur,0.18825999999999998
C-EEU-HRV,2100,urb,0.81174
C-EEU-HUN,2020,rur,0.2809999999999999
C-EEU-HUN,2020,urb,0.7190000000000001
C-EEU-HUN,2025,rur,0.26164
C-EEU-HUN,2025,urb,0.73836
C-EEU-HUN,2030,rur,0.24364000000000005
C-EEU-HUN,2030,urb,0.7563599999999999
C-EEU-HUN,2035,rur,0.22691000000000006
C-EEU-HUN,2035,urb,0.7730899999999999
C-EEU-HUN,2040,rur,0.21137000000000006
C-EEU-HUN,2040,urb,0.7886299999999999
C-EEU-HUN,2045,rur,0.19694999999999996
C-EEU-HUN,2045,urb,0.80305
C-EEU-HUN,2050,rur,0.18357
C-EEU-HUN,2050,urb,0.81643
C-EEU-HUN,2055,rur,0.1711499999999999
C-EEU-HUN,2055,urb,0.8288500000000001
C-EEU-HUN,2060,rur,0.15962999999999994
C-EEU-HUN,2060,urb,0.8403700000000001
C-EEU-HUN,2065,rur,0.14893
C-EEU-HUN,2065,urb,0.85107
C-EEU-HUN,2070,rur,0.139
C-EEU-HUN,2070,urb,0.861
C-EEU-HUN,2075,rur,0.12978999999999996
C-EEU-HUN,2075,urb,0.87021
C-EEU-HUN,2080,rur,0.12122
C-EEU-HUN,2080,urb,0.87878
C-EEU-HUN,2085,rur,0.11325999999999992
C-EEU-HUN,2085,urb,0.8867400000000001
C-EEU-HUN,2090,rur,0.10585999999999995
C-EEU-HUN,2090,urb,0.89414
C-EEU-HUN,2095,rur,0.09897000000000002
C-EEU-HUN,2095,urb,0.90103
C-EEU-HUN,2100,rur,0.09257000000000004
C-EEU-HUN,2100,urb,0.90743
C-EEU-LTU,2020,rur,0.31999999999999995
C-EEU-LTU,2020,urb,0.68
C-EEU-LTU,2025,rur,0.30298
C-EEU-LTU,2025,urb,0.69702
C-EEU-LTU,2030,rur,0.28657
C-EEU-LTU,2030,urb,0.71343
C-EEU-LTU,2035,rur,0.27079999999999993
C-EEU-LTU,2035,urb,0.7292000000000001
C-EEU-LTU,2040,rur,0.25566
C-EEU-LTU,2040,urb,0.74434
C-EEU-LTU,2045,rur,0.24116999999999997
C-EEU-LTU,2045,urb,0.75883
C-EEU-LTU,2050,rur,0.2273099999999999
C-EEU-LTU,2050,urb,0.7726900000000001
C-EEU-LTU,2055,rur,0.2140900000000001
C-EEU-LTU,2055,urb,0.7859099999999999
C-EEU-LTU,2060,rur,0.20149000000000006
C-EEU-LTU,2060,urb,0.7985099999999999
C-EEU-LTU,2065,rur,0.18950999999999996
C-EEU-LTU,2065,urb,0.8104899999999999
C-EEU-LTU,2070,rur,0.17813000000000004
C-EEU-LTU,2070,urb,0.82187
C-EEU-LTU,2075,rur,0.1673300000000001
C-EEU-LTU,2075,urb,0.8326699999999999
C-EEU-LTU,2080,rur,0.15710999999999997
C-EEU-LTU,2080,urb,0.84289
C-EEU-LTU,2085,rur,0.14742999999999995
C-EEU-LTU,2085,urb,0.85257
C-EEU-LTU,2090,rur,0.13828000000000007
C-EEU-LTU,2090,urb,0.8617199999999999
C-EEU-LTU,2095,rur,0.12963999999999998
C-EEU-LTU,2095,urb,0.87036
C-EEU-LTU,2100,rur,0.12147999999999992
C-EEU-LTU,2100,urb,0.8785200000000001
C-EEU-LVA,2020,rur,0.31700000000000006
C-EEU-LVA,2020,urb,0.6829999999999999
C-EEU-LVA,2025,rur,0.29998
C-EEU-LVA,2025,urb,0.70002
C-EEU-LVA,2030,rur,0.2835500000000001
C-EEU-LVA,2030,urb,0.7164499999999999
C-EEU-LVA,2035,rur,0.26771
C-EEU-LVA,2035,urb,0.73229
C-EEU-LVA,2040,rur,0.25249
C-EEU-LVA,2040,urb,0.74751
C-EEU-LVA,2045,rur,0.23789000000000005
C-EEU-LVA,2045,urb,0.76211
C-EEU-LVA,2050,rur,0.22391000000000005
C-EEU-LVA,2050,urb,0.77609
C-EEU-LVA,2055,rur,0.21055999999999994
C-EEU-LVA,2055,urb,0.78944
C-EEU-LVA,2060,rur,0.19783000000000006
C-EEU-LVA,2060,urb,0.8021699999999999
C-EEU-LVA,2065,rur,0.18572
C-EEU-LVA,2065,urb,0.8142800000000001
C-EEU-LVA,2070,rur,0.1742100000000001
C-EEU-LVA,2070,urb,0.8257899999999998
C-EEU-LVA,2075,rur,0.1633
C-EEU-LVA,2075,urb,0.8367
C-EEU-LVA,2080,rur,0.1529600000000001
C-EEU-LVA,2080,urb,0.8470399999999999
C-EEU-LVA,2085,rur,0.14317999999999997
C-EEU-LVA,2085,urb,0.8568200000000001
C-EEU-LVA,2090,rur,0.13394000000000006
C-EEU-LVA,2090,urb,0.8660599999999999
C-EEU-LVA,2095,rur,0.1252200000000001
C-EEU-LVA,2095,urb,0.8747799999999999
