region_bld,year,value
C-EEU-BGR,2020,7.02023900000001
C-EEU-BGR,2025,6.69116100000001
C-EEU-BGR,2030,6.448279
C-EEU-BGR,2035,6.220115
C-EEU-BGR,2040,6.014047
C-EEU-BGR,2045,5.825379
C-EEU-BGR,2050,5.659495
C-EEU-BGR,2055,5.511575
C-EEU-BGR,2060,5.37921800000001
C-EEU-BGR,2065,5.260733
C-EEU-BGR,2070,5.162129
C-EEU-BGR,2075,5.090092999999999
C-EEU-BGR,2080,5.047566
C-EEU-BGR,2085,5.033421000000001
C-EEU-BGR,2090,5.04121900000001
C-EEU-BGR,2095,5.059982
C-EEU-BGR,2100,5.081601
C-EEU-CZE,2020,10.537908
C-EEU-CZE,2025,10.834965
C-EEU-CZE,2030,10.678903
C-EEU-CZE,2035,10.506672
C-EEU-CZE,2040,10.365358
C-EEU-CZE,2045,10.26579
C-EEU-CZE,2050,10.202997
C-EEU-CZE,2055,10.153909
C-EEU-CZE,2060,10.096749
C-EEU-CZE,2065,10.01925
C-EEU-CZE,2070,9.95022700000001
C-EEU-CZE,2075,9.926098
C-EEU-CZE,2080,9.960473
C-EEU-CZE,2085,10.043315000000002
C-EEU-CZE,2090,10.157727999999999
C-EEU-CZE,2095,10.284791
C-EEU-CZE,2100,10.408172
C-EEU-EST,2020,1.329091
C-EEU-EST,2025,1.3506420000000001
C-EEU-EST,2030,1.31796
C-EEU-EST,2035,1.289216
C-EEU-EST,2040,1.267131
C-EEU-EST,2045,1.250022999999999
C-EEU-EST,2050,1.236276
C-EEU-EST,2055,1.223548
C-EEU-EST,2060,1.211619
C-EEU-EST,2065,1.200844
C-EEU-EST,2070,1.192572
C-EEU-EST,2075,1.187876
C-EEU-EST,2080,1.187202
C-EEU-EST,2085,1.190464999999999
C-EEU-EST,2090,1.196828
C-EEU-EST,2095,1.20481
C-EEU-EST,2100,1.213007
C-EEU-HRV,2020,4.114644
C-EEU-HRV,2025,4.002209
C-EEU-HRV,2030,3.889396
C-EEU-HRV,2035,3.782988
C-EEU-HRV,2040,3.681933
C-EEU-HRV,2045,3.584482
C-EEU-HRV,2050,3.495416999999999
C-EEU-HRV,2055,3.418171
C-EEU-HRV,2060,3.3555960000000002
C-EEU-HRV,2065,3.305123
C-EEU-HRV,2070,3.264734
C-EEU-HRV,2075,3.23347
C-EEU-HRV,2080,3.211826
C-EEU-HRV,2085,3.200192
C-EEU-HRV,2090,3.198064
C-EEU-HRV,2095,3.2036350000000002
C-EEU-HRV,2100,3.21475
C-EEU-HUN,2020,9.77012300000001
C-EEU-HUN,2025,9.574258999999989
