region_gea,year,value
AFR,2020,41.28596359
AFR,2025,45.41455994900001
AFR,2030,46.240279220800005
AFR,2035,47.06599849260001
AFR,2040,47.891717764400006
AFR,2045,48.717437036199996
AFR,2050,49.543156308
AFR,2055,50.3688755798
AFR,2060,51.1945948516
AFR,2070,52.8460333952
AFR,2080,54.4974719388
AFR,2090,56.1489104824
AFR,2100,57.800349026
CPA,2020,8.420305275
CPA,2025,9.2623358025
CPA,2030,9.430741908000002
CPA,2035,9.599148013500002
CPA,2040,9.767554119000001
CPA,2045,9.9359602245
CPA,2050,10.10436633
CPA,2055,10.2727724355
CPA,2060,10.441178541000001
CPA,2070,10.777990752000001
CPA,2080,11.114802962999999
CPA,2090,11.451615173999999
CPA,2100,11.788427385
EEU,2020,74.56264525
EEU,2025,82.01890977500001
EEU,2030,83.51016268000001
EEU,2035,85.00141558500002
EEU,2040,86.49266849000001
EEU,2045,87.983921395
EEU,2050,89.4751743
EEU,2055,90.966427205
EEU,2060,92.45768011
EEU,2070,95.44018592
EEU,2080,98.42269173
EEU,2090,101.40519753999999
EEU,2100,104.38770335
FSU,2020,34.66180541
FSU,2025,38.127985951
FSU,2030,38.821222059200004
FSU,2035,39.5144581674
FSU,2040,40.207694275600005
FSU,2045,40.900930383799995
FSU,2050,41.594166492
FSU,2055,42.2874026002
FSU,2060,42.9806387084
FSU,2070,44.3671109248
FSU,2080,45.7535831412
FSU,2090,47.1400553576
FSU,2100,48.526527574
LAC,2020,38.03262195
LAC,2025,41.835884145
LAC,2030,42.596536584000006
LAC,2035,43.357189023000004
LAC,2040,44.117841462
LAC,2045,44.878493901
LAC,2050,45.639146339999996
LAC,2055,46.399798779
LAC,2060,47.160451218
LAC,2070,48.681756096
LAC,2080,50.203060973999996
LAC,2090,51.72436585199999
LAC,2100,53.24567072999999
MEA,2020,4.397524813
MEA,2025,4.837277294300001
MEA,2030,4.925227790560001
MEA,2035,5.013178286820001
MEA,2040,5.101128783080001
MEA,2045,5.1890792793400005
MEA,2050,5.2770297756
MEA,2055,5.36498027186
MEA,2060,5.452930768120001
MEA,2070,5.628831760640001
MEA,2080,5.80473275316
MEA,2090,5.98063374568
MEA,2100,6.1565347382
NAM,2020,5.203229536
NAM,2025,5.723552489600001
NAM,2030,5.8276170803200005
NAM,2035,5.931681671040001
NAM,2040,6.035746261760001
NAM,2045,6.13981085248
NAM,2050,6.2438754432
NAM,2055,6.3479400339200005
NAM,2060,6.452004624640001
NAM,2070,6.66013380608
NAM,2080,6.86826298752
NAM,2090,7.07639216896
NAM,2100,7.2845213503999995
PAO,2020,10.97022105
PAO,2025,12.067243155
PAO,2030,12.286647576
PAO,2035,12.506051997
PAO,2040,12.725456418
PAO,2045,12.944860838999999
PAO,2050,13.164265259999999
PAO,2055,13.383669680999999
PAO,2060,13.603074101999999
PAO,2070,14.041882944
PAO,2080,14.480691785999998
PAO,2090,14.919500627999998
PAO,2100,15.358309469999998
PAS,2020,17.92624515
PAS,2025,19.718869665
PAS,2030,20.077394568000003
PAS,2035,20.435919471000002
PAS,2040,20.794444374
PAS,2045,21.152969276999997
PAS,2050,21.51149418
PAS,2055,21.870019083
PAS,2060,22.228543986
PAS,2070,22.945593792
PAS,2080,23.662643597999995
PAS,2090,24.379693403999998
PAS,2100,25.09674321
SAS,2020,17.92624515
SAS,2025,19.718869665
SAS,2030,20.077394568000003
SAS,2035,20.435919471000002
SAS,2040,20.794444374
SAS,2045,21.152969276999997
SAS,2050,21.51149418
SAS,2055,21.870019083
SAS,2060,22.228543986
SAS,2070,22.945593792
SAS,2080,23.662643597999995
SAS,2090,24.379693403999998
SAS,2100,25.09674321
WEU,2020,18.77875278
WEU,2025,20.656628058000003
WEU,2030,21.032203113600005
WEU,2035,21.407778169200004
WEU,2040,21.783353224800003
WEU,2045,22.1589282804
WEU,2050,22.534503336
WEU,2055,22.910078391600003
WEU,2060,23.2856534472
WEU,2070,24.036803558400003
WEU,2080,24.7879536696
WEU,2090,25.539103780799998
WEU,2100,26.290253892
