region_bld,region_gea,urt,arch,material,year,value
C-EEU-BGR,EEU,rur,comm,aluminum,2020,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2025,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2030,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2035,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2040,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2045,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2050,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2055,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2060,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2065,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2070,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2075,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2080,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2085,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2090,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2095,0.49
C-EEU-BGR,EEU,rur,comm,aluminum,2100,0.49
C-EEU-BGR,EEU,rur,comm,brick,2020,148.4681853888453
C-EEU-BGR,EEU,rur,comm,brick,2025,148.4681853888453
C-EEU-BGR,EEU,rur,comm,brick,2030,143.86783974862536
C-EEU-BGR,EEU,rur,comm,brick,2035,132.8977847604085
C-EEU-BGR,EEU,rur,comm,brick,2040,119.80449332285941
C-EEU-BGR,EEU,rur,comm,brick,2045,108.83443833464261
C-EEU-BGR,EEU,rur,comm,brick,2050,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2055,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2060,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2065,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2070,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2075,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2080,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2085,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2090,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2095,104.23409269442266
C-EEU-BGR,EEU,rur,comm,brick,2100,104.23409269442266
C-EEU-BGR,EEU,rur,comm,concrete,2020,1062.432851856273
C-EEU-BGR,EEU,rur,comm,concrete,2025,1062.432851856273
C-EEU-BGR,EEU,rur,comm,concrete,2030,1012.8387435597467
C-EEU-BGR,EEU,rur,comm,concrete,2035,894.5758699295689
C-EEU-BGR,EEU,rur,comm,concrete,2040,753.4234078548404
C-EEU-BGR,EEU,rur,comm,concrete,2045,635.1605342246626
C-EEU-BGR,EEU,rur,comm,concrete,2050,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2055,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2060,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2065,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2070,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2075,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2080,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2085,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2090,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2095,585.5664259281365
C-EEU-BGR,EEU,rur,comm,concrete,2100,585.5664259281365
C-EEU-BGR,EEU,rur,comm,copper,2020,0.182895495
C-EEU-BGR,EEU,rur,comm,copper,2025,0.182895495
