region_gea,value
AFR,2.067704273
CPA,4.791651183
EEU,15.42179193
FSU,5.636148204
LAC,5.858925419
MEA,2.548585497
NAM,4.9921657
PAO,10.27086953
PAS,12.78366802
SAS,2.111890947
WEU,8.443866197
