region_bld,region_gea,urt,arch,material,value
C-EEU-BGR,EEU,rur,comm,aluminum,0.49
C-EEU-BGR,EEU,rur,comm,brick,148.4681853888453
C-EEU-BGR,EEU,rur,comm,concrete,1062.432851856273
C-EEU-BGR,EEU,rur,comm,copper,0.182895495
C-EEU-BGR,EEU,rur,comm,glass,2.57
C-EEU-BGR,EEU,rur,comm,steel,47
C-EEU-BGR,EEU,rur,comm,wood,25.66551271338188
C-EEU-BGR,EEU,urb,comm,aluminum,0.49
C-EEU-BGR,EEU,urb,comm,brick,148.4681853888453
C-EEU-BGR,EEU,urb,comm,concrete,1062.432851856273
C-EEU-BGR,EEU,urb,comm,copper,0.182895495
C-EEU-BGR,EEU,urb,comm,glass,2.57
C-EEU-BGR,EEU,urb,comm,steel,47
C-EEU-BGR,EEU,urb,comm,wood,25.66551271338188
C-EEU-CZE,EEU,rur,comm,aluminum,0.49
C-EEU-CZE,EEU,rur,comm,brick,148.4681853888453
C-EEU-CZE,EEU,rur,comm,concrete,1062.432851856273
C-EEU-CZE,EEU,rur,comm,copper,0.182895495
C-EEU-CZE,EEU,rur,comm,glass,2.57
C-EEU-CZE,EEU,rur,comm,steel,47
C-EEU-CZE,EEU,rur,comm,wood,25.66551271338188
C-EEU-CZE,EEU,urb,comm,aluminum,0.49
C-EEU-CZE,EEU,urb,comm,brick,148.4681853888453
C-EEU-CZE,EEU,urb,comm,concrete,1062.432851856273
C-EEU-CZE,EEU,urb,comm,copper,0.182895495
C-EEU-CZE,EEU,urb,comm,glass,2.57
C-EEU-CZE,EEU,urb,comm,steel,47
C-EEU-CZE,EEU,urb,comm,wood,25.66551271338188
C-EEU-EST,EEU,rur,comm,aluminum,0.49
C-EEU-EST,EEU,rur,comm,brick,148.4681853888453
C-EEU-EST,EEU,rur,comm,concrete,1062.432851856273
C-EEU-EST,EEU,rur,comm,copper,0.182895495
C-EEU-EST,EEU,rur,comm,glass,2.57
C-EEU-EST,EEU,rur,comm,steel,47
C-EEU-EST,EEU,rur,comm,wood,25.66551271338188
C-EEU-EST,EEU,urb,comm,aluminum,0.49
C-EEU-EST,EEU,urb,comm,brick,148.4681853888453
C-EEU-EST,EEU,urb,comm,concrete,1062.432851856273
C-EEU-EST,EEU,urb,comm,copper,0.182895495
C-EEU-EST,EEU,urb,comm,glass,2.57
C-EEU-EST,EEU,urb,comm,steel,47
C-EEU-EST,EEU,urb,comm,wood,25.66551271338188
C-EEU-HRV,EEU,rur,comm,aluminum,0.49
C-EEU-HRV,EEU,rur,comm,brick,148.4681853888453
C-EEU-HRV,EEU,rur,comm,concrete,1062.432851856273
C-EEU-HRV,EEU,rur,comm,copper,0.182895495
C-EEU-HRV,EEU,rur,comm,glass,2.57
C-EEU-HRV,EEU,rur,comm,steel,47
C-EEU-HRV,EEU,rur,comm,wood,25.66551271338188
C-EEU-HRV,EEU,urb,comm,aluminum,0.49
C-EEU-HRV,EEU,urb,comm,brick,148.4681853888453
C-EEU-HRV,EEU,urb,comm,concrete,1062.432851856273
C-EEU-HRV,EEU,urb,comm,copper,0.182895495
C-EEU-HRV,EEU,urb,comm,glass,2.57
C-EEU-HRV,EEU,urb,comm,steel,47
C-EEU-HRV,EEU,urb,comm,wood,25.66551271338188
C-EEU-HUN,EEU,rur,comm,aluminum,0.49
C-EEU-HUN,EEU,rur,comm,brick,148.4681853888453
C-EEU-HUN,EEU,rur,comm,concrete,1062.432851856273
C-EEU-HUN,EEU,rur,comm,copper,0.182895495
C-EEU-HUN,EEU,rur,comm,glass,2.57
C-EEU-HUN,EEU,rur,comm,steel,47
C-EEU-HUN,EEU,rur,comm,wood,25.66551271338188
C-EEU-HUN,EEU,urb,comm,aluminum,0.49
C-EEU-HUN,EEU,urb,comm,brick,148.4681853888453
C-EEU-HUN,EEU,urb,comm,concrete,1062.432851856273
C-EEU-HUN,EEU,urb,comm,copper,0.182895495
C-EEU-HUN,EEU,urb,comm,glass,2.57
C-EEU-HUN,EEU,urb,comm,steel,47
C-EEU-HUN,EEU,urb,comm,wood,25.66551271338188
C-EEU-LTU,EEU,rur,comm,aluminum,0.49
C-EEU-LTU,EEU,rur,comm,brick,148.4681853888453
C-EEU-LTU,EEU,rur,comm,concrete,1062.432851856273
C-EEU-LTU,EEU,rur,comm,copper,0.182895495
C-EEU-LTU,EEU,rur,comm,glass,2.57
C-EEU-LTU,EEU,rur,comm,steel,47
C-EEU-LTU,EEU,rur,comm,wood,25.66551271338188
C-EEU-LTU,EEU,urb,comm,aluminum,0.49
C-EEU-LTU,EEU,urb,comm,brick,148.4681853888453
C-EEU-LTU,EEU,urb,comm,concrete,1062.432851856273
C-EEU-LTU,EEU,urb,comm,copper,0.182895495
