mat,fuel_heat,fuel_cool,res_solar,mod_decision
perm,biomass_solid,electricity,0,1
perm,coal,electricity,0,1
perm,district_heat,electricity,0,0
perm,electricity,electricity,0,1
perm,electricity,electricity,1,1
perm,gas,electricity,0,1
perm,gas,electricity,1,1
perm,oil,electricity,0,1
