urt,mat,arch,year,value
rur,perm,comm,2015,1
rur,perm,comm,2020,1
rur,perm,comm,2025,1
rur,perm,comm,2030,1
rur,perm,comm,2035,1
rur,perm,comm,2040,1
rur,perm,comm,2045,1
rur,perm,comm,2050,1
rur,perm,comm,2055,1
rur,perm,comm,2060,1
rur,perm,comm,2065,1
rur,perm,comm,2070,1
rur,perm,comm,2075,1
rur,perm,comm,2080,1
rur,perm,comm,2085,1
rur,perm,comm,2090,1
rur,perm,comm,2095,1
rur,perm,comm,2100,1
urb,perm,comm,2015,1
urb,perm,comm,2020,1
urb,perm,comm,2025,1
urb,perm,comm,2030,1
urb,perm,comm,2035,1
urb,perm,comm,2040,1
urb,perm,comm,2045,1
urb,perm,comm,2050,1
urb,perm,comm,2055,1
urb,perm,comm,2060,1
urb,perm,comm,2065,1
urb,perm,comm,2070,1
urb,perm,comm,2075,1
urb,perm,comm,2080,1
urb,perm,comm,2085,1
urb,perm,comm,2090,1
urb,perm,comm,2095,1
urb,perm,comm,2100,1
