region_gea,mat,arch,bld_age,year,parameter,value
AFR,perm,comm,p5,2060,shape,1.97
AFR,perm,comm,p5,2065,scale,127.946
AFR,perm,comm,p5,2065,shape,1.97
AFR,perm,comm,p5,2070,scale,127.946
AFR,perm,comm,p5,2070,shape,1.97
AFR,perm,comm,p5,2075,scale,127.946
AFR,perm,comm,p5,2075,shape,1.97
AFR,perm,comm,p5,2080,scale,127.946
AFR,perm,comm,p5,2080,shape,1.97
AFR,perm,comm,p5,2085,scale,127.946
AFR,perm,comm,p5,2085,shape,1.97
AFR,perm,comm,p5,2090,scale,127.946
AFR,perm,comm,p5,2090,shape,1.97
AFR,perm,comm,p5,2095,scale,127.946
AFR,perm,comm,p5,2095,shape,1.97
AFR,perm,comm,p5,2100,scale,127.946
AFR,perm,comm,p5,2100,shape,1.97
CPA,perm,comm,p1,2020,scale,31.03
CPA,perm,comm,p1,2020,shape,2
CPA,perm,comm,p1,2025,scale,31.03
CPA,perm,comm,p1,2025,shape,2
CPA,perm,comm,p1,2030,scale,34.133
CPA,perm,comm,p1,2030,shape,2
CPA,perm,comm,p1,2035,scale,37.236
CPA,perm,comm,p1,2035,shape,2
CPA,perm,comm,p1,2040,scale,40.339000000000006
CPA,perm,comm,p1,2040,shape,2
CPA,perm,comm,p1,2045,scale,43.442
CPA,perm,comm,p1,2045,shape,2
CPA,perm,comm,p1,2050,scale,46.545
CPA,perm,comm,p1,2050,shape,2
CPA,perm,comm,p1,2055,scale,46.545
CPA,perm,comm,p1,2055,shape,2
CPA,perm,comm,p1,2060,scale,46.545
CPA,perm,comm,p1,2060,shape,2
CPA,perm,comm,p1,2065,scale,46.545
CPA,perm,comm,p1,2065,shape,2
CPA,perm,comm,p1,2070,scale,46.545
CPA,perm,comm,p1,2070,shape,2
CPA,perm,comm,p1,2075,scale,46.545
CPA,perm,comm,p1,2075,shape,2
CPA,perm,comm,p1,2080,scale,46.545
CPA,perm,comm,p1,2080,shape,2
CPA,perm,comm,p1,2085,scale,46.545
CPA,perm,comm,p1,2085,shape,2
CPA,perm,comm,p1,2090,scale,46.545
CPA,perm,comm,p1,2090,shape,2
CPA,perm,comm,p1,2095,scale,46.545
CPA,perm,comm,p1,2095,shape,2
CPA,perm,comm,p1,2100,scale,46.545
CPA,perm,comm,p1,2100,shape,2
CPA,perm,comm,p2,2020,scale,31.03
CPA,perm,comm,p2,2020,shape,2
CPA,perm,comm,p2,2025,scale,31.03
CPA,perm,comm,p2,2025,shape,2
CPA,perm,comm,p2,2030,scale,34.133
CPA,perm,comm,p2,2030,shape,2
CPA,perm,comm,p2,2035,scale,37.236
CPA,perm,comm,p2,2035,shape,2
CPA,perm,comm,p2,2040,scale,40.339000000000006
CPA,perm,comm,p2,2040,shape,2
CPA,perm,comm,p2,2045,scale,43.442
CPA,perm,comm,p2,2045,shape,2
CPA,perm,comm,p2,2050,scale,46.545
CPA,perm,comm,p2,2050,shape,2
CPA,perm,comm,p2,2055,scale,46.545
CPA,perm,comm,p2,2055,shape,2
CPA,perm,comm,p2,2060,scale,46.545
CPA,perm,comm,p2,2060,shape,2
CPA,perm,comm,p2,2065,scale,46.545
CPA,perm,comm,p2,2065,shape,2
CPA,perm,comm,p2,2070,scale,46.545
CPA,perm,comm,p2,2070,shape,2
CPA,perm,comm,p2,2075,scale,46.545
CPA,perm,comm,p2,2075,shape,2
CPA,perm,comm,p2,2080,scale,46.545
CPA,perm,comm,p2,2080,shape,2
CPA,perm,comm,p2,2085,scale,46.545
CPA,perm,comm,p2,2085,shape,2
CPA,perm,comm,p2,2090,scale,46.545
CPA,perm,comm,p2,2090,shape,2
CPA,perm,comm,p2,2095,scale,46.545
CPA,perm,comm,p2,2095,shape,2
CPA,perm,comm,p2,2100,scale,46.545
CPA,perm,comm,p2,2100,shape,2
