mat,eneff,fuel_heat,fuel_cool,year,value
perm,s51_std,biomass_solid,electricity,2020,0
perm,s51_std,biomass_solid,electricity,2025,0
perm,s51_std,biomass_solid,electricity,2030,0
perm,s51_std,biomass_solid,electricity,2035,0
perm,s51_std,biomass_solid,electricity,2040,0
perm,s51_std,biomass_solid,electricity,2045,0
perm,s51_std,biomass_solid,electricity,2050,0
perm,s51_std,biomass_solid,electricity,2055,0
perm,s51_std,biomass_solid,electricity,2060,0
perm,s51_std,biomass_solid,electricity,2065,0
perm,s51_std,biomass_solid,electricity,2070,0
perm,s51_std,biomass_solid,electricity,2075,0
perm,s51_std,biomass_solid,electricity,2080,0
perm,s51_std,biomass_solid,electricity,2085,0
perm,s51_std,biomass_solid,electricity,2090,0
perm,s51_std,biomass_solid,electricity,2095,0
perm,s51_std,biomass_solid,electricity,2100,0
perm,s51_std,coal,electricity,2020,0
perm,s51_std,coal,electricity,2025,0
perm,s51_std,coal,electricity,2030,0
perm,s51_std,coal,electricity,2035,0
perm,s51_std,coal,electricity,2040,0
perm,s51_std,coal,electricity,2045,0
perm,s51_std,coal,electricity,2050,0
perm,s51_std,coal,electricity,2055,0
perm,s51_std,coal,electricity,2060,0
perm,s51_std,coal,electricity,2065,0
perm,s51_std,coal,electricity,2070,0
perm,s51_std,coal,electricity,2075,0
perm,s51_std,coal,electricity,2080,0
perm,s51_std,coal,electricity,2085,0
perm,s51_std,coal,electricity,2090,0
perm,s51_std,coal,electricity,2095,0
perm,s51_std,coal,electricity,2100,0
perm,s51_std,district_heat,electricity,2020,0
perm,s51_std,district_heat,electricity,2025,0
perm,s51_std,district_heat,electricity,2030,0
perm,s51_std,district_heat,electricity,2035,0
perm,s51_std,district_heat,electricity,2040,0
perm,s51_std,district_heat,electricity,2045,0
perm,s51_std,district_heat,electricity,2050,0
perm,s51_std,district_heat,electricity,2055,0
perm,s51_std,district_heat,electricity,2060,0
perm,s51_std,district_heat,electricity,2065,0
perm,s51_std,district_heat,electricity,2070,0
perm,s51_std,district_heat,electricity,2075,0
perm,s51_std,district_heat,electricity,2080,0
perm,s51_std,district_heat,electricity,2085,0
perm,s51_std,district_heat,electricity,2090,0
perm,s51_std,district_heat,electricity,2095,0
perm,s51_std,district_heat,electricity,2100,0
perm,s51_std,electricity,electricity,2020,1
perm,s51_std,electricity,electricity,2025,1
perm,s51_std,electricity,electricity,2030,1
perm,s51_std,electricity,electricity,2035,1
perm,s51_std,electricity,electricity,2040,1
perm,s51_std,electricity,electricity,2045,1
perm,s51_std,electricity,electricity,2050,1
perm,s51_std,electricity,electricity,2055,1
perm,s51_std,electricity,electricity,2060,1
perm,s51_std,electricity,electricity,2065,1
perm,s51_std,electricity,electricity,2070,1
perm,s51_std,electricity,electricity,2075,1
perm,s51_std,electricity,electricity,2080,1
perm,s51_std,electricity,electricity,2085,1
perm,s51_std,electricity,electricity,2090,1
perm,s51_std,electricity,electricity,2095,1
perm,s51_std,electricity,electricity,2100,1
perm,s51_std,gas,electricity,2020,0
perm,s51_std,gas,electricity,2025,0
perm,s51_std,gas,electricity,2030,0
perm,s51_std,gas,electricity,2035,0
perm,s51_std,gas,electricity,2040,0
