region_gea,year,value
AFR,2020,0.187553427
AFR,2025,0.2063087697
AFR,2030,0.21005983824000002
AFR,2035,0.21381090678
AFR,2040,0.21756197532000002
AFR,2045,0.22131304385999997
AFR,2050,0.2250641124
AFR,2055,0.22881518094
AFR,2060,0.23256624948
AFR,2070,0.24006838655999999
AFR,2080,0.24757052363999996
AFR,2090,0.25507266071999996
AFR,2100,0.2625747978
CPA,2020,0.79681615
CPA,2025,0.876497765
CPA,2030,0.892434088
CPA,2035,0.908370411
CPA,2040,0.9243067340000001
CPA,2045,0.9402430569999999
CPA,2050,0.9561793799999999
CPA,2055,0.9721157029999999
CPA,2060,0.988052026
CPA,2070,1.019924672
CPA,2080,1.0517973179999998
CPA,2090,1.0836699639999998
CPA,2100,1.1155426099999999
EEU,2020,1.622789573
EEU,2025,1.7850685303
EEU,2030,1.8175243217600001
EEU,2035,1.8499801132200002
EEU,2040,1.88243590468
EEU,2045,1.9148916961399998
EEU,2050,1.9473474875999999
EEU,2055,1.97980327906
EEU,2060,2.01225907052
EEU,2070,2.07717065344
EEU,2080,2.14208223636
EEU,2090,2.2069938192799996
EEU,2100,2.2719054022
FSU,2020,1.499822807
FSU,2025,1.6498050877000001
FSU,2030,1.67980154384
FSU,2035,1.7097979999800001
FSU,2040,1.73979445612
FSU,2045,1.7697909122599997
FSU,2050,1.7997873683999999
FSU,2055,1.8297838245399998
FSU,2060,1.85978028068
FSU,2070,1.91977319296
FSU,2080,1.9797661052399997
FSU,2090,2.0397590175199998
FSU,2100,2.0997519297999996
LAC,2020,1.035280435
LAC,2025,1.1388084785
LAC,2030,1.1595140872
LAC,2035,1.1802196959000002
LAC,2040,1.2009253046000001
LAC,2045,1.2216309132999998
LAC,2050,1.242336522
LAC,2055,1.2630421307
LAC,2060,1.2837477394
LAC,2070,1.3251589568
LAC,2080,1.3665701741999998
LAC,2090,1.4079813916
LAC,2100,1.449392609
MEA,2020,2.034120984
MEA,2025,2.2375330824
MEA,2030,2.27821550208
MEA,2035,2.31889792176
MEA,2040,2.35958034144
MEA,2045,2.4002627611199996
MEA,2050,2.4409451807999996
MEA,2055,2.48162760048
MEA,2060,2.52231002016
MEA,2070,2.60367485952
MEA,2080,2.6850396988799994
MEA,2090,2.7664045382399998
MEA,2100,2.8477693775999997
NAM,2020,1.710919423
NAM,2025,1.8820113653000001
NAM,2030,1.9162297537600002
NAM,2035,1.9504481422200002
NAM,2040,1.9846665306800002
NAM,2045,2.01888491914
NAM,2050,2.0531033076
NAM,2055,2.08732169606
NAM,2060,2.12154008452
NAM,2070,2.18997686144
NAM,2080,2.2584136383599995
NAM,2090,2.3268504152799996
NAM,2100,2.3952871921999996
PAO,2020,1.719696023
PAO,2025,1.8916656253000002
PAO,2030,1.9260595457600003
PAO,2035,1.9604534662200002
PAO,2040,1.9948473866800003
PAO,2045,2.02924130714
PAO,2050,2.0636352276
PAO,2055,2.09802914806
PAO,2060,2.13242306852
PAO,2070,2.20121090944
PAO,2080,2.2699987503599997
PAO,2090,2.33878659128
PAO,2100,2.4075744321999997
PAS,2020,0.175350086
PAS,2025,0.1928850946
PAS,2030,0.19639209632000001
PAS,2035,0.19989909804
PAS,2040,0.20340609976000001
PAS,2045,0.20691310147999997
PAS,2050,0.21042010319999999
PAS,2055,0.21392710491999997
PAS,2060,0.21743410663999999
PAS,2070,0.22444811007999999
PAS,2080,0.23146211351999996
PAS,2090,0.23847611695999996
PAS,2100,0.24549012039999996
SAS,2020,0.175350086
SAS,2025,0.1928850946
SAS,2030,0.19639209632000001
SAS,2035,0.19989909804
SAS,2040,0.20340609976000001
SAS,2045,0.20691310147999997
SAS,2050,0.21042010319999999
SAS,2055,0.21392710491999997
SAS,2060,0.21743410663999999
SAS,2070,0.22444811007999999
SAS,2080,0.23146211351999996
SAS,2090,0.23847611695999996
SAS,2100,0.24549012039999996
WEU,2020,1.536382366
WEU,2025,1.6900206026000002
WEU,2030,1.7207482499200002
WEU,2035,1.7514758972400002
WEU,2040,1.7822035445600002
WEU,2045,1.81293119188
WEU,2050,1.8436588392
WEU,2055,1.87438648652
WEU,2060,1.90511413384
WEU,2070,1.96656942848
WEU,2080,2.0280247231199997
WEU,2090,2.0894800177599997
WEU,2100,2.1509353123999997
