region_gea,mat,arch,bld_age,parameter,year,value
AFR,perm,comm,p1,scale,2020,67.34
AFR,perm,comm,p1,scale,2025,67.34
AFR,perm,comm,p1,scale,2030,72.15
AFR,perm,comm,p1,scale,2035,76.96
AFR,perm,comm,p1,scale,2040,81.77
AFR,perm,comm,p1,scale,2045,86.58
AFR,perm,comm,p1,scale,2050,91.39000000000001
AFR,perm,comm,p1,scale,2055,96.2
AFR,perm,comm,p1,scale,2060,101.01
AFR,perm,comm,p1,scale,2070,101.01
AFR,perm,comm,p1,scale,2080,101.01
AFR,perm,comm,p1,scale,2090,101.01
AFR,perm,comm,p1,scale,2100,101.01
AFR,perm,comm,p1,shape,2020,1.97
AFR,perm,comm,p1,shape,2025,1.97
AFR,perm,comm,p1,shape,2030,1.97
AFR,perm,comm,p1,shape,2035,1.97
AFR,perm,comm,p1,shape,2040,1.97
AFR,perm,comm,p1,shape,2045,1.97
AFR,perm,comm,p1,shape,2050,1.97
AFR,perm,comm,p1,shape,2055,1.97
AFR,perm,comm,p1,shape,2060,1.97
AFR,perm,comm,p1,shape,2070,1.97
AFR,perm,comm,p1,shape,2080,1.97
AFR,perm,comm,p1,shape,2090,1.97
AFR,perm,comm,p1,shape,2100,1.97
AFR,perm,comm,p2,scale,2020,67.34
AFR,perm,comm,p2,scale,2025,67.34
AFR,perm,comm,p2,scale,2030,72.15
AFR,perm,comm,p2,scale,2035,76.96
AFR,perm,comm,p2,scale,2040,81.77
AFR,perm,comm,p2,scale,2045,86.58
AFR,perm,comm,p2,scale,2050,91.39000000000001
AFR,perm,comm,p2,scale,2055,96.2
AFR,perm,comm,p2,scale,2060,101.01
AFR,perm,comm,p2,scale,2070,101.01
AFR,perm,comm,p2,scale,2080,101.01
AFR,perm,comm,p2,scale,2090,101.01
AFR,perm,comm,p2,scale,2100,101.01
AFR,perm,comm,p2,shape,2020,1.97
AFR,perm,comm,p2,shape,2025,1.97
AFR,perm,comm,p2,shape,2030,1.97
AFR,perm,comm,p2,shape,2035,1.97
AFR,perm,comm,p2,shape,2040,1.97
AFR,perm,comm,p2,shape,2045,1.97
AFR,perm,comm,p2,shape,2050,1.97
AFR,perm,comm,p2,shape,2055,1.97
AFR,perm,comm,p2,shape,2060,1.97
AFR,perm,comm,p2,shape,2070,1.97
AFR,perm,comm,p2,shape,2080,1.97
AFR,perm,comm,p2,shape,2090,1.97
AFR,perm,comm,p2,shape,2100,1.97
AFR,perm,comm,p3,scale,2020,67.34
AFR,perm,comm,p3,scale,2025,67.34
AFR,perm,comm,p3,scale,2030,72.15
AFR,perm,comm,p3,scale,2035,76.96
AFR,perm,comm,p3,scale,2040,81.77
AFR,perm,comm,p3,scale,2045,86.58
AFR,perm,comm,p3,scale,2050,91.39000000000001
AFR,perm,comm,p3,scale,2055,96.2
AFR,perm,comm,p3,scale,2060,101.01
AFR,perm,comm,p3,scale,2070,101.01
AFR,perm,comm,p3,scale,2080,101.01
AFR,perm,comm,p3,scale,2090,101.01
AFR,perm,comm,p3,scale,2100,101.01
AFR,perm,comm,p3,shape,2020,1.97
AFR,perm,comm,p3,shape,2025,1.97
AFR,perm,comm,p3,shape,2030,1.97
AFR,perm,comm,p3,shape,2035,1.97
AFR,perm,comm,p3,shape,2040,1.97
AFR,perm,comm,p3,shape,2045,1.97
AFR,perm,comm,p3,shape,2050,1.97
AFR,perm,comm,p3,shape,2055,1.97
AFR,perm,comm,p3,shape,2060,1.97
AFR,perm,comm,p3,shape,2070,1.97
AFR,perm,comm,p3,shape,2080,1.97
AFR,perm,comm,p3,shape,2090,1.97
AFR,perm,comm,p3,shape,2100,1.97
AFR,perm,comm,p5,scale,2020,67.34
AFR,perm,comm,p5,scale,2025,67.34
AFR,perm,comm,p5,scale,2030,75.998
AFR,perm,comm,p5,scale,2035,84.656
AFR,perm,comm,p5,scale,2040,93.31400000000001
AFR,perm,comm,p5,scale,2045,101.97200000000001
AFR,perm,comm,p5,scale,2050,110.63
AFR,perm,comm,p5,scale,2055,119.288
AFR,perm,comm,p5,scale,2060,127.946
AFR,perm,comm,p5,scale,2070,127.946
AFR,perm,comm,p5,scale,2080,127.946
AFR,perm,comm,p5,scale,2090,127.946
AFR,perm,comm,p5,scale,2100,127.946
AFR,perm,comm,p5,shape,2020,1.97
AFR,perm,comm,p5,shape,2025,1.97
AFR,perm,comm,p5,shape,2030,1.97
AFR,perm,comm,p5,shape,2035,1.97
AFR,perm,comm,p5,shape,2040,1.97
AFR,perm,comm,p5,shape,2045,1.97
AFR,perm,comm,p5,shape,2050,1.97
AFR,perm,comm,p5,shape,2055,1.97
AFR,perm,comm,p5,shape,2060,1.97
AFR,perm,comm,p5,shape,2070,1.97
AFR,perm,comm,p5,shape,2080,1.97
AFR,perm,comm,p5,shape,2090,1.97
AFR,perm,comm,p5,shape,2100,1.97
CPA,perm,comm,p1,scale,2020,31.03
CPA,perm,comm,p1,scale,2025,31.03
CPA,perm,comm,p1,scale,2030,33.246428571428574
CPA,perm,comm,p1,scale,2035,35.46285714285714
CPA,perm,comm,p1,scale,2040,37.67928571428571
CPA,perm,comm,p1,scale,2045,39.895714285714284
CPA,perm,comm,p1,scale,2050,42.112142857142864
CPA,perm,comm,p1,scale,2055,44.32857142857143
CPA,perm,comm,p1,scale,2060,46.545
CPA,perm,comm,p1,scale,2070,46.545
CPA,perm,comm,p1,scale,2080,46.545
CPA,perm,comm,p1,scale,2090,46.545
CPA,perm,comm,p1,scale,2100,46.545
CPA,perm,comm,p1,shape,2020,2
CPA,perm,comm,p1,shape,2025,2
CPA,perm,comm,p1,shape,2030,2
CPA,perm,comm,p1,shape,2035,2
CPA,perm,comm,p1,shape,2040,2
CPA,perm,comm,p1,shape,2045,2
CPA,perm,comm,p1,shape,2050,2
CPA,perm,comm,p1,shape,2055,2
CPA,perm,comm,p1,shape,2060,2
CPA,perm,comm,p1,shape,2070,2
CPA,perm,comm,p1,shape,2080,2
CPA,perm,comm,p1,shape,2090,2
CPA,perm,comm,p1,shape,2100,2
CPA,perm,comm,p2,scale,2020,31.03
CPA,perm,comm,p2,scale,2025,31.03
CPA,perm,comm,p2,scale,2030,33.246428571428574
CPA,perm,comm,p2,scale,2035,35.46285714285714
CPA,perm,comm,p2,scale,2040,37.67928571428571
CPA,perm,comm,p2,scale,2045,39.895714285714284
CPA,perm,comm,p2,scale,2050,42.112142857142864
CPA,perm,comm,p2,scale,2055,44.32857142857143
CPA,perm,comm,p2,scale,2060,46.545
CPA,perm,comm,p2,scale,2070,46.545
CPA,perm,comm,p2,scale,2080,46.545
CPA,perm,comm,p2,scale,2090,46.545
CPA,perm,comm,p2,scale,2100,46.545
CPA,perm,comm,p2,shape,2020,2
CPA,perm,comm,p2,shape,2025,2
CPA,perm,comm,p2,shape,2030,2
CPA,perm,comm,p2,shape,2035,2
CPA,perm,comm,p2,shape,2040,2
CPA,perm,comm,p2,shape,2045,2
CPA,perm,comm,p2,shape,2050,2
CPA,perm,comm,p2,shape,2055,2
CPA,perm,comm,p2,shape,2060,2
CPA,perm,comm,p2,shape,2070,2
CPA,perm,comm,p2,shape,2080,2
CPA,perm,comm,p2,shape,2090,2
CPA,perm,comm,p2,shape,2100,2
CPA,perm,comm,p3,scale,2020,31.03
CPA,perm,comm,p3,scale,2025,31.03
CPA,perm,comm,p3,scale,2030,33.246428571428574
CPA,perm,comm,p3,scale,2035,35.46285714285714
CPA,perm,comm,p3,scale,2040,37.67928571428571
CPA,perm,comm,p3,scale,2045,39.895714285714284
CPA,perm,comm,p3,scale,2050,42.112142857142864
CPA,perm,comm,p3,scale,2055,44.32857142857143
CPA,perm,comm,p3,scale,2060,46.545
CPA,perm,comm,p3,scale,2070,46.545
CPA,perm,comm,p3,scale,2080,46.545
CPA,perm,comm,p3,scale,2090,46.545
CPA,perm,comm,p3,scale,2100,46.545
CPA,perm,comm,p3,shape,2020,2
CPA,perm,comm,p3,shape,2025,2
CPA,perm,comm,p3,shape,2030,2
CPA,perm,comm,p3,shape,2035,2
CPA,perm,comm,p3,shape,2040,2
CPA,perm,comm,p3,shape,2045,2
CPA,perm,comm,p3,shape,2050,2
CPA,perm,comm,p3,shape,2055,2
CPA,perm,comm,p3,shape,2060,2
CPA,perm,comm,p3,shape,2070,2
CPA,perm,comm,p3,shape,2080,2
CPA,perm,comm,p3,shape,2090,2
CPA,perm,comm,p3,shape,2100,2
CPA,perm,comm,p5,scale,2020,31.03
CPA,perm,comm,p5,scale,2025,31.03
CPA,perm,comm,p5,scale,2030,35.01957142857143
CPA,perm,comm,p5,scale,2035,39.009142857142855
CPA,perm,comm,p5,scale,2040,42.998714285714286
CPA,perm,comm,p5,scale,2045,46.988285714285716
CPA,perm,comm,p5,scale,2050,50.97785714285714
CPA,perm,comm,p5,scale,2055,54.96742857142857
CPA,perm,comm,p5,scale,2060,58.957
CPA,perm,comm,p5,scale,2070,58.957
CPA,perm,comm,p5,scale,2080,58.957
CPA,perm,comm,p5,scale,2090,58.957
CPA,perm,comm,p5,scale,2100,58.957
CPA,perm,comm,p5,shape,2020,2
CPA,perm,comm,p5,shape,2025,2
CPA,perm,comm,p5,shape,2030,2
CPA,perm,comm,p5,shape,2035,2
CPA,perm,comm,p5,shape,2040,2
CPA,perm,comm,p5,shape,2045,2
CPA,perm,comm,p5,shape,2050,2
CPA,perm,comm,p5,shape,2055,2
CPA,perm,comm,p5,shape,2060,2
CPA,perm,comm,p5,shape,2070,2
CPA,perm,comm,p5,shape,2080,2
CPA,perm,comm,p5,shape,2090,2
CPA,perm,comm,p5,shape,2100,2
EEU,perm,comm,p1,scale,2020,150
EEU,perm,comm,p1,scale,2025,150
EEU,perm,comm,p1,scale,2030,165
EEU,perm,comm,p1,scale,2035,180
EEU,perm,comm,p1,scale,2040,195
EEU,perm,comm,p1,scale,2045,210
EEU,perm,comm,p1,scale,2050,225
EEU,perm,comm,p1,scale,2055,225
EEU,perm,comm,p1,scale,2060,225
EEU,perm,comm,p1,scale,2070,225
EEU,perm,comm,p1,scale,2080,225
EEU,perm,comm,p1,scale,2090,225
EEU,perm,comm,p1,scale,2100,225
EEU,perm,comm,p1,shape,2020,2.5
EEU,perm,comm,p1,shape,2025,2.5
EEU,perm,comm,p1,shape,2030,2.5
EEU,perm,comm,p1,shape,2035,2.5
EEU,perm,comm,p1,shape,2040,2.5
EEU,perm,comm,p1,shape,2045,2.5
EEU,perm,comm,p1,shape,2050,2.5
EEU,perm,comm,p1,shape,2055,2.5
EEU,perm,comm,p1,shape,2060,2.5
EEU,perm,comm,p1,shape,2070,2.5
EEU,perm,comm,p1,shape,2080,2.5
EEU,perm,comm,p1,shape,2090,2.5
EEU,perm,comm,p1,shape,2100,2.5
EEU,perm,comm,p2,scale,2020,53.6
EEU,perm,comm,p2,scale,2025,53.6
EEU,perm,comm,p2,scale,2030,58.96000000000001
EEU,perm,comm,p2,scale,2035,64.32
EEU,perm,comm,p2,scale,2040,69.68
EEU,perm,comm,p2,scale,2045,75.03999999999999
EEU,perm,comm,p2,scale,2050,80.4
EEU,perm,comm,p2,scale,2055,80.4
EEU,perm,comm,p2,scale,2060,80.4
EEU,perm,comm,p2,scale,2070,80.4
EEU,perm,comm,p2,scale,2080,80.4
EEU,perm,comm,p2,scale,2090,80.4
EEU,perm,comm,p2,scale,2100,80.4
EEU,perm,comm,p2,shape,2020,2.5
EEU,perm,comm,p2,shape,2025,2.5
EEU,perm,comm,p2,shape,2030,2.5
EEU,perm,comm,p2,shape,2035,2.5
EEU,perm,comm,p2,shape,2040,2.5
EEU,perm,comm,p2,shape,2045,2.5
EEU,perm,comm,p2,shape,2050,2.5
EEU,perm,comm,p2,shape,2055,2.5
EEU,perm,comm,p2,shape,2060,2.5
EEU,perm,comm,p2,shape,2070,2.5
EEU,perm,comm,p2,shape,2080,2.5
EEU,perm,comm,p2,shape,2090,2.5
EEU,perm,comm,p2,shape,2100,2.5
EEU,perm,comm,p3,scale,2020,53.6
EEU,perm,comm,p3,scale,2025,53.6
EEU,perm,comm,p3,scale,2030,58.96000000000001
EEU,perm,comm,p3,scale,2035,64.32
EEU,perm,comm,p3,scale,2040,69.68
EEU,perm,comm,p3,scale,2045,75.03999999999999
EEU,perm,comm,p3,scale,2050,80.4
EEU,perm,comm,p3,scale,2055,80.4
EEU,perm,comm,p3,scale,2060,80.4
EEU,perm,comm,p3,scale,2070,80.4
EEU,perm,comm,p3,scale,2080,80.4
EEU,perm,comm,p3,scale,2090,80.4
EEU,perm,comm,p3,scale,2100,80.4
EEU,perm,comm,p3,shape,2020,2.5
EEU,perm,comm,p3,shape,2025,2.5
EEU,perm,comm,p3,shape,2030,2.5
EEU,perm,comm,p3,shape,2035,2.5
EEU,perm,comm,p3,shape,2040,2.5
EEU,perm,comm,p3,shape,2045,2.5
EEU,perm,comm,p3,shape,2050,2.5
EEU,perm,comm,p3,shape,2055,2.5
EEU,perm,comm,p3,shape,2060,2.5
EEU,perm,comm,p3,shape,2070,2.5
EEU,perm,comm,p3,shape,2080,2.5
EEU,perm,comm,p3,shape,2090,2.5
EEU,perm,comm,p3,shape,2100,2.5
EEU,perm,comm,p5,scale,2020,53.6
EEU,perm,comm,p5,scale,2025,53.6
EEU,perm,comm,p5,scale,2030,63.248
EEU,perm,comm,p5,scale,2035,72.896
EEU,perm,comm,p5,scale,2040,82.54400000000001
EEU,perm,comm,p5,scale,2045,92.19200000000001
EEU,perm,comm,p5,scale,2050,101.84
EEU,perm,comm,p5,scale,2055,101.84
EEU,perm,comm,p5,scale,2060,101.84
EEU,perm,comm,p5,scale,2070,101.84
EEU,perm,comm,p5,scale,2080,101.84
EEU,perm,comm,p5,scale,2090,101.84
EEU,perm,comm,p5,scale,2100,101.84
EEU,perm,comm,p5,shape,2020,2.5
EEU,perm,comm,p5,shape,2025,2.5
EEU,perm,comm,p5,shape,2030,2.5
EEU,perm,comm,p5,shape,2035,2.5
EEU,perm,comm,p5,shape,2040,2.5
EEU,perm,comm,p5,shape,2045,2.5
EEU,perm,comm,p5,shape,2050,2.5
EEU,perm,comm,p5,shape,2055,2.5
EEU,perm,comm,p5,shape,2060,2.5
EEU,perm,comm,p5,shape,2070,2.5
EEU,perm,comm,p5,shape,2080,2.5
EEU,perm,comm,p5,shape,2090,2.5
EEU,perm,comm,p5,shape,2100,2.5
FSU,perm,comm,p1,scale,2020,53.6
FSU,perm,comm,p1,scale,2025,53.6
FSU,perm,comm,p1,scale,2030,58.96000000000001
FSU,perm,comm,p1,scale,2035,64.32
FSU,perm,comm,p1,scale,2040,69.68
FSU,perm,comm,p1,scale,2045,75.03999999999999
FSU,perm,comm,p1,scale,2050,80.4
FSU,perm,comm,p1,scale,2055,80.4
FSU,perm,comm,p1,scale,2060,80.4
FSU,perm,comm,p1,scale,2070,80.4
FSU,perm,comm,p1,scale,2080,80.4
FSU,perm,comm,p1,scale,2090,80.4
FSU,perm,comm,p1,scale,2100,80.4
FSU,perm,comm,p1,shape,2020,2.5
FSU,perm,comm,p1,shape,2025,2.5
FSU,perm,comm,p1,shape,2030,2.5
FSU,perm,comm,p1,shape,2035,2.5
FSU,perm,comm,p1,shape,2040,2.5
FSU,perm,comm,p1,shape,2045,2.5
FSU,perm,comm,p1,shape,2050,2.5
