region_bld,clim,urt,arch,eneff,value
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s3,2.754317143
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s51_std,3.646479422
C-EEU-EST,Zone_6A Cold Humid,urb,comm,s52_low,7.823574151
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr11_std,1.844753497
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr12_low,1.844753497
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr21_std,1.746926506
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr22_low,1.746926506
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr31_std,2.754317143
C-EEU-EST,Zone_6A Cold Humid,urb,comm,sr32_low,2.754317143
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s1,16.43281039
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s2,15.51360462
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s3,17.19589263
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s51_std,18.75788067
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,s52_low,23.96004665
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr11_std,16.43281039
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr12_low,16.43281039
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr21_std,15.51360462
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr22_low,15.51360462
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr31_std,17.19589263
C-EEU-HUN,Zone_4A Mixed Humid,rur,comm,sr32_low,17.19589263
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s1,16.22663364
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s2,15.26779745
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s3,17.17515477
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s51_std,18.7529785
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,s52_low,23.78341452
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr11_std,16.22663364
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr12_low,16.22663364
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr21_std,15.26779745
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr22_low,15.26779745
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr31_std,17.17515477
C-EEU-HUN,Zone_4A Mixed Humid,urb,comm,sr32_low,17.17515477
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s1,10.25386177
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s2,9.68798462
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s3,11.34783259
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s51_std,12.89337125
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,s52_low,18.25162275
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr11_std,10.25386177
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr12_low,10.25386177
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr21_std,9.68798462
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr22_low,9.68798462
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr31_std,11.34783259
C-EEU-HUN,Zone_5A Cool Humid,rur,comm,sr32_low,11.34783259
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s1,10.01776377
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s2,9.465630086
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s3,11.21195601
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s51_std,12.86864216
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,s52_low,18.34488905
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr11_std,10.01776377
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr12_low,10.01776377
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr21_std,9.465630086
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr22_low,9.465630086
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr31_std,11.21195601
C-EEU-HUN,Zone_5A Cool Humid,urb,comm,sr32_low,11.21195601
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s1,3.899774126
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s2,3.691233453
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s3,4.822496767
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s51_std,5.908375905
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,s52_low,9.708498526
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr11_std,3.899774126
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr12_low,3.899774126
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr21_std,3.691233453
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr22_low,3.691233453
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr31_std,4.822496767
C-EEU-LTU,Zone_6A Cold Humid,rur,comm,sr32_low,4.822496767
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s1,3.827309179
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s2,3.627063425
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s3,4.838531434
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s51_std,5.846542031
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,s52_low,9.397669597
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr11_std,3.827309179
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr12_low,3.827309179
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr21_std,3.627063425
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr22_low,3.627063425
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr31_std,4.838531434
C-EEU-LTU,Zone_6A Cold Humid,urb,comm,sr32_low,4.838531434
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s1,3.096801946
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s2,2.927523139
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s3,4.016710943
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s51_std,5.088525255
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,s52_low,9.128828816
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr11_std,3.096801946
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr12_low,3.096801946
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr21_std,2.927523139
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr22_low,2.927523139
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr31_std,4.016710943
C-EEU-LVA,Zone_6A Cold Humid,rur,comm,sr32_low,4.016710943
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s1,3.400908519
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s2,3.229546062
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s3,4.219261338
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s51_std,5.421956788
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,s52_low,9.602708852
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr11_std,3.400908519
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr12_low,3.400908519
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr21_std,3.229546062
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr22_low,3.229546062
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr31_std,4.219261338
C-EEU-LVA,Zone_6A Cold Humid,urb,comm,sr32_low,4.219261338
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s1,5.242250336
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s2,4.968309637
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s3,6.177957775
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s51_std,7.29888791
C-EEU-POL,Zone_5A Cool Humid,rur,comm,s52_low,11.04303779
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr11_std,5.242250336
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr12_low,5.242250336
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr21_std,4.968309637
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr22_low,4.968309637
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr31_std,6.177957775
C-EEU-POL,Zone_5A Cool Humid,rur,comm,sr32_low,6.177957775
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s1,5.353109627
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s2,5.058613467
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s3,6.311279091
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s51_std,7.424055339
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s52_low,11.21144942
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr11_std,5.353109627
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr12_low,5.353109627
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr21_std,5.058613467
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr22_low,5.058613467
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr31_std,6.311279091
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr32_low,6.311279091
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s1,22.16671019
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s2,20.94286043
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s3,22.2194685
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s51_std,23.77558017
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s52_low,28.69093466
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr11_std,22.16671019
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr12_low,22.16671019
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr21_std,20.94286043
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr22_low,20.94286043
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr31_std,22.2194685
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr32_low,22.2194685
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s1,21.58705767
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s2,20.3948262
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s3,21.73146189
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s51_std,23.33358571
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,s52_low,28.2587129
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr11_std,21.58705767
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr12_low,21.58705767
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr21_std,20.3948262
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr22_low,20.3948262
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr31_std,21.73146189
C-EEU-ROU,Zone_4A Mixed Humid,urb,comm,sr32_low,21.73146189
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s1,8.913169149
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s2,8.40016416
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s3,9.831103795
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s51_std,11.23903896
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,s52_low,16.24401864
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr11_std,8.913169149
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr12_low,8.913169149
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr21_std,8.40016416
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr22_low,8.40016416
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr31_std,9.831103795
C-EEU-ROU,Zone_5A Cool Humid,rur,comm,sr32_low,9.831103795
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s1,7.762678629
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s2,7.317858678
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s3,8.715224553
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s51_std,10.05021628
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s52_low,14.82731947
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr11_std,7.762678629
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr12_low,7.762678629
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr21_std,7.317858678
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr22_low,7.317858678
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr31_std,8.715224553
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr32_low,8.715224553
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s1,1.249646782
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s2,1.205151615
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s3,1.734756215
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s51_std,2.146956877
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s52_low,4.292287962
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr11_std,1.249646782
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr12_low,1.249646782
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr21_std,1.205151615
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr22_low,1.205151615
