region_bld,region_gea,urt,clim,year,value
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,2020,28837.70868
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,2020,14114.54835
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,2020,79217.24634
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,2020,31763.01084
C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,2020,48627.41202
C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,2020,211865.153
C-EEU-EST,EEU,rur,Zone_6A Cold Humid,2020,6626.686127
C-EEU-EST,EEU,urb,Zone_6A Cold Humid,2020,21344.44731
C-EEU-HRV,EEU,rur,Zone_3A Warm Humid,2020,3745.524112
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,2020,11399.66286
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,2020,10976.54657
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,2020,4320.440695
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,2020,11486.28811
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,2020,17361.07664
C-EEU-HUN,EEU,rur,Zone_4A Mixed Humid,2020,29508.14914
C-EEU-HUN,EEU,rur,Zone_5A Cool Humid,2020,27785.53836
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,2020,108642.2392
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,2020,119454.0517
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,2020,17209.37886
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,2020,31813.14949
C-EEU-LVA,EEU,rur,Zone_6A Cold Humid,2020,11038.099
C-EEU-LVA,EEU,urb,Zone_6A Cold Humid,2020,31876.07947
C-EEU-POL,EEU,rur,Zone_5A Cool Humid,2020,239445.572
C-EEU-POL,EEU,urb,Zone_5A Cool Humid,2020,518824.3487
C-EEU-ROU,EEU,rur,Zone_4A Mixed Humid,2020,52704.34061
C-EEU-ROU,EEU,rur,Zone_5A Cool Humid,2020,75022.20048
C-EEU-ROU,EEU,rur,Zone_6A Cold Humid,2020,23805.64343
C-EEU-ROU,EEU,urb,Zone_4A Mixed Humid,2020,82802.20531
C-EEU-ROU,EEU,urb,Zone_5A Cool Humid,2020,106152.5529
C-EEU-ROU,EEU,urb,Zone_6A Cold Humid,2020,16349.03788
C-EEU-SVK,EEU,rur,Zone_5A Cool Humid,2020,18930.39469
C-EEU-SVK,EEU,rur,Zone_6A Cold Humid,2020,16074.0844
C-EEU-SVK,EEU,urb,Zone_5A Cool Humid,2020,27216.47336
C-EEU-SVK,EEU,urb,Zone_6A Cold Humid,2020,19253.02001
C-EEU-SVN,EEU,rur,Zone_5A Cool Humid,2020,12644.01721
C-EEU-SVN,EEU,urb,Zone_5A Cool Humid,2020,17885.45273
C-WEU-AUT,WEU,rur,Zone_4A Mixed Humid,2020,30.54504722
C-WEU-AUT,WEU,rur,Zone_5A Cool Humid,2020,7174.631087
C-WEU-AUT,WEU,rur,Zone_6A Cold Humid,2020,2796.737718
C-WEU-AUT,WEU,urb,Zone_4A Mixed Humid,2020,51621.74607
C-WEU-AUT,WEU,urb,Zone_5A Cool Humid,2020,65889.51947
C-WEU-AUT,WEU,urb,Zone_6A Cold Humid,2020,30150.24018
C-WEU-BEL,WEU,rur,Zone_4A Mixed Humid,2020,1226.61676
C-WEU-BEL,WEU,urb,Zone_4A Mixed Humid,2020,297628.6005
C-WEU-CHE,WEU,rur,Zone_5A Cool Humid,2020,5703.274237
C-WEU-CHE,WEU,urb,Zone_5A Cool Humid,2020,90070.20659
C-WEU-CYP,WEU,rur,Zone_3A Warm Humid,2020,500.6987816
C-WEU-CYP,WEU,urb,Zone_3A Warm Humid,2020,3004.037156
C-WEU-DEU,WEU,rur,Zone_4A Mixed Humid,2020,1669.46976
C-WEU-DEU,WEU,rur,Zone_5A Cool Humid,2020,52396.07439
C-WEU-DEU,WEU,urb,Zone_4A Mixed Humid,2020,460950.8961
C-WEU-DEU,WEU,urb,Zone_5A Cool Humid,2020,1399183.207
C-WEU-DNK,WEU,rur,Zone_5A Cool Humid,2020,2944.538556
C-WEU-DNK,WEU,urb,Zone_5A Cool Humid,2020,116008.8268
C-WEU-ESP,WEU,rur,Zone_3A Warm Humid,2020,12486.22466
C-WEU-ESP,WEU,rur,Zone_3B Warm Dry,2020,3220.333058
C-WEU-ESP,WEU,rur,Zone_3C Warm Marine,2020,1149.210074
C-WEU-ESP,WEU,rur,Zone_4A Mixed Humid,2020,4253.464931
C-WEU-ESP,WEU,rur,Zone_4C Mixed Marine,2020,3731.763001
C-WEU-ESP,WEU,urb,Zone_3A Warm Humid,2020,193130.8165
C-WEU-ESP,WEU,urb,Zone_3B Warm Dry,2020,106652.7425
C-WEU-ESP,WEU,urb,Zone_3C Warm Marine,2020,24604.33143
C-WEU-ESP,WEU,urb,Zone_4A Mixed Humid,2020,83207.35035
C-WEU-ESP,WEU,urb,Zone_4C Mixed Marine,2020,32714.84184
C-WEU-FIN,WEU,rur,Zone_6A Cold Humid,2020,753.5077063
C-WEU-FIN,WEU,rur,Zone_7A Very cold Humid,2020,3523.428519
C-WEU-FIN,WEU,urb,Zone_6A Cold Humid,2020,47765.9674
C-WEU-FIN,WEU,urb,Zone_7A Very cold Humid,2020,27226.93711
C-WEU-FRA,WEU,rur,Zone_3A Warm Humid,2020,4891.841456
C-WEU-FRA,WEU,rur,Zone_4A Mixed Humid,2020,36353.93865
C-WEU-FRA,WEU,rur,Zone_5A Cool Humid,2020,6666.80303
C-WEU-FRA,WEU,urb,Zone_3A Warm Humid,2020,120069.0731
C-WEU-FRA,WEU,urb,Zone_4A Mixed Humid,2020,627134.8718
C-WEU-FRA,WEU,urb,Zone_5A Cool Humid,2020,77057.76432
C-WEU-GBR,WEU,rur,Zone_4A Mixed Humid,2020,15019.85742
