region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,comm,1945,p1,0.854763641
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,comm,1960,p2,0.145236359
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,comm,1945,p1,0.854763641
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,comm,1960,p2,0.145236359
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1945,p1,0.205817218
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1960,p2,0.068387488
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1965,p2,0.144501123
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1970,p2,0.101645417
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1975,p2,0.095755491
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1980,p2,0.090340641
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1985,p2,0.069586749
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1990,p2,0.043591735
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,1995,p3,0.008593997
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,2000,p3,0.016409874
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,2005,p3,0.028815291
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,2010,p3,0.033175985
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,2015,p3,0.046689496
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,comm,2020,p3,0.046689496
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1945,p1,0.205817218
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1960,p2,0.068387488
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1965,p2,0.144501123
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1970,p2,0.101645417
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1975,p2,0.095755491
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1980,p2,0.090340641
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1985,p2,0.069586749
C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,comm,1990,p2,0.043591735
