region_gea,mat,arch,bld_age,parameter,value
PAS,perm,comm,p1,shape,1.9
PAS,perm,comm,p1,scale,43.95
CPA,perm,comm,p1,shape,2
CPA,perm,comm,p1,scale,31.03
EEU,perm,comm,p1,shape,2.5
EEU,perm,comm,p1,scale,150
NAM,perm,comm,p1,shape,4.16
NAM,perm,comm,p1,scale,150
WEU,perm,comm,p1,shape,2.95
WEU,perm,comm,p1,scale,150
LAC,perm,comm,p1,shape,1.97
LAC,perm,comm,p1,scale,68.24
PAO,perm,comm,p1,shape,1.97
PAO,perm,comm,p1,scale,94
FSU,perm,comm,p1,shape,2.5
FSU,perm,comm,p1,scale,53.6
AFR,perm,comm,p1,shape,1.97
AFR,perm,comm,p1,scale,67.34
MEA,perm,comm,p1,shape,1.97
MEA,perm,comm,p1,scale,67.34
SAS,perm,comm,p1,shape,1.97
SAS,perm,comm,p1,scale,67.34
PAS,perm,comm,p2,shape,1.9
PAS,perm,comm,p2,scale,43.95
CPA,perm,comm,p2,shape,2
CPA,perm,comm,p2,scale,31.03
EEU,perm,comm,p2,shape,2.5
EEU,perm,comm,p2,scale,53.6
NAM,perm,comm,p2,shape,4.16
NAM,perm,comm,p2,scale,85.19
WEU,perm,comm,p2,shape,2.95
WEU,perm,comm,p2,scale,70.82
LAC,perm,comm,p2,shape,1.97
LAC,perm,comm,p2,scale,68.24
PAO,perm,comm,p2,shape,1.97
PAO,perm,comm,p2,scale,94
FSU,perm,comm,p2,shape,2.5
FSU,perm,comm,p2,scale,53.6
AFR,perm,comm,p2,shape,1.97
AFR,perm,comm,p2,scale,67.34
MEA,perm,comm,p2,shape,1.97
MEA,perm,comm,p2,scale,67.34
SAS,perm,comm,p2,shape,1.97
SAS,perm,comm,p2,scale,67.34
PAS,perm,comm,p3,shape,1.9
PAS,perm,comm,p3,scale,43.95
CPA,perm,comm,p3,shape,2
CPA,perm,comm,p3,scale,31.03
EEU,perm,comm,p3,shape,2.5
EEU,perm,comm,p3,scale,53.6
NAM,perm,comm,p3,shape,4.16
NAM,perm,comm,p3,scale,85.19
WEU,perm,comm,p3,shape,2.95
WEU,perm,comm,p3,scale,70.82
LAC,perm,comm,p3,shape,1.97
LAC,perm,comm,p3,scale,68.24
PAO,perm,comm,p3,shape,1.97
PAO,perm,comm,p3,scale,94
FSU,perm,comm,p3,shape,2.5
FSU,perm,comm,p3,scale,53.6
AFR,perm,comm,p3,shape,1.97
AFR,perm,comm,p3,scale,67.34
MEA,perm,comm,p3,shape,1.97
MEA,perm,comm,p3,scale,67.34
SAS,perm,comm,p3,shape,1.97
SAS,perm,comm,p3,scale,67.34
PAS,perm,comm,p5,shape,1.9
PAS,perm,comm,p5,scale,43.95
CPA,perm,comm,p5,shape,2
CPA,perm,comm,p5,scale,31.03
EEU,perm,comm,p5,shape,2.5
EEU,perm,comm,p5,scale,53.6
NAM,perm,comm,p5,shape,4.16
NAM,perm,comm,p5,scale,85.19
WEU,perm,comm,p5,shape,2.95
WEU,perm,comm,p5,scale,70.82
LAC,perm,comm,p5,shape,1.97
LAC,perm,comm,p5,scale,68.24
PAO,perm,comm,p5,shape,1.97
PAO,perm,comm,p5,scale,94
FSU,perm,comm,p5,shape,2.5
FSU,perm,comm,p5,scale,53.6
AFR,perm,comm,p5,shape,1.97
AFR,perm,comm,p5,scale,67.34
MEA,perm,comm,p5,shape,1.97
MEA,perm,comm,p5,scale,67.34
SAS,perm,comm,p5,shape,1.97
SAS,perm,comm,p5,scale,67.34
