region_gea,material,year,value
NAM,steel,2020,1.9456557396276988
NAM,steel,2025,1.9521137747467339
NAM,steel,2030,1.9586795567092652
NAM,steel,2035,1.9653633494231795
NAM,steel,2040,1.9722747882032348
NAM,steel,2045,1.9791823534840327
NAM,steel,2050,1.9862231489735698
NAM,steel,2055,1.9933993491393536
NAM,steel,2060,2.0006794568614157
WEU,steel,2020,1.954872522813947
WEU,steel,2025,1.9613304213027811
WEU,steel,2030,1.9678960761981823
WEU,steel,2035,1.9745797281276982
WEU,steel,2040,1.981490719857347
WEU,steel,2045,1.9883981701334579
WEU,steel,2050,1.9954388123910127
WEU,steel,2055,2.002614821996917
WEU,steel,2060,2.0098947904943962
PAO,steel,2020,1.9456557396276988
PAO,steel,2025,1.9521137747467339
PAO,steel,2030,1.9586795567092652
PAO,steel,2035,1.9653633494231795
PAO,steel,2040,1.9722747882032348
PAO,steel,2045,1.9791823534840327
PAO,steel,2050,1.9862231489735698
PAO,steel,2055,1.9933993491393536
PAO,steel,2060,2.0006794568614157
EEU,steel,2020,1.954872522813947
EEU,steel,2025,1.9613304213027811
EEU,steel,2030,1.9678960761981823
EEU,steel,2035,1.9745797281276982
EEU,steel,2040,1.981490719857347
EEU,steel,2045,1.9883981701334579
EEU,steel,2050,1.9954388123910127
EEU,steel,2055,2.002614821996917
EEU,steel,2060,2.0098947904943962
FSU,steel,2020,1.9502641312208229
FSU,steel,2025,1.9567220980247575
FSU,steel,2030,1.9632878164537237
FSU,steel,2035,1.9699715387754388
FSU,steel,2040,1.976882754030291
FSU,steel,2045,1.9837902618087453
FSU,steel,2050,1.9908309806822913
FSU,steel,2055,1.9980070855681353
FSU,steel,2060,2.005287123677906
CPA,steel,2020,1.9456557396276988
CPA,steel,2025,1.9521137747467339
CPA,steel,2030,1.9586795567092652
CPA,steel,2035,1.9653633494231795
CPA,steel,2040,1.9722747882032348
CPA,steel,2045,1.9791823534840327
CPA,steel,2050,1.9862231489735698
CPA,steel,2055,1.9933993491393536
CPA,steel,2060,2.0006794568614157
SAS,steel,2020,1.2793271402371018
SAS,steel,2025,1.279380500916928
SAS,steel,2030,1.279433113070557
SAS,steel,2035,1.279488189871817
SAS,steel,2040,1.2795860136481199
SAS,steel,2045,1.2796387382637586
SAS,steel,2050,1.279697335985052
SAS,steel,2055,1.2797616981289963
SAS,steel,2060,1.2798196231877723
PAS,steel,2020,1.9456557396276988
PAS,steel,2025,1.9521137747467339
PAS,steel,2030,1.9586795567092652
PAS,steel,2035,1.9653633494231795
PAS,steel,2040,1.9722747882032348
PAS,steel,2045,1.9791823534840327
PAS,steel,2050,1.9862231489735698
PAS,steel,2055,1.9933993491393536
PAS,steel,2060,2.0006794568614157
MEA,steel,2020,1.9456557396276988
MEA,steel,2025,1.9521137747467339
MEA,steel,2030,1.9586795567092652
MEA,steel,2035,1.9653633494231795
MEA,steel,2040,1.9722747882032348
MEA,steel,2045,1.9791823534840327
MEA,steel,2050,1.9862231489735698
MEA,steel,2055,1.9933993491393536
MEA,steel,2060,2.0006794568614157
LAC,steel,2020,1.9456557396276988
LAC,steel,2025,1.9521137747467339
LAC,steel,2030,1.9586795567092652
LAC,steel,2035,1.9653633494231795
LAC,steel,2040,1.9722747882032348
LAC,steel,2045,1.9791823534840327
LAC,steel,2050,1.9862231489735698
LAC,steel,2055,1.9933993491393536
LAC,steel,2060,2.0006794568614157
AFR,steel,2020,1.9456557396276988
AFR,steel,2025,1.9521137747467339
AFR,steel,2030,1.9586795567092652
AFR,steel,2035,1.9653633494231795
AFR,steel,2040,1.9722747882032348
AFR,steel,2045,1.9791823534840327
AFR,steel,2050,1.9862231489735698
AFR,steel,2055,1.9933993491393536
AFR,steel,2060,2.0006794568614157
NAM,concrete,2020,0.12659982660331606
NAM,concrete,2025,0.1266037049124603
NAM,concrete,2030,0.12660732006642778
