region_gea,year,fuel,value
AFR,2010,biomass_solid,109.6
AFR,2010,coal,94.6
AFR,2010,district_heat,0
AFR,2010,electricity,251.2602479
AFR,2010,gas,56.1
AFR,2010,oil,73.3
AFR,2015,biomass_solid,109.6
AFR,2015,coal,94.6
AFR,2015,district_heat,38.88869235
AFR,2015,electricity,226.8600922
AFR,2015,gas,56.1
AFR,2015,oil,73.3
AFR,2020,biomass_solid,109.6
AFR,2020,coal,94.6
AFR,2020,district_heat,38.88869235
AFR,2020,electricity,211.9452947
AFR,2020,gas,56.1
AFR,2020,oil,73.3
AFR,2025,biomass_solid,109.6
AFR,2025,coal,94.6
AFR,2025,district_heat,9.283262511
AFR,2025,electricity,108.3598077
AFR,2025,gas,56.1
AFR,2025,oil,73.3
AFR,2030,biomass_solid,109.6
AFR,2030,coal,94.6
AFR,2030,district_heat,0
AFR,2030,electricity,53.14825385
AFR,2030,gas,56.1
AFR,2030,oil,73.3
AFR,2035,biomass_solid,109.6
AFR,2035,coal,94.6
AFR,2035,district_heat,0
AFR,2035,electricity,29.03175794
AFR,2035,gas,56.1
AFR,2035,oil,73.3
AFR,2040,biomass_solid,109.6
AFR,2040,coal,94.6
AFR,2040,district_heat,0
AFR,2040,electricity,15.55236342
AFR,2040,gas,56.1
AFR,2040,oil,73.3
AFR,2045,biomass_solid,109.6
AFR,2045,coal,94.6
AFR,2045,district_heat,0
AFR,2045,electricity,6.330286467
AFR,2045,gas,56.1
AFR,2045,oil,73.3
AFR,2050,biomass_solid,109.6
AFR,2050,coal,94.6
AFR,2050,district_heat,0
AFR,2050,electricity,0.715778945
AFR,2050,gas,56.1
AFR,2050,oil,73.3
AFR,2055,biomass_solid,109.6
AFR,2055,coal,94.6
AFR,2055,district_heat,8.954976392
AFR,2055,electricity,0.270525087
AFR,2055,gas,56.1
AFR,2055,oil,73.3
AFR,2060,biomass_solid,109.6
AFR,2060,coal,94.6
AFR,2060,district_heat,15.81681416
AFR,2060,electricity,0.00112212
AFR,2060,gas,56.1
AFR,2060,oil,73.3
AFR,2065,biomass_solid,109.6
AFR,2065,coal,94.6
AFR,2065,district_heat,7.00751815
AFR,2065,electricity,0.015938589
AFR,2065,gas,56.1
AFR,2065,oil,73.3
AFR,2070,biomass_solid,109.6
